nct_id,last_update_submitted_date,registration_date,summary_results_date,study_type,phase,enrollment,recruitment_status,title,start_date,completion_date,primary_completion_date,has_summary_results,allocation,masking,main_sponsor,is_multicentric,ucla_principal_investigator,ucla_study_chair,ucla_study_director,ucla_unspecified_official,registration_year,start_year,completion_year,primary_completion_year
NCT01002417,2015-03-01,2009-10-25,NA,Interventional,Phase 2/Phase 3,274,Completed,MCS in the Treatment of Lower Urinary Tract Symptoms,2010-07-01T00:00:00Z,2014-02-01T00:00:00Z,2014-02-01T00:00:00Z,FALSE,Randomized,Quadruple,INDUSTRY,FALSE,"University of California, Los Angeles",NA,NA,NA,2009,2010,2014,2014
NCT01018407,2015-06-04,2009-11-20,NA,Interventional,Not Applicable,192,Completed,Interventions for Communication in Autism Network,2009-12-01T00:00:00Z,2015-06-01T00:00:00Z,2015-06-01T00:00:00Z,FALSE,Randomized,None (Open Label),OTHER,TRUE,"University of California, Los Angeles",NA,NA,NA,2009,2009,2015,2015
NCT01046773,2018-02-05,2010-01-11,NA,Interventional,Phase 1,3,Terminated,Vitamin D Supplementation as Non-toxic Immunomodulation in Children With Crohn's Disease,2010-01-01T00:00:00Z,2017-05-01T00:00:00Z,2017-05-01T00:00:00Z,FALSE,Non-Randomized,None (Open Label),OTHER,FALSE,"University of California, Los Angeles",NA,NA,NA,2010,2010,2017,2017
NCT01051037,2019-05-03,2010-01-15,NA,Interventional,Not Applicable,17,Completed,Stereotactic Body Radiotherapy and Radiofrequency Ablation for Lung Tumors Near Central Airways,2010-02-08T00:00:00Z,2017-12-20T00:00:00Z,2017-12-20T00:00:00Z,FALSE,NA,None (Open Label),OTHER,FALSE,"University of California, Los Angeles",NA,NA,NA,2010,2010,2017,2017
NCT01061671,2017-12-08,2010-02-02,2015-01-29,Interventional,Phase 3,885,Terminated,Simvastatin Therapy for Moderate and Severe COPD,2010-03-01T00:00:00Z,2014-01-01T00:00:00Z,2014-01-01T00:00:00Z,TRUE,Randomized,Triple,OTHER,TRUE,Harbor-UCLA Research & Education Institute,NA,NA,NA,2010,2010,2014,2014
NCT01076829,2014-06-09,2010-02-25,NA,Interventional,Not Applicable,10,Completed,Effects of a Spiced Meat Patty on Inflammation in Men With Type 2 Diabetes,2009-07-01T00:00:00Z,2014-06-01T00:00:00Z,2014-06-01T00:00:00Z,FALSE,Randomized,None (Open Label),OTHER,FALSE,"University of California, Los Angeles",NA,NA,NA,2010,2009,2014,2014
NCT01080794,2017-03-02,2010-03-03,2016-01-12,Interventional,Not Applicable,61,Completed,rTMS for Motor and Mood Symptoms of Parkinson's Disease,2010-05-01T00:00:00Z,2014-06-01T00:00:00Z,2014-06-01T00:00:00Z,TRUE,Randomized,Double,OTHER,TRUE,"University of California, Los Angeles",NA,NA,NA,2010,2010,2014,2014
NCT01090245,2017-05-09,2010-03-16,NA,Interventional,Not Applicable,202,Completed,Using Incentives to Improve Parolee Participation and Attendance in Community Treatment,2010-04-01T00:00:00Z,2014-08-01T00:00:00Z,2014-01-01T00:00:00Z,FALSE,Randomized,None (Open Label),OTHER,TRUE,"University of California, Los Angeles",NA,"University of California, Los Angeles",NA,2010,2010,2014,2014
NCT01103531,2015-11-30,2010-03-31,NA,Interventional,Not Applicable,135,Completed,Exercise to Improve Outcomes of Treatment for Methamphetamine Users,2010-03-01T00:00:00Z,2015-07-01T00:00:00Z,2015-07-01T00:00:00Z,FALSE,Randomized,None (Open Label),OTHER,FALSE,UCLA Integrated Substance Abuse Programs,NA,NA,NA,2010,2010,2015,2015
NCT01122329,2015-03-19,2010-05-11,NA,Interventional,Phase 4,17,Completed,A Positron Emission Tomography (PET) Study Evaluating Brain Metabolism of a Medical Food in Alzheimer's Disease,2010-10-01T00:00:00Z,2015-01-01T00:00:00Z,2015-01-01T00:00:00Z,FALSE,Randomized,Quadruple,OTHER,TRUE,Mary S. Easton Center for Alzheimer's Disease Research at UCLA,Mary S. Easton Center for Alzheimer's Disease Research at UCLA; UCLA Department of Molecular and Medical Pharmacology,NA,NA,2010,2010,2015,2015
NCT01129440,2020-02-20,2010-05-21,2020-02-10,Interventional,Phase 2,597,Completed,Glass Ionomer Sealant and Fluoride Varnish Study to Prevent Early Childhood Caries,2011-06-01T00:00:00Z,2016-03-01T00:00:00Z,2016-03-01T00:00:00Z,TRUE,Randomized,Single,OTHER,FALSE,"University of California, Los Angeles",NA,NA,NA,2010,2011,2016,2016
NCT01158508,2016-11-23,2010-06-25,NA,Interventional,Phase 1,20,Completed,Remote Ischemic Preconditioning in Subarachnoid Hemorrhage,2010-04-01T00:00:00Z,2014-07-01T00:00:00Z,2014-01-01T00:00:00Z,FALSE,NA,None (Open Label),OTHER,FALSE,"University of California, Los Angeles David Geffen School of Medicine, Departments of Neurosurgery and Radiology",NA,NA,NA,2010,2010,2014,2014
NCT01192776,2022-03-14,2010-08-31,2017-03-31,Interventional,Not Applicable,364,Terminated,"Optimizing (Longer, Deeper) Cooling for Neonatal Hypoxic-Ischemic Encephalopathy(HIE)",2010-09-01T00:00:00Z,2016-03-01T00:00:00Z,2016-03-01T00:00:00Z,TRUE,Randomized,None (Open Label),NETWORK,TRUE,"University of California, Los Angeles",NA,NA,NA,2010,2010,2016,2016
NCT01219647,2014-12-05,2010-10-08,NA,Interventional,Phase 1/Phase 2,35,Completed,Exercise as a Strategy to Treat Cognitive Dysfunction in Persons With Multiple Sclerosis,2010-07-01T00:00:00Z,2014-08-01T00:00:00Z,2014-08-01T00:00:00Z,FALSE,Randomized,Single,OTHER,TRUE,"University of California, Los Angeles",NA,NA,NA,2010,2010,2014,2014
NCT01221246,2019-08-01,2010-10-11,NA,Interventional,Phase 2,34,Completed,Efficacy and Safety Study of GM602 in Patients With Acute Middle Cerebral Artery Ischemic Stroke Within 18 Hours,2011-03-08T00:00:00Z,2016-07-07T00:00:00Z,2016-07-07T00:00:00Z,FALSE,Randomized,Quadruple,INDUSTRY,TRUE,UCLA Stroke Center,NA,NA,NA,2010,2011,2016,2016
NCT01238575,2020-03-18,2010-10-29,2015-04-30,Interventional,Phase 4,62,Completed,Guanfacine for the Treatment of Hyperactivity in Pervasive Developmental Disorder,2011-12-01T00:00:00Z,2014-03-01T00:00:00Z,2014-03-01T00:00:00Z,TRUE,Randomized,Quadruple,OTHER,TRUE,"University of California, Los Angeles",NA,NA,NA,2010,2011,2014,2014
NCT01324973,2014-06-30,2011-03-28,NA,Interventional,Not Applicable,60,Completed,Web-Based Weight Management for Individuals With Mental Illness,2012-03-01T00:00:00Z,2014-04-01T00:00:00Z,2014-04-01T00:00:00Z,FALSE,Randomized,Single,OTHER,FALSE,"University of California, Los Angeles",NA,NA,NA,2011,2012,2014,2014
NCT01351220,2016-07-28,2011-05-06,NA,Interventional,Not Applicable,1100,Completed,Community Dissemination of an Evidence-based Colorectal Cancer (CRC) Screening Intervention,2010-07-01T00:00:00Z,2015-06-01T00:00:00Z,2014-06-01T00:00:00Z,FALSE,Randomized,Double,OTHER,FALSE,"University of California, Los Angeles",NA,"University of California, Los Angeles",NA,2011,2010,2015,2014
NCT01360203,2016-05-10,2011-05-18,NA,Interventional,Not Applicable,1437,Completed,Better Effectiveness After Transition - Heart Failure,2011-10-01T00:00:00Z,2014-03-01T00:00:00Z,2014-03-01T00:00:00Z,FALSE,Randomized,None (Open Label),OTHER,TRUE,"University of California, Los Angeles",NA,NA,NA,2011,2011,2014,2014
NCT01365819,2018-01-17,2011-05-31,2017-01-05,Interventional,Phase 2,52,Completed,Varenicline for Methamphetamine Dependence,2012-02-01T00:00:00Z,2014-08-01T00:00:00Z,2014-08-01T00:00:00Z,TRUE,Randomized,Triple,OTHER,FALSE,UCLA DGSOM Dept Of Family Medicine,NA,NA,NA,2011,2012,2014,2014
NCT01368510,2020-03-23,2011-06-06,NA,Interventional,Not Applicable,75,Completed,Intensive Cognitive-Behavioral Therapy For Obsessive-Compulsive Disorder,2011-07-01T00:00:00Z,2015-06-01T00:00:00Z,2015-06-01T00:00:00Z,FALSE,Randomized,Double,OTHER,FALSE,UCLA Child Psychiatry,NA,NA,NA,2011,2011,2015,2015
NCT01373918,2016-05-10,2011-06-06,2016-02-22,Interventional,Phase 4,41,Terminated,Low Dose Fat for the Prevention of Liver Disease in Babies With Gastrointestinal Disorders,2010-12-01T00:00:00Z,2014-07-01T00:00:00Z,2014-07-01T00:00:00Z,TRUE,Randomized,None (Open Label),OTHER,TRUE,"University of California, Los Angeles",NA,NA,NA,2011,2010,2014,2014
NCT01382069,2017-06-29,2011-03-25,NA,Interventional,Phase 1,100,Completed,Phase 1 Study of Dimethandrolone Undecanoate in Healthy Men,2012-03-01T00:00:00Z,2017-05-01T00:00:00Z,2017-02-01T00:00:00Z,FALSE,Randomized,Quadruple,OTHER,TRUE,Lundquist Institute for Biomedical Innovation at Harbor-UCLA Medical Center,NA,NA,NA,2011,2012,2017,2017
NCT01383161,2020-02-28,2011-06-22,2018-01-04,Interventional,Phase 2,46,Completed,18-Month Study of Memory Effects of Curcumin,2012-03-01T00:00:00Z,2017-04-01T00:00:00Z,2017-04-01T00:00:00Z,TRUE,Randomized,Quadruple,OTHER,FALSE,UCLA Longevity Center,NA,NA,NA,2011,2012,2017,2017
NCT01391949,2019-04-29,2011-07-11,NA,Interventional,Phase 2/Phase 3,1,Terminated,Pedaling Exercises for Disability and Activity Limitations,2011-07-01T00:00:00Z,2015-06-01T00:00:00Z,2015-06-01T00:00:00Z,FALSE,Randomized,Double,OTHER,FALSE,"University of California, Los Angeles",NA,NA,NA,2011,2011,2015,2015
NCT01404247,2017-07-10,2011-05-10,NA,Interventional,Phase 1,20,Completed,Spectral Domain Optical Coherence Tomography Imaging of the Eyes of Neonates,2011-01-01T00:00:00Z,2015-12-01T00:00:00Z,2015-12-01T00:00:00Z,FALSE,NA,None (Open Label),OTHER,FALSE,Lundquist Institute for Biomedical Innovation at Harbor-UCLA Medical Center,NA,NA,NA,2011,2011,2015,2015
NCT01406626,2020-11-16,2011-07-28,NA,Interventional,Not Applicable,356,Completed,Effectiveness of Peer Navigation to Link Released HIV+ Jail Inmates to HIV Care,2012-12-01T00:00:00Z,2016-10-01T00:00:00Z,2016-10-01T00:00:00Z,FALSE,Randomized,Quadruple,OTHER,FALSE,"University of California, Los Angeles",NA,NA,NA,2011,2012,2016,2016
NCT01409642,2021-05-18,2010-10-12,NA,Interventional,Not Applicable,62,Completed,Family Focused Treatment of Pediatric Obsessive Compulsive Disorder,2008-01-01T00:00:00Z,2016-12-01T00:00:00Z,2015-12-01T00:00:00Z,FALSE,Randomized,Single,OTHER,FALSE,"University of California, Los Angeles",NA,NA,NA,2010,2008,2016,2015
NCT01438320,2015-03-18,2011-09-14,NA,Interventional,Phase 1,34,Completed,Q-Trial in Patients With Hepatitis C,2011-07-01T00:00:00Z,2014-06-01T00:00:00Z,2014-06-01T00:00:00Z,FALSE,Non-Randomized,Single,OTHER,FALSE,"University of California, Los Angeles",NA,NA,NA,2011,2011,2014,2014
NCT01457066,2015-05-26,2011-10-19,NA,Interventional,Phase 1/Phase 2,118,Completed,Culturally Sensitive Intervention to Improve Retention in HIV Care for Latino MSM,2012-12-01T00:00:00Z,2014-09-01T00:00:00Z,2014-06-01T00:00:00Z,FALSE,Randomized,None (Open Label),OTHER,FALSE,"University of California, Los Angeles",NA,NA,NA,2011,2012,2014,2014
NCT01470794,2018-05-16,2011-11-04,NA,Interventional,Phase 1,58,Completed,Study of a Retroviral Replicating Vector Combined With a Prodrug to Treat Patients Undergoing Surgery for a Recurrent Malignant Brain Tumor,2012-02-01T00:00:00Z,2016-04-12T00:00:00Z,2016-04-12T00:00:00Z,FALSE,NA,None (Open Label),INDUSTRY,TRUE,"University of California, Los Angeles",NA,NA,NA,2011,2012,2016,2016
NCT01483391,2021-09-26,2011-11-26,NA,Interventional,Not Applicable,150,Completed,Early Intervention for Youth at Risk for Bipolar Disorder,2011-10-06T00:00:00Z,2020-09-15T00:00:00Z,2016-09-15T00:00:00Z,FALSE,Randomized,Single,OTHER,TRUE,UCLA Department of Psychiatry,NA,NA,NA,2011,2011,2020,2016
NCT01495780,2020-04-29,2011-12-16,NA,Interventional,Not Applicable,17,Completed,eRT Remote Health Monitoring,2012-01-01T00:00:00Z,2014-08-20T00:00:00Z,2014-08-20T00:00:00Z,FALSE,NA,None (Open Label),OTHER,FALSE,"University of California, Los Angeles",NA,NA,NA,2011,2012,2014,2014
NCT01502761,2017-07-26,2011-12-22,2017-06-30,Interventional,Phase 1/Phase 2,4,Terminated,Intra-arterial Magnesium Administration for Acute Stroke,2012-03-01T00:00:00Z,2016-05-01T00:00:00Z,2016-05-01T00:00:00Z,TRUE,Non-Randomized,None (Open Label),OTHER,TRUE,"University of California, Los Angeles",NA,NA,NA,2011,2012,2016,2016
NCT01528020,2016-05-16,2012-02-02,NA,Interventional,Not Applicable,173,Completed,Collaborative Adolescent Research on Emotions and Suicide,2012-01-01T00:00:00Z,2016-05-01T00:00:00Z,2015-08-01T00:00:00Z,FALSE,Randomized,Single,OTHER,FALSE,"University of California, Los Angeles; Harbor UCLA",NA,NA,NA,2012,2012,2016,2015
NCT01534910,2017-03-09,2012-02-14,2015-02-20,Interventional,Phase 4,65,Completed,Effect of Aged Garlic Extract on Atherosclerosis,2012-05-01T00:00:00Z,2014-12-01T00:00:00Z,2014-12-01T00:00:00Z,TRUE,Randomized,Quadruple,OTHER,FALSE,Lundquist Institute for Biomedical Innovation at Harbor-UCLA Medical Center,NA,NA,NA,2012,2012,2014,2014
NCT01581996,2017-05-08,2012-04-09,NA,Interventional,Not Applicable,9,Completed,Fosrenol and Phosphorus Balance - Lanthanum Carbonate,2012-03-01T00:00:00Z,2017-05-01T00:00:00Z,2017-05-01T00:00:00Z,FALSE,NA,None (Open Label),OTHER,FALSE,Lundquist Institute for Biomedical Innovation at Harbor-UCLA Medical Center,NA,NA,NA,2012,2012,2017,2017
NCT01602575,2018-05-07,2012-05-17,NA,Interventional,Not Applicable,119,Completed,Neuroimaging and Biomarkers in Chronic Visceral Pain,2013-01-01T00:00:00Z,2018-03-20T00:00:00Z,2016-03-20T00:00:00Z,FALSE,NA,None (Open Label),OTHER,FALSE,"University of California, Los Angeles",NA,NA,NA,2012,2013,2018,2016
NCT01608295,2018-04-12,2012-05-25,2017-02-01,Interventional,Phase 4,65,Completed,Vilazodone for Treatment of Geriatric Depression,2012-07-01T00:00:00Z,2015-09-01T00:00:00Z,2015-09-01T00:00:00Z,TRUE,Randomized,Double,OTHER,FALSE,"University of California, Los Angeles",NA,NA,NA,2012,2012,2015,2015
NCT01627366,2016-07-29,2012-06-04,NA,Interventional,Not Applicable,500,Completed,Study of Survivorship Care Plans and Outcomes in Underserved Breast Cancer Survivors,2012-08-01T00:00:00Z,2015-07-01T00:00:00Z,2015-07-01T00:00:00Z,FALSE,Randomized,None (Open Label),OTHER,FALSE,"University of California, Los Angeles",NA,NA,NA,2012,2012,2015,2015
NCT01630434,2018-09-10,2012-06-25,NA,Interventional,Not Applicable,316,Completed,International Randomized Study of the TransMedics Organ Care System (OCS Lung) for Lung Preservation and Transplantation,2011-11-01T00:00:00Z,2016-04-01T00:00:00Z,2014-09-01T00:00:00Z,FALSE,Randomized,None (Open Label),INDUSTRY,TRUE,NA,NA,"Ronald Reagan Medical Center, UCLA",NA,2012,2011,2016,2014
NCT01642719,2019-07-17,2012-07-13,NA,Interventional,Phase 1,200,Completed,Chronic Moderate Sleep Restriction in Older Adults,2012-07-01T00:00:00Z,2018-12-01T00:00:00Z,2017-08-01T00:00:00Z,FALSE,Randomized,Single,OTHER,TRUE,"University of California, Los Angeles",NA,NA,NA,2012,2012,2018,2017
NCT01657461,2017-04-07,2012-08-02,2016-11-15,Interventional,Not Applicable,196,Completed,Solitaire™ With the Intention For Thrombectomy as PRIMary Endovascular Treatment (SWIFT PRIME) Trial,2012-12-01T00:00:00Z,2015-01-01T00:00:00Z,2015-01-01T00:00:00Z,TRUE,Randomized,None (Open Label),INDUSTRY,FALSE,"University of California, Los Angeles",NA,NA,NA,2012,2012,2015,2015
NCT01672723,2015-12-10,2012-08-20,2015-05-29,Interventional,Not Applicable,34,Completed,Neuropharmacological Basis of Social Connection: The Role of Opioids,2012-10-01T00:00:00Z,2014-02-01T00:00:00Z,2014-02-01T00:00:00Z,TRUE,Randomized,Double,OTHER,FALSE,"University of California, Los Angeles",NA,NA,NA,2012,2012,2014,2014
NCT01683643,2017-05-09,2012-09-05,NA,Interventional,Not Applicable,800,Completed,"Screening, Brief Intervention, and Referral to Treatment for Offenders",2012-04-01T00:00:00Z,2017-03-31T00:00:00Z,2017-03-31T00:00:00Z,FALSE,Randomized,None (Open Label),OTHER,FALSE,UCLA Integrated Substance Abuse Programs,NA,UCLA Integrated Substance Abuse Programs,NA,2012,2012,2017,2017
NCT01687634,2017-05-12,2012-09-07,NA,Interventional,Not Applicable,203,Completed,"Home Visiting for Low Income, Pregnant Women",2012-10-01T00:00:00Z,2016-07-01T00:00:00Z,2016-07-01T00:00:00Z,FALSE,Randomized,Single,OTHER,FALSE,"University of California, Los Angeles",NA,NA,NA,2012,2012,2016,2016
NCT01694433,2019-04-18,2012-09-24,2019-03-15,Interventional,Phase 2/Phase 3,66,Completed,"""Clinical Trial to Determine the Efficacy of Vitamin D for Acne Therapy""",2013-02-01T00:00:00Z,2014-01-09T00:00:00Z,2014-01-09T00:00:00Z,TRUE,Randomized,Double,OTHER,FALSE,UCLA Department of Medicine/Division of Dermatology and Nutrition,NA,NA,NA,2012,2013,2014,2014
NCT01698047,2017-05-04,2012-09-26,NA,Interventional,Not Applicable,168,Completed,Building Resiliency and Increasing Community Hope,2012-10-01T00:00:00Z,2014-06-01T00:00:00Z,2014-03-01T00:00:00Z,FALSE,Randomized,Single,OTHER,TRUE,"University of California, Los Angeles",NA,NA,NA,2012,2012,2014,2014
NCT01699178,2021-06-25,2012-09-05,2018-07-16,Interventional,Phase 3,182,Completed,"Open-label, Follow-up Study of Oral Testosterone Undecanoate in Hypogonadal Men",2012-08-01T00:00:00Z,2014-04-01T00:00:00Z,2014-04-01T00:00:00Z,TRUE,Randomized,None (Open Label),INDUSTRY,TRUE,"University of California, Los Angeles",NA,NA,NA,2012,2012,2014,2014
NCT01699789,2021-06-22,2012-09-27,2014-05-06,Interventional,Not Applicable,1246,Completed,Community Partners in Care is a Research Project Funded by the National Institutes of Health,2009-01-01T00:00:00Z,2016-05-31T00:00:00Z,2016-05-31T00:00:00Z,TRUE,Randomized,Single,OTHER,FALSE,"RAND Corporation, UCLA Semel Institute; Harbor-UCLA Medical Center, UCLA Semel Institute; UCLA Semel Institute",NA,NA,NA,2012,2009,2016,2016
NCT01714310,2018-01-26,2012-10-20,2017-12-07,Interventional,Phase 2,34,Completed,Characterization and Sequential Pharmacotherapy of Severe Mood Dysregulation,2013-01-01T00:00:00Z,2016-06-01T00:00:00Z,2016-06-01T00:00:00Z,TRUE,Randomized,Quadruple,OTHER,FALSE,"University of California, Los Angeles",NA,NA,NA,2012,2013,2016,2016
NCT01717859,2019-05-06,2012-10-19,2018-07-09,Interventional,Phase 4,74,Completed,Musculoskeletal Ultrasound in Predicting Early Dose Titration With Tocilizumab,2014-09-01T00:00:00Z,2017-04-01T00:00:00Z,2017-04-01T00:00:00Z,TRUE,NA,None (Open Label),OTHER,FALSE,"UCLA David Geffen School of Medicine, Division of Rheumatology",NA,NA,NA,2012,2014,2017,2017
NCT01720641,2014-08-04,2012-10-29,NA,Interventional,Not Applicable,370,Completed,Partner Notification Strategies for MSM in Peru,2012-08-01T00:00:00Z,2014-08-01T00:00:00Z,2014-08-01T00:00:00Z,FALSE,Randomized,None (Open Label),OTHER,FALSE,"University of California, Los Angeles",NA,NA,NA,2012,2012,2014,2014
NCT01720654,2014-08-04,2012-10-29,NA,Interventional,Not Applicable,165,Completed,Expedited Partner Therapy for MSM in Peru,2012-08-01T00:00:00Z,2014-08-01T00:00:00Z,2014-08-01T00:00:00Z,FALSE,Randomized,None (Open Label),OTHER,FALSE,"University of California, Los Angeles",NA,NA,NA,2012,2012,2014,2014
NCT01723410,2015-12-10,2012-11-01,NA,Interventional,Not Applicable,70,Completed,Neural and Physiological Responses to Real-World Experiences,2013-01-01T00:00:00Z,2015-01-01T00:00:00Z,2015-01-01T00:00:00Z,FALSE,Randomized,Double,OTHER,FALSE,"University of California, Los Angeles",NA,NA,NA,2012,2013,2015,2015
NCT01724047,2014-09-22,2012-11-05,NA,Interventional,Not Applicable,250,Completed,Autism Intervention Research Network for Behavioral Health (AIR-B II): Deployment Into Elementary Schools,2012-11-01T00:00:00Z,2014-06-01T00:00:00Z,2014-06-01T00:00:00Z,FALSE,Randomized,Double,FED,TRUE,"University of California, Los Angeles",NA,NA,NA,2012,2012,2014,2014
