nct_id,last_update_submitted_date,registration_date,summary_results_date,study_type,phase,enrollment,recruitment_status,title,start_date,completion_date,primary_completion_date,has_summary_results,allocation,masking,main_sponsor,is_multicentric,ucla_lead_sponsor,ucla_principal_investigator,ucla_study_chair,ucla_study_director,ucla_unspecified_official,ucla_responsible_party,registration_year,start_year,completion_year
NCT00006429,2016-09-23,2000-11-01,NA,Interventional,Phase 2,200,Completed,Treadmill Training for Spinal Cord Injury,1999-03-01T00:00:00Z,2004-02-01T00:00:00Z,2004-02-01T00:00:00Z,FALSE,Randomized,Single,NIH,TRUE,NA,University of California at Los Angeles (UCLA),NA,NA,NA,NA,2000,1999,2004
NCT00009230,2020-02-28,2001-01-23,NA,Interventional,Phase 3,NA,Completed,Anti-Inflammatory Treatment for Age-Associated Memory Impairment: A Double-Blind Placebo-Controlled Trial,2000-06-01T00:00:00Z,2005-08-01T00:00:00Z,2005-06-01T00:00:00Z,FALSE,Randomized,Double,OTHER,FALSE,"University of California, Los Angeles","University of California, Los Angeles",NA,NA,NA,"University of California, Los Angeles",2001,2000,2005
NCT00012116,2020-07-30,2001-03-03,NA,Interventional,Phase 2,4,Completed,Temozolomide in Treating Patients With Solid Tumors That Have Spread to the Brain,2000-10-01T00:00:00Z,2002-04-01T00:00:00Z,2002-04-01T00:00:00Z,FALSE,NA,None (Open Label),OTHER,FALSE,NA,NA,NA,NA,NA,"UCLA, Jonsson Comprehensive Cancer Center",2001,2000,2002
NCT00020761,2020-07-30,2001-07-11,NA,Interventional,Phase 2,51,Completed,Irinotecan and Paclitaxel in Treating Patients With Metastatic or Recurrent Cancer of the Esophagus or Stomach,2000-04-01T00:00:00Z,2005-08-01T00:00:00Z,2002-12-01T00:00:00Z,FALSE,Non-Randomized,None (Open Label),OTHER,TRUE,NA,NA,NA,NA,NA,UCLA,2001,2000,2005
NCT00020787,2020-07-30,2001-07-11,NA,Interventional,Phase 3,8,Completed,Vaccine Therapy Plus Chemotherapy in Treating Patients With Metastatic or Locally Recurrent Stomach Cancer or Esophageal Cancer,2001-07-01T00:00:00Z,2002-12-01T00:00:00Z,2002-01-01T00:00:00Z,FALSE,NA,None (Open Label),OTHER,FALSE,NA,NA,NA,NA,NA,UCLA,2001,2001,2002
NCT00032422,2006-08-17,2002-03-20,NA,Interventional,Phase 2,200,Completed,Acupuncture in Cardiovascular Disease,2001-07-01T00:00:00Z,2003-06-01T00:00:00Z,NA,FALSE,Randomized,Single,NIH,FALSE,NA,"University of California, Los Angeles",NA,NA,UCLA East/West Medical Center,NA,2002,2001,2003
NCT00032955,2017-01-11,2002-04-05,NA,Interventional,Phase 3,163,Completed,Buprenorphine/Naloxone Versus Clonidine for Inpatient Opiate Detoxification - 1,2001-02-01T00:00:00Z,2002-08-01T00:00:00Z,2002-08-01T00:00:00Z,FALSE,NA,None (Open Label),OTHER,TRUE,"University of California, Los Angeles",NA,NA,NA,NA,"University of California, Los Angeles",2002,2001,2002
NCT00032968,2017-01-11,2002-04-05,NA,Interventional,Phase 3,341,Completed,Buprenorphine/Naloxone Versus Clonidine for Outpatient Opiate Detoxification - 1,2001-01-01T00:00:00Z,2002-08-01T00:00:00Z,2002-08-01T00:00:00Z,FALSE,Randomized,None (Open Label),OTHER,TRUE,"University of California, Los Angeles",NA,NA,NA,NA,"University of California, Los Angeles",2002,2001,2002
NCT00033072,2017-01-10,2002-04-05,NA,Interventional,Phase 1,16,Unknown status,Assessment of Potential Interactions Between Methamphetamine and Selegiline - 1,2001-09-01T00:00:00Z,2002-10-01T00:00:00Z,NA,FALSE,Randomized,Single,NIH,FALSE,NA,"University of California, Los Angeles",NA,NA,NA,NA,2002,2001,2002
NCT00040326,2010-02-22,2002-06-24,NA,Interventional,Phase 3,200,Completed,Early Surgical Intervention to Treat Epilepsy,2002-07-01T00:00:00Z,2007-11-01T00:00:00Z,2007-11-01T00:00:00Z,FALSE,Randomized,Double,OTHER,TRUE,"University of California, Los Angeles","UCLA School of Medicine, Department of Neurology",NA,NA,NA,"UCLA School of Medicine, Department of Neurology",2002,2002,2007
NCT00043693,2012-08-07,2002-08-12,NA,Interventional,Not Applicable,108,Completed,Family Intervention for Mental Illness and Substance Abuse,2002-04-01T00:00:00Z,2008-12-01T00:00:00Z,2008-12-01T00:00:00Z,FALSE,Randomized,None (Open Label),OTHER,TRUE,NA,"University of California, Los Angeles",NA,NA,NA,NA,2002,2002,2008
NCT00046085,2016-09-08,2002-09-19,NA,Interventional,Not Applicable,42,Completed,Online Family Support and Education for Schizophrenia,2001-03-01T00:00:00Z,2006-11-01T00:00:00Z,2005-12-01T00:00:00Z,FALSE,Non-Randomized,Single,OTHER,FALSE,"University of California, Los Angeles","University of California, Los Angeles",NA,NA,NA,NA,2002,2001,2006
NCT00047073,2020-07-30,2002-10-03,NA,Interventional,Phase 1/Phase 2,13,Completed,Sirolimus in Treating Patients With Glioblastoma Multiforme,2002-07-01T00:00:00Z,2007-10-01T00:00:00Z,2005-06-01T00:00:00Z,FALSE,Non-Randomized,None (Open Label),OTHER,FALSE,NA,NA,NA,NA,NA,UCLA,2002,2002,2007
NCT00055978,2011-06-16,2003-03-06,NA,Interventional,Phase 2,112,Completed,Celecoxib in Preventing Lung Cancer in Former Heavy Smokers,2002-10-01T00:00:00Z,2009-05-01T00:00:00Z,2008-03-01T00:00:00Z,FALSE,Randomized,Triple,OTHER,FALSE,"University of California, Los Angeles",NA,NA,NA,NA,Jonsson Comprehensive Cancer Center at UCLA,2003,2002,2009
NCT00059332,2015-07-24,2003-04-23,2015-06-09,Interventional,Phase 3,1700,Completed,Field Administration of Stroke Therapy - Magnesium (FAST-MAG) Trial,2005-01-01T00:00:00Z,2013-03-01T00:00:00Z,2013-03-01T00:00:00Z,TRUE,Randomized,Quadruple,OTHER,FALSE,NA,"UCLA School of Medicine, Study Overall Principal Investigator; UCLA Stroke Center, Co-Principal Investigator",NA,NA,NA,"University of California, Los Angeles",2003,2005,2013
NCT00065169,2020-02-28,2003-07-17,NA,Interventional,Not Applicable,138,Completed,Delaying Alzheimer Disease Symptoms With Anti-Inflammatory Drugs,2000-11-01T00:00:00Z,2005-11-01T00:00:00Z,2005-11-01T00:00:00Z,FALSE,Randomized,Double,OTHER,FALSE,"University of California, Los Angeles",NA,NA,NA,NA,"University of California, Los Angeles",2003,2000,2005
NCT00066950,2022-03-07,2003-08-07,NA,Interventional,Phase 3,361,Completed,Prevention Management Model for Early Childhood Caries (MAYA Project),2003-03-01T00:00:00Z,2005-08-01T00:00:00Z,2005-07-01T00:00:00Z,FALSE,Randomized,Double,OTHER,FALSE,NA,"University of California, Los Angeles",NA,NA,NA,NA,2003,2003,2005
NCT00067847,2010-01-12,2003-08-28,NA,Interventional,Not Applicable,5020,Completed,Evaluation of California's SB 19 Pupil Nutrition Act,2003-07-01T00:00:00Z,2004-05-01T00:00:00Z,NA,FALSE,Randomized,None (Open Label),NIH,FALSE,NA,WestEd-Los Alamitos & UCLA Division of Cancer Prevention and Control Research,NA,NA,NA,NA,2003,2003,2004
NCT00069251,2017-01-11,2003-09-18,NA,Interventional,Phase 2,150,Completed,Bupropion for the Treatment of Methamphetamine Dependence - 1,2003-07-01T00:00:00Z,2005-06-01T00:00:00Z,NA,FALSE,Randomized,Double,NIH,TRUE,NA,"University of California, Los Angeles",NA,NA,NA,NA,2003,2003,2005
NCT00072657,2013-04-01,2003-11-07,NA,Interventional,Not Applicable,106,Completed,Cognitive-Behavioral Therapy and Tai Chi Chih for Patients With Rheumatoid Arthritis,2004-02-01T00:00:00Z,2009-03-01T00:00:00Z,2009-03-01T00:00:00Z,FALSE,Randomized,Single,OTHER,FALSE,"University of California, Los Angeles","University of California, Los Angeles",NA,NA,NA,"University of California, Los Angeles",2003,2004,2009
NCT00076817,2012-10-26,2004-02-03,NA,Interventional,Phase 1,18,Completed,Safety and Effectiveness of Administering an HIV Vaccine in the Groin Versus the Arm,2006-06-01T00:00:00Z,2008-09-01T00:00:00Z,2007-09-01T00:00:00Z,FALSE,Randomized,Double,NIH,FALSE,NA,"University of California, Los Angeles",NA,NA,NA,NA,2004,2006,2008
NCT00078117,2017-01-11,2004-02-19,NA,Interventional,Phase 3,516,Completed,Suboxone: (Buprenorphine/Naloxone) Comparison of Two Taper Schedules - 1,2003-06-01T00:00:00Z,2005-05-01T00:00:00Z,2005-05-01T00:00:00Z,FALSE,NA,NA,OTHER,TRUE,"University of California, Los Angeles","University of California, Los Angeles",NA,NA,NA,"University of California, Los Angeles",2004,2003,2005
NCT00089440,2017-01-10,2004-08-05,NA,Interventional,Phase 1,17,Unknown status,Assessment of Interactions Between Methamphetamine and Aripiprazole - 1,2004-06-01T00:00:00Z,2005-03-01T00:00:00Z,NA,FALSE,NA,NA,NIH,TRUE,NA,"University of California, Los Angeles",NA,NA,NA,NA,2004,2004,2005
NCT00094042,2010-01-26,2004-10-08,NA,Interventional,Not Applicable,16000,Completed,Work and Iron Status Evaluation,2002-01-01T00:00:00Z,2007-07-01T00:00:00Z,2007-07-01T00:00:00Z,FALSE,Randomized,Double,NIH,FALSE,NA,"Department of Economics, UCLA",NA,NA,NA,NA,2004,2002,2007
NCT00095420,2022-02-08,2004-11-04,NA,Interventional,Not Applicable,60,Completed,Relationship Training for Children With Autism and Their Peers,2003-09-01T00:00:00Z,2008-06-01T00:00:00Z,2008-06-01T00:00:00Z,FALSE,Randomized,None (Open Label),OTHER,FALSE,"University of California, Los Angeles","University of California, Los Angeles",NA,NA,NA,"University of California, Los Angeles",2004,2003,2008
NCT00095706,2015-09-23,2004-11-05,NA,Interventional,Phase 1/Phase 2,50,Completed,Treatment of HER2-Positive Metastatic Breast Cancer With Herceptin and Bevacizumab (Antibodies Against HER2 and VEGF),2003-06-01T00:00:00Z,2012-01-01T00:00:00Z,2007-04-01T00:00:00Z,FALSE,Non-Randomized,None (Open Label),OTHER,TRUE,NA,"University of California, Los Angeles",NA,NA,NA,"University of California, Los Angeles",2004,2003,2012
NCT00096759,2013-03-21,2004-11-15,NA,Interventional,Phase 2/Phase 3,100,Completed,Comparing Tai Chi Chih and Relaxation Therapy in the Treatment of Rheumatoid Arthritis,2004-11-01T00:00:00Z,2007-08-01T00:00:00Z,2007-08-01T00:00:00Z,FALSE,Randomized,Single,NIH,TRUE,NA,"University of California, Los Angeles",NA,NA,NA,NA,2004,2004,2007
NCT00099359,2012-10-26,2004-12-10,2012-04-25,Interventional,Phase 3,1735,Completed,Trial of Three Neonatal Antiretroviral Regimens for Prevention of Intrapartum HIV Transmission,2004-02-01T00:00:00Z,2011-02-01T00:00:00Z,2011-02-01T00:00:00Z,TRUE,Randomized,None (Open Label),NIH,TRUE,NA,NA,"University of California, Los Angeles",NA,NA,NA,2004,2004,2011
NCT00099710,2009-12-02,2004-12-17,NA,Interventional,Phase 2,33,Completed,Curcumin in Patients With Mild to Moderate Alzheimer's Disease,2003-07-01T00:00:00Z,2007-12-01T00:00:00Z,2007-12-01T00:00:00Z,FALSE,Randomized,Double,OTHER,FALSE,NA,NA,NA,"University of California, Los Angeles",NA,NA,2004,2003,2007
NCT00099970,2008-08-02,2004-12-21,NA,Interventional,Phase 2,40,Completed,Volociximab in Combination With DTIC in Patients With Metastatic Melanoma Not Previously Treated With Chemotherapy,2004-12-01T00:00:00Z,2006-03-01T00:00:00Z,NA,FALSE,Non-Randomized,None (Open Label),INDUSTRY,TRUE,NA,"University of California, Los Angeles",NA,NA,NA,NA,2004,2004,2006
NCT00102986,2015-12-02,2005-02-04,NA,Interventional,Not Applicable,116,Completed,Differences in Blood Levels of Lopinavir/Ritonavir in HIV Infected Men and Women,2005-10-01T00:00:00Z,2007-07-01T00:00:00Z,NA,FALSE,Non-Randomized,None (Open Label),NIH,TRUE,NA,NA,"Center for AIDS Research and Education, University of California, Los Angeles",NA,NA,NA,2005,2005,2007
NCT00107640,2012-08-11,2005-04-06,NA,Interventional,Phase 2,1186,Completed,Project SHARE (Senior Health and Alcohol Risk Education),2005-05-01T00:00:00Z,2009-09-01T00:00:00Z,2008-09-01T00:00:00Z,FALSE,Randomized,Single,OTHER,FALSE,"University of California, Los Angeles","University of California, Los Angeles",NA,NA,NA,"University of California, Los Angeles",2005,2005,2009
NCT00114478,2008-01-23,2005-06-15,NA,Interventional,Not Applicable,600,Unknown status,Trial of Epinephrine and Albuterol in Bronchiolitis,2003-11-01T00:00:00Z,2006-05-01T00:00:00Z,NA,FALSE,Randomized,Double,OTHER,FALSE,NA,"Kern Medical Center, David Geffen School of Medicine, UCLA",NA,NA,NA,NA,2005,2003,2006
NCT00114530,2021-05-12,2005-06-15,2017-05-05,Interventional,Phase 2/Phase 3,75,Completed,Scleroderma: Cyclophosphamide or Transplantation,2005-06-01T00:00:00Z,2016-04-01T00:00:00Z,2016-04-01T00:00:00Z,TRUE,Randomized,None (Open Label),NIH,TRUE,NA,NA,"University of California, Los Angeles Rheumatology",NA,NA,NA,2005,2005,2016
NCT00116376,2015-11-07,2005-06-28,NA,Interventional,Phase 1/Phase 2,64,Completed,Study of AEE788 in Patients With Recurrent/Relapse Glioblastoma Multiforme (GBM),2004-01-01T00:00:00Z,2005-11-01T00:00:00Z,2005-11-01T00:00:00Z,FALSE,Non-Randomized,None (Open Label),INDUSTRY,TRUE,NA,"University of California, Los Angeles",NA,NA,NA,NA,2005,2004,2005
NCT00118885,2009-12-09,2005-07-08,NA,Interventional,Phase 2,140,Completed,Shingles: Immune Effects of Tai Chi,2001-07-01T00:00:00Z,2004-12-01T00:00:00Z,2004-12-01T00:00:00Z,FALSE,Randomized,NA,NIH,FALSE,NA,"Norman Cousins Professor, Cousins Center for Psychoneuroimmunology, UCLA Neuropsychiatric Institute",NA,NA,NA,NA,2005,2001,2004
NCT00118898,2018-09-11,2005-07-07,2010-01-08,Interventional,Phase 3,1864,Completed,Efavirenz or Atazanavir/Ritonavir Given With Emtricitabine/Tenofovir Disoproxil Fumarate or Abacavir/Lamivudine in HIV Infected Treatment-Naive Adults,2005-09-01T00:00:00Z,2009-11-01T00:00:00Z,2009-11-01T00:00:00Z,TRUE,Randomized,None (Open Label),NETWORK,TRUE,NA,NA,"Harbor-UCLA Medical Center, Los Angeles Biomedical Research Institute",NA,NA,NA,2005,2005,2009
NCT00135785,2017-01-11,2005-08-23,NA,Interventional,Phase 2,73,Completed,Effectiveness of Bupropion Combined With Behavioral Therapy for Treating Methamphetamine Dependence - 2,2005-10-01T00:00:00Z,2007-05-01T00:00:00Z,2007-05-01T00:00:00Z,FALSE,Randomized,Double,NIH,TRUE,NA,"University of California, Los Angeles",NA,NA,NA,UCLA Department of Family Medicine,2005,2005,2007
NCT00154180,2009-09-10,2005-09-07,NA,Interventional,Phase 4,728,Unknown status,Kronos Early Estrogen Prevention Study (KEEPS),2005-09-01T00:00:00Z,2012-07-01T00:00:00Z,2012-05-01T00:00:00Z,FALSE,Randomized,Double,OTHER,TRUE,NA,"University of California, Los Angeles",NA,NA,NA,NA,2005,2005,2012
NCT00158197,2015-08-11,2005-09-08,2013-05-30,Interventional,Not Applicable,119,Completed,Long-term Behavior Change - 1,2004-12-01T00:00:00Z,2008-06-01T00:00:00Z,2008-06-01T00:00:00Z,TRUE,Randomized,None (Open Label),OTHER,TRUE,NA,"University of California, Los Angeles",NA,NA,NA,NA,2005,2004,2008
NCT00158210,2017-01-11,2005-09-08,NA,Interventional,Phase 1,18,Completed,Rivastigmine For Methamphetamine Dependent Individuals,2006-05-01T00:00:00Z,2007-03-01T00:00:00Z,2007-03-01T00:00:00Z,FALSE,Randomized,Double,NIH,FALSE,NA,"University of California, Los Angeles",NA,NA,NA,UCLA Department of Family Medicine,2005,2006,2007
NCT00183014,2012-05-16,2005-09-13,NA,Interventional,Not Applicable,600,Completed,Caminemos! Trial to Increase Walking Among Sedentary Older Latinos,2005-09-01T00:00:00Z,2009-08-01T00:00:00Z,2009-08-01T00:00:00Z,FALSE,Randomized,Single,NIH,FALSE,NA,UCLA Division of Geriatrics,NA,NA,NA,UCLA Division of Geriatrics,2005,2005,2009
NCT00183625,2015-05-20,2005-09-13,2010-05-21,Interventional,Phase 4,107,Completed,Supported Employment and Skills Training in Conjunction With Pharmacotherapy in Schizophrenia Patients,2000-06-01T00:00:00Z,2006-09-01T00:00:00Z,2005-06-01T00:00:00Z,TRUE,Randomized,Quadruple,OTHER,TRUE,"University of California, Los Angeles","University of California, Los Angeles",NA,NA,NA,"Semel Institute, University of California, Los Angeles",2005,2000,2006
NCT00200902,2021-07-26,2005-09-14,2018-05-25,Interventional,Phase 4,88,Completed,Evaluation of Depression Symptoms and Brain Activity Associated With Response to Treatment of Depression,2005-08-01T00:00:00Z,2009-06-01T00:00:00Z,2009-06-01T00:00:00Z,TRUE,Randomized,Triple,OTHER,FALSE,"University of California, Los Angeles","University of California, Los Angeles",NA,NA,NA,"University of California, Los Angeles",2005,2005,2009
NCT00203320,2006-04-20,2005-09-12,NA,Interventional,Phase 1,30,Completed,TNF-Alpha Inhibition for Treatment of Alzheimer's Disease,2005-04-01T00:00:00Z,2006-01-01T00:00:00Z,NA,FALSE,Non-Randomized,None (Open Label),OTHER,FALSE,NA,"unaffiliated (Assistant Clinical Professor of Medicine, David Geffen School of Medicine at UCLA)",NA,NA,NA,NA,2005,2005,2006
NCT00203359,2006-04-20,2005-09-12,NA,Interventional,Phase 1,15,Completed,TNF-Alpha Inhibition for Treatment of Alzheimer's Disease,2004-09-01T00:00:00Z,2006-04-01T00:00:00Z,NA,FALSE,Non-Randomized,None (Open Label),OTHER,FALSE,NA,"unaffiliated (Assistant Clinical Professor of Medicine, David Geffen School of Medicine at UCLA)",NA,NA,NA,NA,2005,2004,2006
NCT00203411,2017-02-03,2005-09-13,2016-02-10,Interventional,Phase 2,45,Completed,Bevacizumab Plus Capecitabine (Xeloda) in Patients With Untreated Metastatic Colorectal Cancer,2006-03-01T00:00:00Z,2011-03-01T00:00:00Z,2011-03-01T00:00:00Z,TRUE,NA,None (Open Label),OTHER,TRUE,NA,NA,"University of California, Los Angeles",NA,NA,NA,2005,2006,2011
NCT00203710,2015-12-10,2005-09-13,NA,Interventional,Not Applicable,50,Completed,Concentric Retriever Device (CRD) in Acute Ischemic Stroke,2003-10-01T00:00:00Z,2004-09-01T00:00:00Z,2004-09-01T00:00:00Z,FALSE,Non-Randomized,None (Open Label),OTHER,FALSE,NA,NA,NA,NA,NA,"University of California, Los Angeles",2005,2003,2004
NCT00203723,2006-05-17,2005-09-13,NA,Interventional,Phase 4,45,Terminated,Use of Risperidone in ECT for Treatment Resistant Depression,2005-03-01T00:00:00Z,2006-05-01T00:00:00Z,NA,FALSE,Randomized,Double,OTHER,FALSE,"University of California, Los Angeles","University of California, Los Angeles",NA,NA,NA,NA,2005,2005,2006
NCT00203749,2013-12-11,2005-09-13,NA,Interventional,Phase 3,192814,Completed,"Community Mobilization, Mobile Testing, Same-Day Results, and Post-Test Support for HIV in Sub-Saharan Africa and Thailand",2004-12-01T00:00:00Z,2011-09-01T00:00:00Z,2011-09-01T00:00:00Z,FALSE,Randomized,None (Open Label),OTHER,TRUE,"University of California, Los Angeles","University of California, Los Angeles",NA,NA,NA,"University of California, Los Angeles",2005,2004,2011
NCT00203788,2013-07-28,2005-09-14,NA,Interventional,Phase 4,87,Completed,Improving Work Outcome in People With Recent-onset Schizophrenia,1999-05-01T00:00:00Z,2006-12-01T00:00:00Z,2006-12-01T00:00:00Z,FALSE,Randomized,None (Open Label),OTHER,FALSE,"University of California, Los Angeles","University of California, Los Angeles, Department of Psychiatry and Biobehavioral Sciences",NA,NA,NA,"University of California, Los Angeles",2005,1999,2006
NCT00215527,2013-02-20,2005-09-19,NA,Interventional,Phase 1,4,Terminated,Intrathecal Enzyme Replacement Therapy for Spinal Cord Compression in Mucopolysaccharidosis (MPS) I,2005-11-01T00:00:00Z,2011-10-01T00:00:00Z,2011-10-01T00:00:00Z,FALSE,NA,None (Open Label),INDIV,TRUE,NA,Los Angeles Biomedical Research Institute at Harbor-UCLA,NA,NA,NA,NA,2005,2005,2011
NCT00218374,2017-01-11,2005-09-16,NA,Interventional,Not Applicable,60,Completed,"Dextromethorphan, Gabapentin, and Oxycodone to Treat Opioid-Induced Hyperalgesia",2006-10-01T00:00:00Z,2007-06-01T00:00:00Z,2007-06-01T00:00:00Z,FALSE,Randomized,Triple,NIH,FALSE,NA,"University of California, Los Angeles",NA,NA,NA,UCLA School of Nursing,2005,2006,2007
NCT00218777,2015-12-10,2005-09-21,NA,Interventional,Phase 2/Phase 3,120,Completed,Cognitive Behavior Therapy and Habit Reversal Training for the Treatment of Chronic Tic Disorders in Children,2004-12-01T00:00:00Z,2007-05-01T00:00:00Z,2007-05-01T00:00:00Z,FALSE,Randomized,Double,OTHER,TRUE,NA,NA,NA,NA,NA,"University of California, Los Angeles",2005,2004,2007
NCT00224770,2015-06-17,2005-09-21,2014-09-21,Interventional,Phase 2,141,Completed,Minimally Invasive Surgery and rtPA for Intracerebral Hemorrhage Evacuation,2005-08-01T00:00:00Z,2013-04-01T00:00:00Z,2012-08-01T00:00:00Z,TRUE,Randomized,None (Open Label),OTHER,TRUE,NA,"University of California, Los Angeles",NA,NA,NA,NA,2005,2005,2013
NCT00229450,2020-02-21,2005-09-28,NA,Interventional,Phase 4,17,Completed,Estrogen and Perimenopausal Depression,2002-04-01T00:00:00Z,2004-08-01T00:00:00Z,2003-08-01T00:00:00Z,FALSE,Randomized,Quadruple,OTHER,FALSE,"University of California, Los Angeles","University of California, Los Angeles",NA,NA,NA,NA,2005,2002,2004
NCT00229593,2014-12-03,2005-09-27,NA,Interventional,Phase 1,140,Completed,"NES Gel-1, To Evaluate Nestorone Gel in Combination With Testosterone Gel",2005-09-01T00:00:00Z,2007-01-01T00:00:00Z,2007-01-01T00:00:00Z,FALSE,Randomized,None (Open Label),OTHER,TRUE,NA,"University of California, Los Angeles",NA,NA,NA,NA,2005,2005,2007
NCT00230191,2007-01-12,2005-09-28,NA,Interventional,Phase 2,110,Completed,Safety and Efficacy of RK0202 in Oral Mucositis,2003-01-01T00:00:00Z,2005-12-01T00:00:00Z,NA,FALSE,Randomized,Double,INDUSTRY,TRUE,NA,"University of California, Los Angeles",NA,NA,NA,NA,2005,2003,2005
NCT00233480,2020-03-06,2005-10-04,2019-04-01,Interventional,Phase 4,27,Completed,Statin Therapy in Heart Failure: Potential Mechanisms of Benefit,2005-08-01T00:00:00Z,2009-02-01T00:00:00Z,2009-02-01T00:00:00Z,TRUE,Randomized,Quadruple,OTHER,FALSE,"University of California, Los Angeles",UCLA Division of Cardiology,NA,NA,NA,"University of California, Los Angeles",2005,2005,2009
NCT00241189,2016-04-08,2005-10-14,NA,Interventional,Phase 1/Phase 2,17,Completed,Rapamycin vs Methotrexate in Diffuse SSc,2002-08-01T00:00:00Z,2006-06-01T00:00:00Z,2006-06-01T00:00:00Z,FALSE,Randomized,Single,OTHER,FALSE,"University of California, Los Angeles","University of California, Los Angeles",NA,NA,NA,"University of California, Los Angeles",2005,2002,2006
NCT00243126,2017-02-27,2005-10-19,NA,Interventional,Not Applicable,168,Completed,Family-based HIV Prevention for Adolescent Girls,2005-11-01T00:00:00Z,2006-12-01T00:00:00Z,2006-12-01T00:00:00Z,FALSE,Randomized,Triple,OTHER,TRUE,NA,NA,"University of California, Los Angeles",NA,NA,NA,2005,2005,2006
NCT00243919,2014-07-09,2005-10-24,2011-03-29,Interventional,Phase 3,408,Completed,Locomotor Experience Applied Post Stroke Trial,2006-04-01T00:00:00Z,2012-06-01T00:00:00Z,2010-04-01T00:00:00Z,TRUE,Randomized,None (Open Label),OTHER,TRUE,NA,NA,NA,"Investigator, Department of Neurology, University of California, Los Angeles, California",NA,NA,2005,2006,2012
