nct_id,last_update_submitted_date,registration_date,summary_results_date,study_type,phase,enrollment,recruitment_status,title,start_date,completion_date,primary_completion_date,has_summary_results,allocation,masking,main_sponsor,is_multicentric,usc_principal_investigator,usc_study_director,usc_study_chair,usc_unspecified_official,registration_year,start_year,completion_year,primary_completion_year
NCT01302405,2017-08-16,2011-02-18,NA,Interventional,Phase 1,23,Terminated,Safety and Efficacy Study of PRI-724 in Subjects With Advanced Solid Tumors,2011-02-01T00:00:00Z,2015-06-01T00:00:00Z,2015-01-01T00:00:00Z,FALSE,NA,None (Open Label),INDUSTRY,TRUE,University of Southern California,NA,NA,NA,2011,2011,2015,2015
NCT01454947,2017-03-30,2011-08-04,2015-07-20,Interventional,Not Applicable,248,Completed,Use of Behavioral Economics to Improve Treatment of Acute Respiratory Infections (Main Study),2011-08-01T00:00:00Z,2014-09-01T00:00:00Z,2014-04-01T00:00:00Z,TRUE,Randomized,Single,OTHER,TRUE,University of Southern California,NA,NA,NA,2011,2011,2014,2014
NCT01469338,2014-11-21,2011-11-01,NA,Interventional,Phase 2,9,Terminated,Cabazitaxel Plus Prednisone With Octreotide For Castration-Resistant Prostate Cancer (CRPC) Previously Treated With Docetaxel,2012-07-01T00:00:00Z,2014-11-01T00:00:00Z,2014-10-01T00:00:00Z,FALSE,NA,None (Open Label),OTHER,FALSE,University of Southern California,NA,NA,NA,2011,2012,2014,2014
NCT01471028,2019-01-22,2011-11-07,2018-07-24,Interventional,Phase 3,203,Completed,Assess Safety and Efficacy of ELAD (Extracorporeal Liver Assist System) in Subjects With Alcohol-Induced Liver Failure,2013-02-01T00:00:00Z,2015-08-01T00:00:00Z,2015-01-01T00:00:00Z,TRUE,Randomized,None (Open Label),INDUSTRY,TRUE,CA - Keck Hospital of University of Southern California,NA,NA,NA,2011,2013,2015,2015
NCT01502761,2017-07-26,2011-12-22,2017-06-30,Interventional,Phase 1/Phase 2,4,Terminated,Intra-arterial Magnesium Administration for Acute Stroke,2012-03-01T00:00:00Z,2016-05-01T00:00:00Z,2016-05-01T00:00:00Z,TRUE,Non-Randomized,None (Open Label),OTHER,TRUE,University of Southern California,NA,NA,NA,2011,2012,2016,2016
NCT01518465,2017-11-27,2012-01-18,NA,Interventional,Phase 2,13,Terminated,"Dalteparin, Lenalidomide, and Low-Dose Dexamethasone in Treating Patients With Previously Untreated Multiple Myeloma",2012-01-09T00:00:00Z,2017-10-31T00:00:00Z,2016-12-31T00:00:00Z,FALSE,Randomized,None (Open Label),OTHER,FALSE,University of Southern California,NA,NA,NA,2012,2012,2017,2016
NCT01595581,2022-02-08,2012-05-08,2017-03-30,Interventional,Phase 3,14,Completed,Testosterone Administration and ACL Reconstruction in Men,2012-04-01T00:00:00Z,2015-05-01T00:00:00Z,2015-05-01T00:00:00Z,TRUE,Randomized,Quadruple,OTHER,FALSE,University of Southern California,NA,NA,NA,2012,2012,2015,2015
NCT01614652,2017-06-21,2012-06-04,NA,Interventional,Phase 3,331,Terminated,A Pivotal Trial to Establish the Efficacy and Long-term Safety of the Parachute Implant System,2012-12-01T00:00:00Z,2017-06-01T00:00:00Z,2017-06-01T00:00:00Z,FALSE,Randomized,None (Open Label),INDUSTRY,TRUE,University of Southern California,NA,NA,NA,2012,2012,2017,2017
NCT01649258,2017-11-15,2012-07-20,NA,Interventional,Phase 1,29,Terminated,Fosaprepitant Dimeglumine and Granisetron Transdermal System in Preventing Nausea and Vomiting in Patients With Breast Cancer Undergoing Chemotherapy,2012-09-04T00:00:00Z,2017-09-30T00:00:00Z,2017-05-22T00:00:00Z,FALSE,NA,None (Open Label),OTHER,FALSE,University of Southern California,NA,NA,NA,2012,2012,2017,2017
NCT01723917,2019-04-02,2012-11-06,NA,Interventional,Not Applicable,71,Completed,Phytoserms for Menopause Symptoms and Age-Associated Memory Decline,2012-07-01T00:00:00Z,2015-01-01T00:00:00Z,2015-01-01T00:00:00Z,FALSE,Randomized,Quadruple,OTHER,FALSE,University of Southern California,NA,NA,NA,2012,2012,2015,2015
NCT01749358,2017-04-04,2012-06-25,NA,Interventional,Phase 1,60,Completed,Dose Optimization for Stroke Evaluation,2012-03-01T00:00:00Z,2016-08-01T00:00:00Z,2016-08-01T00:00:00Z,FALSE,Randomized,Single,OTHER,FALSE,University of Southern California,University of Southern California,NA,NA,2012,2012,2016,2016
NCT01759979,2017-03-30,2012-12-31,NA,Interventional,Not Applicable,60,Completed,Laser Versus Mechanical Lithotripsy of Bile Duct Stones,2013-01-01T00:00:00Z,2016-03-01T00:00:00Z,2016-03-01T00:00:00Z,FALSE,Randomized,Single,OTHER,FALSE,University of Southern California,NA,NA,NA,2012,2013,2016,2016
NCT01761539,2016-07-31,2013-01-03,NA,Interventional,Not Applicable,60,Completed,Moderate Versus Aggressive Fluids for Acute Pancreatitis,2013-04-01T00:00:00Z,2015-11-01T00:00:00Z,2015-11-01T00:00:00Z,FALSE,Randomized,None (Open Label),OTHER,FALSE,University of Southern California,NA,NA,NA,2013,2013,2015,2015
NCT01762410,2014-09-26,2012-12-20,NA,Interventional,Phase 1,60,Suspended,Clinical Study of Oral PI3K/mTOR Inhibitor in Patients With Advanced Refractory Solid Tumors,2012-09-01T00:00:00Z,2016-03-01T00:00:00Z,2015-11-01T00:00:00Z,FALSE,NA,None (Open Label),INDUSTRY,TRUE,University of Southern California,NA,NA,NA,2012,2012,2016,2015
NCT01764698,2017-10-24,2012-12-17,NA,Interventional,Not Applicable,98,Completed,Delivery of Anxiety Disorder Treatment in Addictions Centers,2013-11-15T00:00:00Z,2016-11-15T00:00:00Z,2016-11-15T00:00:00Z,FALSE,Randomized,Single,OTHER,TRUE,University of Southern California,NA,NA,NA,2012,2013,2016,2016
NCT01779336,2014-09-26,2013-01-28,NA,Interventional,Phase 1,70,Suspended,Clinical Study of Oral IGF-1R Inhibitor in Subjects With Advanced Refractory Solid Tumors,2012-12-01T00:00:00Z,2014-12-01T00:00:00Z,2014-11-01T00:00:00Z,FALSE,NA,None (Open Label),INDUSTRY,TRUE,University of Southern California,NA,NA,NA,2013,2012,2014,2014
NCT01801046,2018-03-28,2013-02-26,NA,Interventional,Phase 1,10,Terminated,Donor Stem Cell Transplant in Treating Patients With High Risk Acute Myeloid Leukemia,2013-03-06T00:00:00Z,2017-08-20T00:00:00Z,2017-07-27T00:00:00Z,FALSE,NA,None (Open Label),OTHER,FALSE,University of Southern California,NA,NA,NA,2013,2013,2017,2017
NCT01823458,2017-03-31,2013-03-05,NA,Interventional,Not Applicable,152,Completed,Behavioral Economics Incentives for Health Management,2012-04-01T00:00:00Z,2014-08-01T00:00:00Z,2014-08-01T00:00:00Z,FALSE,Randomized,None (Open Label),OTHER,FALSE,University of Southern California,NA,NA,NA,2013,2012,2014,2014
NCT01866423,2017-07-31,2013-05-28,2017-07-03,Interventional,Phase 2,4,Terminated,Orteronel in Treating Patients With Metastatic Hormone-Resistant Prostate Cancer,2013-10-25T00:00:00Z,2016-07-26T00:00:00Z,2015-07-23T00:00:00Z,TRUE,NA,None (Open Label),OTHER,FALSE,University of Southern California,NA,NA,NA,2013,2013,2016,2015
NCT01909440,2019-06-17,2013-07-24,NA,Interventional,Not Applicable,43,Completed,Resistance Training and Protein Supplementation for Prostate Cancer Survivors,2013-07-08T00:00:00Z,2018-08-07T00:00:00Z,2017-03-10T00:00:00Z,FALSE,Randomized,None (Open Label),OTHER,FALSE,University of Southern California,NA,NA,NA,2013,2013,2018,2017
NCT01957995,2017-04-08,2013-10-04,NA,Interventional,Phase 1,13,Completed,Nanosomal Docetaxel Lipid Suspension in Treating Patients With Advanced Solid Tumors,2013-11-08T00:00:00Z,2016-07-14T00:00:00Z,2014-05-29T00:00:00Z,FALSE,Randomized,None (Open Label),OTHER,FALSE,University of Southern California,NA,NA,NA,2013,2013,2016,2014
NCT01999816,2016-10-26,2013-11-25,NA,Interventional,Phase 3,170,Completed,Pressure Ulcer Prevention Study in SCI,2008-09-01T00:00:00Z,2015-09-01T00:00:00Z,2015-09-01T00:00:00Z,FALSE,Randomized,Single,OTHER,TRUE,University of Southern California,NA,NA,NA,2013,2008,2015,2015
NCT02009046,2018-11-01,2013-11-18,2016-09-07,Interventional,Not Applicable,1909,Completed,"Randomized Evaluation of a Multi-Component, Rights-Based Sexuality Education Initiative for High School Students",2011-09-01T00:00:00Z,2014-05-01T00:00:00Z,2014-05-01T00:00:00Z,TRUE,Randomized,Single,OTHER,FALSE,University of Southern California,NA,NA,NA,2013,2011,2014,2014
NCT02017158,2017-03-29,2013-12-09,NA,Interventional,Not Applicable,180,Completed,Virtual Sprouts: Web-based Gardening Games to Teach Nutrition and Combat Obesity,2011-09-01T00:00:00Z,2016-12-01T00:00:00Z,2016-12-01T00:00:00Z,FALSE,Randomized,None (Open Label),OTHER,TRUE,University of Southern California,University of Southern California,NA,NA,2013,2011,2016,2016
NCT02026037,2017-09-19,2013-12-31,NA,Interventional,Not Applicable,16,Completed,Reducing PTSD in Hospitalized Burn Patients,2013-04-01T00:00:00Z,2015-05-01T00:00:00Z,2015-05-01T00:00:00Z,FALSE,NA,None (Open Label),OTHER,FALSE,University of Southern California,University of Southern California,NA,NA,2013,2013,2015,2015
NCT02057991,2017-11-27,2014-02-05,NA,Interventional,Not Applicable,94,Terminated,Mindfulness-Based Exercise Video in Educating Hispanic/Latino Patients With Colorectal Cancer and Their Caregivers,2014-01-07T00:00:00Z,2017-11-09T00:00:00Z,2016-11-09T00:00:00Z,FALSE,Randomized,None (Open Label),OTHER,FALSE,University of Southern California,NA,NA,NA,2014,2014,2017,2016
NCT02067884,2019-01-23,2014-02-04,NA,Interventional,Phase 1,34,Terminated,Contrast Enhanced Ultrasound and Shear Wave Elastography in Measuring Response in Patients With Breast Cancer Receiving Chemotherapy Before Surgery,2013-12-19T00:00:00Z,2016-09-25T00:00:00Z,2016-09-25T00:00:00Z,FALSE,NA,None (Open Label),OTHER,FALSE,University of Southern California,NA,NA,NA,2014,2013,2016,2016
NCT02091921,2019-06-17,2014-03-17,2017-03-31,Interventional,Phase 1/Phase 2,53,Completed,Switch to Ticagrelor in Critical Limb Ischemia Anti-platelet Study,2014-02-16T00:00:00Z,2016-11-30T00:00:00Z,2016-11-30T00:00:00Z,TRUE,NA,None (Open Label),OTHER,FALSE,University of Southern California,NA,NA,NA,2014,2014,2016,2016
NCT02122354,2022-04-04,2014-04-17,NA,Interventional,Not Applicable,90,Completed,Triggers and Responses to Simulator Sickness in Videogame Players,2014-04-01T00:00:00Z,2014-06-01T00:00:00Z,2014-06-01T00:00:00Z,FALSE,Non-Randomized,None (Open Label),OTHER,FALSE,University of Southern California,NA,University of Southern California,NA,2014,2014,2014,2014
NCT02127892,2017-08-18,2012-10-19,2017-07-17,Interventional,Phase 1/Phase 2,9,Terminated,SCID Bu/Flu/ATG Study With T Cell Depletion,2007-01-02T00:00:00Z,2016-08-01T00:00:00Z,2016-08-01T00:00:00Z,TRUE,Non-Randomized,None (Open Label),OTHER,FALSE,"Children's Hospital Los Angeles, University of Southern California",NA,NA,NA,2012,2007,2016,2016
NCT02158949,2020-07-06,2014-06-03,2020-03-23,Interventional,Not Applicable,48,Completed,Study of Mobile Phone Delivered Intervention to Reduce Alcohol Consumption,2014-05-01T00:00:00Z,2014-07-31T00:00:00Z,2014-07-15T00:00:00Z,TRUE,Randomized,None (Open Label),OTHER,FALSE,University of Southern California,NA,NA,NA,2014,2014,2014,2014
NCT02190578,2015-04-23,2014-07-11,NA,Interventional,Not Applicable,1649,Completed,Clinical Performance of Reveal G4 Rapid HIV-1 Antibody Test,2014-07-01T00:00:00Z,2015-03-01T00:00:00Z,2015-03-01T00:00:00Z,FALSE,NA,None (Open Label),INDUSTRY,TRUE,University of Southern California - Los Angeles,NA,NA,NA,2014,2014,2015,2015
NCT02197338,2016-04-13,2014-07-18,NA,Interventional,Not Applicable,498,Completed,Randomized Trial of Wire and Sphincterotome Systems for Biliary Cannulation,2016-04-01T00:00:00Z,2016-04-01T00:00:00Z,2016-04-01T00:00:00Z,FALSE,Randomized,Single,OTHER,FALSE,University of Southern California,NA,NA,NA,2014,2016,2016,2016
NCT02214641,2019-10-02,2014-08-08,NA,Interventional,Not Applicable,81,Completed,"Resilient, Empowered, Active Living: REAL Diabetes Study",2014-10-01T00:00:00Z,2017-07-01T00:00:00Z,2016-06-01T00:00:00Z,FALSE,Randomized,Single,OTHER,FALSE,University of Southern California,NA,NA,NA,2014,2014,2017,2016
NCT02265120,2015-11-30,2014-09-30,NA,Interventional,Not Applicable,1000,Completed,Primary Care Providers' Views and Understanding of Current Recommended Guidelines for Cervical Cancer Screening,2014-10-01T00:00:00Z,2015-03-01T00:00:00Z,2015-03-01T00:00:00Z,FALSE,NA,None (Open Label),OTHER,FALSE,University of Southern California,NA,NA,NA,2014,2014,2015,2015
NCT02270684,2017-04-01,2014-10-17,2016-05-10,Interventional,Not Applicable,4,Terminated,StepRite Evaluation,2015-05-01T00:00:00Z,2016-01-01T00:00:00Z,2016-01-01T00:00:00Z,TRUE,Randomized,Single,OTHER,TRUE,University of Southern California,NA,NA,NA,2014,2015,2016,2016
NCT02344745,2016-10-24,2015-01-07,2016-06-01,Interventional,Not Applicable,80,Completed,Lavender Aromatherapy for Anxiety During Urodynamics,2014-10-01T00:00:00Z,2015-08-01T00:00:00Z,2015-08-01T00:00:00Z,TRUE,Randomized,Single,OTHER,FALSE,University of Southern California,NA,NA,NA,2015,2014,2015,2015
NCT02358135,2019-07-19,2015-01-06,2018-01-31,Interventional,Not Applicable,300,Completed,Collaborative Connected Health (CCH) for PCORI,2015-02-02T00:00:00Z,2017-08-20T00:00:00Z,2017-08-20T00:00:00Z,TRUE,Randomized,None (Open Label),OTHER,TRUE,University of Southern California,NA,NA,NA,2015,2015,2017,2017
NCT02358915,2017-04-04,2015-01-29,NA,Interventional,Early Phase 1,10,Completed,A Two-step Training Paradigm for Voluntary Control of the Peri-auricular Muscles,2015-02-01T00:00:00Z,2016-08-31T00:00:00Z,2016-08-01T00:00:00Z,FALSE,NA,None (Open Label),OTHER,FALSE,University of Southern California,NA,NA,NA,2015,2015,2016,2016
NCT02370264,2017-04-11,2015-02-17,NA,Interventional,Not Applicable,36,Terminated,Questionnaires in Identifying Upper Extremity Function and Quality of Life After Treatment in Patients With Breast Cancer,2012-10-01T00:00:00Z,2016-10-21T00:00:00Z,2015-09-02T00:00:00Z,FALSE,NA,None (Open Label),OTHER,FALSE,University of Southern California,NA,NA,NA,2015,2012,2016,2015
NCT02459847,2021-11-09,2014-11-07,NA,Interventional,Not Applicable,21,Completed,Mind-Body Training for Hand Rehabilitation,2014-08-01T00:00:00Z,2015-05-01T00:00:00Z,2015-05-01T00:00:00Z,FALSE,Randomized,None (Open Label),OTHER,FALSE,University of Southern California,NA,NA,NA,2014,2014,2015,2015
NCT02459873,2017-04-14,2015-05-27,NA,Interventional,Not Applicable,20,Completed,Modeling and Testing Change in Mental Abilities in Childhood,2015-06-01T00:00:00Z,2016-08-31T00:00:00Z,2016-08-31T00:00:00Z,FALSE,Randomized,Double,OTHER,FALSE,University of Southern California,NA,NA,NA,2015,2015,2016,2016
NCT02494661,2017-03-09,2015-06-05,NA,Interventional,Not Applicable,218,Completed,Nutritional Video Intervention Using Mindfulness-based Principles,2014-10-01T00:00:00Z,2015-07-01T00:00:00Z,2015-07-01T00:00:00Z,FALSE,Non-Randomized,None (Open Label),OTHER,TRUE,University of Southern California,NA,NA,NA,2015,2014,2015,2015
NCT02502019,2018-10-08,2015-07-16,2017-07-21,Interventional,Phase 1,27,Completed,HEMOBLAST Pilot Clinical Investigation,2015-08-01T00:00:00Z,2016-03-01T00:00:00Z,2016-03-01T00:00:00Z,TRUE,NA,None (Open Label),INDUSTRY,TRUE,University of Southern California,NA,NA,NA,2015,2015,2016,2016
NCT02504827,2018-10-29,2015-07-20,2018-09-04,Interventional,Phase 4,12,Completed,Steady-state Pharmacokinetics of Ceftazidime/Avibactam in Cystic Fibrosis,2015-09-01T00:00:00Z,2016-10-01T00:00:00Z,2016-10-01T00:00:00Z,TRUE,NA,None (Open Label),OTHER,FALSE,University of Southern California,NA,NA,NA,2015,2015,2016,2016
NCT02513771,2018-05-18,2015-07-13,2017-11-06,Interventional,Phase 2,90,Completed,Sitagliptin for Reducing Inflammation and Immune Activation,2015-09-01T00:00:00Z,2017-01-10T00:00:00Z,2016-12-13T00:00:00Z,TRUE,Randomized,Double,NETWORK,TRUE,NA,NA,University of Southern California,NA,2015,2015,2017,2016
NCT02576288,2019-07-12,2015-10-12,NA,Interventional,Phase 2,21,Completed,Sitagliptin Effects on Arterial Vasculature and Inflammation in Obesity,2016-01-01T00:00:00Z,2017-12-31T00:00:00Z,2017-12-31T00:00:00Z,FALSE,Randomized,Quadruple,OTHER,FALSE,University of Southern California,NA,NA,NA,2015,2016,2017,2017
NCT02578602,2015-10-14,2015-09-13,NA,Interventional,Phase 1,26,Completed,MRI With Gadoxetate Disodium in Measuring Tumors in Patients With Liver Cancer,2010-10-01T00:00:00Z,2015-06-01T00:00:00Z,2014-11-01T00:00:00Z,FALSE,NA,None (Open Label),OTHER,FALSE,University of Southern California,NA,NA,NA,2015,2010,2015,2014
NCT02650466,2019-07-16,2015-11-12,2019-04-29,Interventional,Not Applicable,24,Completed,Nanopulse Efficacy Study for the Treatment of Common Warts,2013-12-01T00:00:00Z,2016-09-26T00:00:00Z,2016-08-20T00:00:00Z,TRUE,NA,None (Open Label),OTHER,FALSE,University of Southern California,NA,NA,NA,2015,2013,2016,2016
NCT02698735,2019-10-15,2016-02-19,2019-05-31,Interventional,Phase 1/Phase 2,5,Completed,Gentamicin Therapy for Recessive Dystrophic Epidermolysis Bullosa (RDEB) Nonsense Mutation Patients,2016-02-25T00:00:00Z,2017-06-30T00:00:00Z,2017-03-31T00:00:00Z,TRUE,Non-Randomized,Triple,OTHER,TRUE,University of Southern California Department of Dermatology,NA,NA,NA,2016,2016,2017,2017
NCT02790476,2019-02-06,2016-05-27,NA,Interventional,Not Applicable,805,Completed,Behavioral Insights to Encourage Judicious Prescribing of Opioids,2017-01-27T00:00:00Z,2018-02-27T00:00:00Z,2017-05-27T00:00:00Z,FALSE,Randomized,None (Open Label),OTHER,FALSE,University of Southern California,NA,NA,NA,2016,2017,2018,2017
NCT02850770,2017-03-08,2016-04-12,NA,Interventional,Not Applicable,42,Completed,Physical Activity and Social Support Prompting Via Phone Messaging,2015-04-01T00:00:00Z,2015-11-01T00:00:00Z,2015-11-01T00:00:00Z,FALSE,Randomized,None (Open Label),OTHER,TRUE,University of Southern California,NA,NA,NA,2016,2015,2015,2015
NCT02967380,2017-03-22,2015-09-13,NA,Interventional,Not Applicable,14,Terminated,"Gadobutrol Versus Gadopentetate Dimeglumine or Gadobenate Dimeglumine Before DCE-MRI in Diagnosing Patients With Multiple Sclerosis, Grade II-IV Glioma, or Brain Metastases",2011-12-14T00:00:00Z,2015-10-14T00:00:00Z,2014-10-14T00:00:00Z,FALSE,NA,None (Open Label),OTHER,FALSE,University of Southern California,NA,NA,NA,2015,2011,2015,2014
NCT02971241,2019-05-03,2016-11-19,NA,Interventional,Not Applicable,617,Completed,Intergenerational mHealth Diabetes Program OPPORTUNITIES PROGRAM IN TAIWAN,2015-10-01T00:00:00Z,2019-04-01T00:00:00Z,2017-05-01T00:00:00Z,FALSE,Non-Randomized,None (Open Label),OTHER,TRUE,University of Southern California,NA,NA,NA,2016,2015,2019,2017
