nct_id,last_update_submitted_date,registration_date,summary_results_date,study_type,phase,enrollment,recruitment_status,title,start_date,completion_date,primary_completion_date,has_summary_results,allocation,masking,main_sponsor,is_multicentric,usc_lead_sponsor,usc_principal_investigator,usc_study_director,usc_study_chair,usc_unspecified_official,usc_responsible_party,registration_year,start_year,completion_year
NCT00003009,2014-05-20,1999-11-01,NA,Interventional,Phase 1,16,Terminated,Inhaled Interleukin-2 in Treating Patients With Metastatic or Unresectable Cancer,1996-02-01T00:00:00Z,2000-08-01T00:00:00Z,2000-08-01T00:00:00Z,FALSE,NA,NA,OTHER,FALSE,University of Southern California,NA,NA,University of Southern California,NA,NA,1999,1996,2000
NCT00003050,2014-05-20,1999-11-01,NA,Interventional,Phase 2,46,Completed,Radiation Therapy Plus Paclitaxel in Treating Patients With Stage IIB or Stage III Breast Cancer,1997-04-01T00:00:00Z,2000-03-01T00:00:00Z,2000-03-01T00:00:00Z,FALSE,NA,NA,OTHER,TRUE,University of Southern California,NA,NA,University of Southern California,NA,NA,1999,1997,2000
NCT00003085,2014-05-20,1999-11-01,NA,Interventional,Phase 2,28,Terminated,Laparoscopic Ultrasound in Diagnosing Patients With Pancreatic Cancer,1996-09-01T00:00:00Z,2000-07-01T00:00:00Z,2000-07-01T00:00:00Z,FALSE,NA,NA,OTHER,FALSE,University of Southern California,NA,NA,University of Southern California,NA,NA,1999,1996,2000
NCT00003274,2014-05-20,1999-11-01,NA,Interventional,Phase 2,48,Completed,Vaccine Therapy in Treating Patients With Stage II Melanoma That Can Be Removed by Surgery,1998-03-01T00:00:00Z,2002-11-01T00:00:00Z,2001-09-01T00:00:00Z,FALSE,Randomized,NA,OTHER,TRUE,University of Southern California,NA,NA,University of Southern California,NA,NA,1999,1998,2002
NCT00003339,2014-05-20,1999-11-01,NA,Interventional,Phase 2,48,Completed,Vaccine Therapy With or Without Interleukin-12 in Treating Patients With Stage III or Stage IV Melanoma,1998-11-01T00:00:00Z,2004-09-01T00:00:00Z,1999-11-01T00:00:00Z,FALSE,Randomized,NA,OTHER,TRUE,University of Southern California,NA,NA,University of Southern California,NA,NA,1999,1998,2004
NCT00003449,2014-05-20,1999-11-01,NA,Interventional,Phase 2,35,Completed,Combination Chemotherapy in Treating Patients With Platinum-Resistant Recurrent Ovarian Cancer,1998-05-01T00:00:00Z,2004-02-01T00:00:00Z,2002-06-01T00:00:00Z,FALSE,NA,NA,OTHER,FALSE,University of Southern California,NA,NA,University of Southern California,NA,NA,1999,1998,2004
NCT00003549,2012-10-05,1999-11-01,NA,Interventional,Phase 2,80,Completed,S9716: Combination Chemotherapy in Treating Patients With Merkel Cell Cancer,1998-10-01T00:00:00Z,2003-01-01T00:00:00Z,2001-09-01T00:00:00Z,FALSE,NA,None (Open Label),NETWORK,TRUE,NA,NA,NA,University of Southern California,NA,NA,1999,1998,2003
NCT00003773,2014-05-20,1999-11-01,NA,Interventional,Phase 1,43,Completed,IM-862 in Treating Patients With Recurrent Ovarian Cancer,1999-02-01T00:00:00Z,2001-08-01T00:00:00Z,2000-07-01T00:00:00Z,FALSE,NA,NA,OTHER,FALSE,University of Southern California,NA,NA,University of Southern California,NA,NA,1999,1999,2001
NCT00003843,2015-02-13,1999-11-01,NA,Observational,NA,28,Terminated,Irinotecan in Treating Patients With Colorectal Cancer,1998-10-01T00:00:00Z,2001-02-01T00:00:00Z,2001-02-01T00:00:00Z,FALSE,NA,NA,NETWORK,TRUE,NA,NA,NA,University of Southern California,NA,NA,1999,1998,2001
NCT00003901,2016-12-22,1999-11-01,2016-12-22,Interventional,Phase 3,1310,Completed,"Prognostic Study of Metastases in Patients With Stage I, Stage II, or Stage III Non-small Cell Lung Cancer That Can Be Removed by Surgery",1999-07-01T00:00:00Z,2011-10-01T00:00:00Z,2011-10-01T00:00:00Z,TRUE,NA,None (Open Label),OTHER,TRUE,NA,NA,NA,University of Southern California,NA,NA,1999,1999,2011
NCT00004243,2010-01-11,2000-01-28,NA,Interventional,Phase 1,NA,Completed,Docetaxel and Oxaliplatin in Treating Patients With Metastatic or Recurrent Solid Tumor,2000-03-01T00:00:00Z,NA,NA,FALSE,NA,NA,OTHER,TRUE,NA,NA,NA,University of Southern California,NA,NA,2000,2000,NA
NCT00005047,2017-05-10,2000-04-06,2017-03-23,Interventional,Phase 3,521,Terminated,"4B951, Combination Chemotherapy in Treating Patients With Bladder Cancer",1997-08-01T00:00:00Z,2014-12-01T00:00:00Z,2011-03-01T00:00:00Z,TRUE,Randomized,None (Open Label),NETWORK,TRUE,NA,NA,NA,University of Southern California,NA,NA,2000,1997,2014
NCT00005135,2016-08-05,2000-05-25,NA,Observational,NA,NA,Completed,Insulin Resistance Atherosclerosis Study (IRAS),1991-09-01T00:00:00Z,2008-12-01T00:00:00Z,2008-12-01T00:00:00Z,FALSE,NA,NA,NIH,TRUE,NA,NA,NA,NA,University of Southern California,NA,2000,1991,2008
NCT00005275,2013-05-19,2000-05-25,NA,Observational,NA,6441,Completed,Sleep Heart Health Study (SHHS) Data Coordinating Center,1994-09-01T00:00:00Z,2011-05-01T00:00:00Z,2011-05-01T00:00:00Z,FALSE,NA,NA,OTHER,TRUE,NA,University of Southern California,NA,NA,NA,NA,2000,1994,2011
NCT00005327,2019-07-02,2000-05-25,NA,Observational,NA,NA,Completed,Prevention of Cerebral Infarction in Sickle Cell Anemia - Comprehensive Sickle Cell Center,1993-04-01T00:00:00Z,2003-03-01T00:00:00Z,1998-03-01T00:00:00Z,FALSE,NA,NA,OTHER,TRUE,University of Southern California,NA,NA,NA,University of Southern California,NA,2000,1993,2003
NCT00005372,2016-01-15,2000-05-25,NA,Observational,NA,NA,Completed,Intimal Thickening and Antioxidants in Hispanics and Anglos (Los Angeles Atherosclerosis Study),1994-01-01T00:00:00Z,2005-02-01T00:00:00Z,NA,FALSE,NA,NA,OTHER,TRUE,University of Southern California,NA,NA,NA,University of Southern California,NA,2000,1994,2005
NCT00005433,2017-04-20,2000-05-25,NA,Observational,NA,188,Completed,Correlates of Angiographic Changes and Coronary Events,1996-04-01T00:00:00Z,1997-04-01T00:00:00Z,1997-04-01T00:00:00Z,FALSE,NA,NA,OTHER,TRUE,University of Southern California,NA,NA,NA,NA,University of Southern California,2000,1996,1997
NCT00005540,2017-03-29,2000-05-25,NA,Observational,NA,3403,Completed,Physical Fitness and Cardiovascular Mortality in Firefighters,1999-07-01T00:00:00Z,2002-05-01T00:00:00Z,NA,FALSE,NA,NA,OTHER,TRUE,University of Southern California,NA,NA,NA,University of Southern California,University of Southern California,2000,1999,2002
NCT00005696,2016-02-26,2000-05-25,NA,Observational,NA,NA,Completed,Early Atherosclerosis Change in Two Clinical Trials,1994-01-01T00:00:00Z,1996-12-01T00:00:00Z,NA,FALSE,NA,NA,NIH,TRUE,NA,NA,NA,NA,University of Southern California,NA,2000,1994,1996
NCT00005839,2015-06-03,2000-06-02,NA,Interventional,Phase 1,NA,Completed,Oxaliplatin Plus Capecitabine in Treating Patients With Metastatic or Recurrent Solid Tumor,2000-08-01T00:00:00Z,2004-06-01T00:00:00Z,2004-06-01T00:00:00Z,FALSE,NA,NA,OTHER,TRUE,NA,NA,NA,University of Southern California,NA,NA,2000,2000,2004
NCT00005841,2014-05-20,2000-06-02,NA,Interventional,Phase 1,15,Terminated,Vaccine Therapy in Treating Patients With Stage III or Stage IV Melanoma,2000-06-01T00:00:00Z,2002-10-01T00:00:00Z,2000-12-01T00:00:00Z,FALSE,NA,NA,OTHER,TRUE,University of Southern California,NA,NA,University of Southern California,NA,NA,2000,2000,2002
NCT00006037,2014-05-20,2000-07-05,NA,Interventional,Phase 2,18,Terminated,Chemotherapy Plus IM-862 in Treating Patients With Metastatic Colorectal Cancer,1999-11-01T00:00:00Z,2001-11-01T00:00:00Z,2001-11-01T00:00:00Z,FALSE,NA,NA,OTHER,FALSE,University of Southern California,NA,NA,University of Southern California,NA,NA,2000,1999,2001
NCT00006113,2014-05-20,2000-08-03,NA,Interventional,Phase 2,25,Terminated,Vaccine Therapy Followed by Biological Therapy in Treating Patients With Stage III or Stage IV Melanoma,1999-06-01T00:00:00Z,2006-04-01T00:00:00Z,2003-05-01T00:00:00Z,FALSE,NA,NA,OTHER,FALSE,University of Southern California,NA,NA,University of Southern California,NA,NA,2000,1999,2006
NCT00006389,2014-09-26,2000-10-04,2014-09-26,Interventional,Phase 2,12,Completed,Bryostatin 1 and Cisplatin in Treating Patients With Metastatic or Unresectable Stomach Cancer,2000-10-01T00:00:00Z,2010-03-01T00:00:00Z,2010-03-01T00:00:00Z,TRUE,NA,None (Open Label),NIH,FALSE,NA,University of Southern California,NA,NA,NA,NA,2000,2000,2010
NCT00006812,2013-04-10,2000-12-06,NA,Interventional,Phase 2,NA,Terminated,Capecitabine in Treating Patients With Recurrent Ovarian Epithelial or Primary Peritoneal Cavity Cancer,2001-03-01T00:00:00Z,NA,2005-07-01T00:00:00Z,FALSE,NA,NA,NETWORK,TRUE,NA,NA,NA,University of Southern California,NA,NA,2000,2001,NA
NCT00007319,2008-09-16,2000-12-16,NA,Observational,NA,132,Completed,Carotid Artery Thickness in HIV Infected and Uninfected Adults,NA,NA,NA,FALSE,NA,NA,NIH,TRUE,NA,NA,NA,"Atherosclerosis Research Unit, University of Southern California",NA,NA,2000,NA,NA
NCT00007878,2013-12-10,2001-01-06,NA,Interventional,Phase 1,30,Completed,"Bortezomib, Fluorouracil, and Leucovorin Calcium in Treating Patients With Solid Tumors That Are Metastatic or Cannot Be Removed By Surgery",2000-09-01T00:00:00Z,NA,2008-01-01T00:00:00Z,FALSE,NA,None (Open Label),NIH,FALSE,NA,University of Southern California,NA,NA,NA,NA,2001,2000,NA
NCT00015548,2015-06-16,2001-04-20,NA,Interventional,Not Applicable,450,Completed,CATIE-Alzheimer's Disease Trial,2001-03-01T00:00:00Z,2004-10-01T00:00:00Z,NA,FALSE,Randomized,Double,NIH,TRUE,NA,University of Southern California,NA,NA,NA,NA,2001,2001,2004
NCT00016926,2013-05-24,2001-06-06,NA,Interventional,Phase 2,NA,Completed,"Capecitabine in Treating Patients With Advanced, Persistent, or Recurrent Cervical Cancer",2001-04-01T00:00:00Z,NA,2007-07-01T00:00:00Z,FALSE,NA,NA,NETWORK,TRUE,NA,NA,NA,University of Southern California,NA,NA,2001,2001,NA
NCT00023595,2019-09-17,2001-09-11,2016-12-23,Interventional,Phase 3,2136,Completed,Comparison of Surgical and Medical Treatment for Congestive Heart Failure and Coronary Artery Disease,2002-01-01T00:00:00Z,2015-11-01T00:00:00Z,2015-11-01T00:00:00Z,TRUE,Randomized,None (Open Label),OTHER,FALSE,NA,"Magnetic Resonance Imaging Core Lab, University of Southern California",NA,NA,NA,NA,2001,2002,2015
NCT00025181,2014-05-20,2001-10-11,NA,Interventional,Phase 1,19,Completed,Monoclonal Antibody and Vaccine Therapy in Treating Patients With Stage III or Stage IV Melanoma That Has Been Removed During Surgery,2001-10-01T00:00:00Z,2005-06-01T00:00:00Z,2003-01-01T00:00:00Z,FALSE,NA,NA,OTHER,FALSE,University of Southern California,NA,NA,University of Southern California,NA,NA,2001,2001,2005
NCT00026091,2013-03-22,2001-11-09,NA,Interventional,Phase 2,40,Completed,Fenretinide in Treating Patients With Recurrent or Metastatic Ovarian Epithelial or Primary Peritoneal Cancer,2001-09-01T00:00:00Z,NA,2004-03-01T00:00:00Z,FALSE,NA,None (Open Label),NIH,FALSE,NA,University of Southern California,NA,NA,NA,NA,2001,2001,NA
NCT00028431,2014-05-20,2002-01-04,NA,Interventional,Phase 1,19,Completed,Novel Adjuvants for Peptide-Based Melanoma Vaccines,2001-08-01T00:00:00Z,2005-06-01T00:00:00Z,2003-01-01T00:00:00Z,FALSE,Non-Randomized,None (Open Label),OTHER,FALSE,University of Southern California,University of Southern California/Norris Cancer Center,NA,NA,NA,NA,2002,2001,2005
NCT00030615,2013-02-06,2002-02-14,NA,Interventional,Phase 1,24,Completed,Decitabine in Treating Patients With Advanced Solid Tumors,2001-12-01T00:00:00Z,NA,2008-09-01T00:00:00Z,FALSE,NA,None (Open Label),NIH,FALSE,NA,University of Southern California,NA,NA,NA,NA,2002,2001,NA
NCT00031733,2014-05-20,2002-03-08,NA,Interventional,Phase 2,60,Completed,Vaccine Therapy and Interleukin-12 With Either Alum or Sargramostim After Surgery in Treating Patients With Melanoma,2002-02-01T00:00:00Z,2007-11-01T00:00:00Z,2004-12-01T00:00:00Z,FALSE,Randomized,NA,OTHER,FALSE,University of Southern California,NA,NA,University of Southern California,NA,NA,2002,2002,2007
NCT00033540,2017-08-14,2002-04-09,2012-06-14,Interventional,Phase 2,57,Completed,S0202 Gemcitabine and Capecitabine for Unresectable Locally Advanced Metastatic Gallbladder Cancer or Cholangiocarcinoma,2003-09-01T00:00:00Z,2011-07-01T00:00:00Z,2008-04-01T00:00:00Z,TRUE,NA,None (Open Label),NETWORK,TRUE,NA,NA,NA,University of Southern California,NA,NA,2002,2003,2011
NCT00035919,2014-05-20,2002-05-06,NA,Interventional,Phase 1/Phase 2,0,Withdrawn,Safety and Efficacy of Targeted Gene Transfer in Colorectal Cancer Metastatic to Liver,2002-11-01T00:00:00Z,2003-10-01T00:00:00Z,NA,FALSE,Non-Randomized,None (Open Label),OTHER,TRUE,University of Southern California,NA,NA,NA,NA,NA,2002,2002,2003
NCT00042783,2013-06-21,2002-08-05,NA,Interventional,Phase 2,NA,Completed,Vaccine Therapy in Treating Patients With Stage IV Melanoma,2002-09-01T00:00:00Z,2006-03-01T00:00:00Z,NA,FALSE,NA,None (Open Label),NETWORK,TRUE,NA,NA,NA,University of Southern California,NA,NA,2002,2002,2006
NCT00049335,2013-01-02,2002-11-12,NA,Interventional,Phase 2,29,Completed,S0030: Capecitabine in Treating Older Patients W/Metastatic or Recurrent Colorectal Cancer That Cannot Be Surgically Removed,2003-02-01T00:00:00Z,2007-06-01T00:00:00Z,2007-06-01T00:00:00Z,FALSE,NA,None (Open Label),NETWORK,TRUE,NA,NA,NA,University of Southern California,NA,NA,2002,2003,2007
NCT00060788,2006-03-06,2003-05-13,NA,Observational,NA,663,Unknown status,Antisocial Behavior: Passing From Parent to Child to Grandchild,2001-09-01T00:00:00Z,2005-12-01T00:00:00Z,NA,FALSE,NA,NA,NIH,FALSE,NA,University of Southern California,NA,NA,NA,NA,2003,2001,2005
NCT00065299,2005-06-23,2003-07-21,NA,Interventional,Not Applicable,572,Completed,Low Phenylalanine Diet for Mothers With Phenylketonuria (PKU),1984-05-01T00:00:00Z,2000-04-01T00:00:00Z,NA,FALSE,Non-Randomized,None (Open Label),NIH,TRUE,NA,University of Southern California,NA,NA,NA,NA,2003,1984,2000
NCT00070434,2012-06-05,2003-10-03,NA,Interventional,Phase 2,0,Withdrawn,S0304 Induct Chemo Then Chemo-RT in Pts w/Locally Advanced Adenocarcinoma of the Rectum,2004-08-01T00:00:00Z,NA,2006-02-01T00:00:00Z,FALSE,Non-Randomized,None (Open Label),NETWORK,TRUE,NA,NA,NA,University of Southern California,NA,NA,2003,2004,NA
NCT00080899,2015-02-19,2004-04-07,2015-02-19,Interventional,Phase 2,23,Completed,Fenretinide in Treating Patients With Biochemically Recurrent Hormone-Naïve Prostate Cancer,2004-06-01T00:00:00Z,2009-01-01T00:00:00Z,2009-01-01T00:00:00Z,TRUE,NA,None (Open Label),NIH,FALSE,NA,"University of Southern California, Norris",NA,NA,NA,NA,2004,2004,2009
NCT00085189,2014-05-20,2004-06-10,NA,Interventional,Phase 2,42,Completed,Vaccine Therapy in Treating Patients With Stage IIC-IV Melanoma,2004-05-01T00:00:00Z,2007-09-01T00:00:00Z,2007-09-01T00:00:00Z,FALSE,Non-Randomized,None (Open Label),OTHER,FALSE,University of Southern California,University of Southern California,NA,NA,NA,NA,2004,2004,2007
NCT00089063,2015-04-14,2004-08-04,NA,Interventional,Phase 2,40,Completed,Vaccine Therapy With or Without Sargramostim in Treating Patients Who Have Undergone Surgery for Melanoma,2004-06-01T00:00:00Z,2007-06-01T00:00:00Z,2007-06-01T00:00:00Z,FALSE,Randomized,None (Open Label),NIH,FALSE,NA,University of Southern California,NA,NA,NA,NA,2004,2004,2007
NCT00096031,2018-08-29,2004-11-09,2012-04-04,Interventional,Phase 2,63,Completed,S0415 Cetuximab in Treating Patients With Metastatic Esophageal Cancer or Gastroesophageal Junction Cancer,2004-10-01T00:00:00Z,2010-01-01T00:00:00Z,2008-01-01T00:00:00Z,TRUE,NA,None (Open Label),NETWORK,TRUE,NA,NA,NA,University of Southern California,NA,NA,2004,2004,2010
NCT00103103,2010-10-11,2005-02-07,NA,Interventional,Phase 2,NA,Terminated,"Bortezomib, Fluorouracil, and Leucovorin in Treating Patients With Metastatic or Unresectable Stomach Cancer",2005-03-01T00:00:00Z,2005-08-01T00:00:00Z,2005-08-01T00:00:00Z,FALSE,NA,None (Open Label),NETWORK,TRUE,NA,NA,NA,University of Southern California,NA,NA,2005,2005,2005
NCT00103311,2015-02-13,2005-02-07,2015-02-13,Interventional,Phase 2,64,Completed,SB-715992 in Treating Patients With Advanced or Metastatic Colorectal Cancer,2005-01-01T00:00:00Z,2010-09-01T00:00:00Z,2010-01-01T00:00:00Z,TRUE,Randomized,None (Open Label),NIH,FALSE,NA,"University of Southern California, Norris",NA,NA,NA,NA,2005,2005,2010
NCT00104923,2017-07-18,2005-03-03,NA,Interventional,Phase 1,29,Completed,Fenretinide in Treating Patients With Refractory or Relapsed Hematologic Cancer,2005-02-01T00:00:00Z,2017-04-01T00:00:00Z,2017-04-01T00:00:00Z,FALSE,Non-Randomized,None (Open Label),NETWORK,TRUE,NA,NA,NA,University of Southern California,NA,NA,2005,2005,2017
NCT00114387,2009-12-09,2005-06-14,NA,Interventional,Phase 2/Phase 3,353,Completed,VEAPS: Vitamin E Atherosclerosis Prevention Study,1996-07-01T00:00:00Z,2000-09-01T00:00:00Z,2000-09-01T00:00:00Z,FALSE,Randomized,Double,NIH,FALSE,NA,"University of Southern California, Atherosclerosis Research Unit, Division of Cardiovascular Medicine, Department of Medicine",NA,NA,NA,NA,2005,1996,2000
NCT00114400,2009-12-09,2005-06-14,NA,Interventional,Phase 2/Phase 3,506,Completed,BVAIT: B-Vitamin Atherosclerosis Intervention Trial,2000-11-01T00:00:00Z,2007-02-01T00:00:00Z,2007-02-01T00:00:00Z,FALSE,Randomized,Double,NIH,FALSE,NA,"University of Southern California, Atherosclerosis Research Unit, Division of Cardiovascular Medicine, Department of Medicine",NA,NA,NA,NA,2005,2000,2007
NCT00114517,2017-06-05,2005-06-15,2017-04-17,Interventional,Phase 2/Phase 3,643,Completed,ELITE: Early Versus Late Intervention Trial With Estradiol,2004-07-01T00:00:00Z,2013-03-05T00:00:00Z,2013-02-12T00:00:00Z,TRUE,Randomized,Quadruple,OTHER,FALSE,University of Southern California,"University of Southern California, Atherosclerosis Research Unit, Division of Cardiovascular Medicine, Department of Medicine",NA,NA,NA,University of Southern California,2005,2004,2013
NCT00115024,2009-12-09,2005-06-20,NA,Interventional,Phase 2/Phase 3,222,Completed,EPAT: Estrogen in the Prevention of Atherosclerosis Trial,1994-04-01T00:00:00Z,1998-11-01T00:00:00Z,1998-11-01T00:00:00Z,FALSE,Randomized,Double,NIH,FALSE,NA,"University of Southern California, Atherosclerosis Research Unit, Division of Cardiovascular Medicine, Department of Medicine",NA,NA,NA,NA,2005,1994,1998
NCT00116545,2009-12-09,2005-06-29,NA,Interventional,Phase 2/Phase 3,288,Completed,TART - Troglitazone Atherosclerosis Regression Trial,1997-01-01T00:00:00Z,2000-04-01T00:00:00Z,2000-04-01T00:00:00Z,FALSE,Randomized,Double,INDUSTRY,FALSE,NA,"University of Southern California, Atherosclerosis Research Unit, Division of Cardiovascular Medicine, Department of Medicine",NA,NA,NA,NA,2005,1997,2000
NCT00116870,2009-12-09,2005-06-30,NA,Interventional,Phase 2/Phase 3,270,Completed,MARS - Monitored Atherosclerosis Regression Study,1985-06-01T00:00:00Z,1992-02-01T00:00:00Z,1992-02-01T00:00:00Z,FALSE,Randomized,Double,INDUSTRY,FALSE,NA,"University of Southern California, Atherosclerosis Research Unit, Division of Cardiovascular Medicine, Department of Medicine",NA,NA,NA,NA,2005,1985,1992
NCT00118846,2017-03-28,2005-07-07,NA,Interventional,Phase 2/Phase 3,350,Completed,Women's Isoflavone Soy Health (WISH) Trial,2004-03-01T00:00:00Z,2009-03-01T00:00:00Z,2005-09-01T00:00:00Z,FALSE,Randomized,Quadruple,OTHER,FALSE,University of Southern California,University of Southern California Keck School of Medicine,NA,NA,NA,University of Southern California,2005,2004,2009
NCT00122044,2014-05-21,2005-07-18,NA,Interventional,Phase 2,35,Completed,Childhood Hypertonia of Central Origin: A Trial of Anticholinergic Treatment Effects,2003-01-01T00:00:00Z,2004-12-01T00:00:00Z,2004-12-01T00:00:00Z,FALSE,Non-Randomized,None (Open Label),OTHER,TRUE,University of Southern California,NA,NA,NA,NA,University of Southern California,2005,2003,2004
NCT00134056,2021-10-08,2005-08-22,2017-01-04,Interventional,Phase 3,1038,Completed,"S0421, Docetaxel and Prednisone With or Without Atrasentan in Treating Patients With Stage IV Prostate Cancer and Bone Metastases That Did Not Respond to Previous Hormone Therapy",2006-08-01T00:00:00Z,2016-02-01T00:00:00Z,2016-02-01T00:00:00Z,TRUE,Randomized,Triple,NETWORK,TRUE,NA,NA,NA,University of Southern California,NA,NA,2005,2006,2016
NCT00140413,2015-03-27,2005-08-31,2015-02-17,Interventional,Phase 4,20,Completed,Endocrine Dysfunction and Growth Hormone Deficiency in Children With Optic Nerve Hypoplasia,2004-12-01T00:00:00Z,2014-02-01T00:00:00Z,2014-02-01T00:00:00Z,TRUE,Randomized,None (Open Label),OTHER,FALSE,NA,Childrens Hospital Los Angeles; University of Southern California,NA,NA,NA,NA,2005,2004,2014
NCT00154180,2009-09-10,2005-09-07,NA,Interventional,Phase 4,728,Unknown status,Kronos Early Estrogen Prevention Study (KEEPS),2005-09-01T00:00:00Z,2012-07-01T00:00:00Z,2012-05-01T00:00:00Z,FALSE,Randomized,Double,OTHER,TRUE,NA,University of Southern California,NA,NA,NA,NA,2005,2005,2012
NCT00159432,2014-07-22,2005-09-07,2013-11-27,Interventional,Phase 2,63,Completed,"Study of Oxaliplatin, Capecitabine and Bevacizumab as First Line Treatment for Patients With Advanced Colorectal Cancer",2005-02-01T00:00:00Z,2013-03-01T00:00:00Z,2009-06-01T00:00:00Z,TRUE,NA,None (Open Label),OTHER,FALSE,University of Southern California,NA,NA,NA,NA,NA,2005,2005,2013
NCT00159445,2014-05-20,2005-09-07,NA,Interventional,Phase 2,53,Completed,Capecitabine and Gemcitabine in Patients With Metastatic Colorectal Cancer,2004-03-01T00:00:00Z,2007-11-01T00:00:00Z,2007-03-01T00:00:00Z,FALSE,Non-Randomized,None (Open Label),OTHER,FALSE,University of Southern California,NA,NA,NA,NA,NA,2005,2004,2007
NCT00159458,2014-05-20,2005-09-08,NA,Interventional,Phase 2,7,Terminated,Clinical Trial of Gemcitabine and Oxaliplatin in Recurrent or Metastatic Breast Cancer,2003-07-01T00:00:00Z,2006-12-01T00:00:00Z,2006-11-01T00:00:00Z,FALSE,NA,None (Open Label),OTHER,TRUE,University of Southern California,NA,NA,NA,NA,NA,2005,2003,2006
NCT00159471,2014-05-20,2005-09-09,NA,Interventional,Not Applicable,1,Terminated,"Genes as Predictors of Response to Gemcitabine, Docetaxel, and Capecitabine (GTX) in Metastatic or Unresectable Pancreatic Cancer.",2005-02-01T00:00:00Z,2006-07-01T00:00:00Z,2006-06-01T00:00:00Z,FALSE,Non-Randomized,None (Open Label),OTHER,FALSE,University of Southern California,NA,NA,NA,NA,NA,2005,2005,2006
