nct_id,last_update_submitted_date,registration_date,summary_results_date,study_type,phase,enrollment,recruitment_status,title,start_date,completion_date,primary_completion_date,has_summary_results,allocation,masking,main_sponsor,is_multicentric,ucdavis_principal_investigator,ucdavis_study_chair,ucdavis_study_director,ucdavis_unspecified_official,registration_year,start_year,completion_year,primary_completion_year
NCT00368602,2015-04-06,2006-08-24,NA,Interventional,Phase 2,40,Terminated,Beta Blocker for Chronic Wound Healing,2005-06-01T00:00:00Z,2007-06-01T00:00:00Z,2007-06-01T00:00:00Z,FALSE,Randomized,Triple,OTHER,FALSE,"University of California, Davis",NA,NA,NA,2006,2005,2007,2007
NCT00368654,2018-05-18,2006-08-24,2017-12-11,Interventional,Phase 1/Phase 2,12,Completed,Evaluate Whether Combination Therapy With Methotrexate and Raptiva in Psoriasis Patients is Safe and Increases Efficacy,2007-01-01T00:00:00Z,2008-05-01T00:00:00Z,2008-05-01T00:00:00Z,TRUE,Non-Randomized,None (Open Label),OTHER,FALSE,"University of California, Davis",NA,NA,NA,2006,2007,2008,2008
NCT00368693,2015-04-06,2006-08-24,NA,Interventional,Phase 3,20,Terminated,Efficacy and Safety Study of Dermal-Living Skin Replacement to Treat Diabetic Foot Ulcers,2005-08-01T00:00:00Z,2007-09-01T00:00:00Z,2007-09-01T00:00:00Z,FALSE,Randomized,Triple,OTHER,TRUE,"University of California, Davis",NA,NA,NA,2006,2005,2007,2007
NCT00376727,2010-03-25,2006-09-13,NA,Interventional,Phase 1,27,Completed,Cetuximab in Treating Patients With Advanced Solid Tumors,2004-12-01T00:00:00Z,2007-12-01T00:00:00Z,2007-11-01T00:00:00Z,FALSE,Non-Randomized,None (Open Label),OTHER,FALSE,NA,"University of California, Davis",NA,NA,2006,2004,2007,2007
NCT00386971,2017-05-25,2006-10-10,NA,Interventional,Not Applicable,13,Completed,Effects of L-Carnitine on Postprandial Clearance of Triglyceride-rich Lipoproteins in HIV Patients on HAART,2006-10-01T00:00:00Z,2009-12-01T00:00:00Z,2009-12-01T00:00:00Z,FALSE,Randomized,Double,OTHER,FALSE,"University of California, Davis",NA,NA,NA,2006,2006,2009,2009
NCT00387322,2010-03-25,2006-10-12,NA,Interventional,Phase 1/Phase 2,42,Completed,Pemetrexed Disodium and Erlotinib in Treating Patients With Advanced Non-Small Cell Lung Cancer or Other Solid Tumors,2005-03-01T00:00:00Z,2009-05-01T00:00:00Z,2007-10-01T00:00:00Z,FALSE,Non-Randomized,None (Open Label),OTHER,FALSE,NA,"University of California, Davis",NA,NA,2006,2005,2009,2007
NCT00387660,2018-01-05,2006-10-12,2017-01-13,Interventional,Phase 2,80,Completed,Irinotecan and Carboplatin in Treating Patients With Metastatic or Recurrent Small Cell Lung Cancer,2001-10-01T00:00:00Z,2009-01-01T00:00:00Z,2008-08-01T00:00:00Z,TRUE,Non-Randomized,None (Open Label),OTHER,FALSE,NA,"University of California, Davis",NA,NA,2006,2001,2009,2008
NCT00388089,2010-06-25,2006-10-12,NA,Interventional,Phase 1,24,Completed,Bortezomib and Topotecan in Treating Patients With Advanced Solid Tumors,2004-12-01T00:00:00Z,2008-06-01T00:00:00Z,2007-11-01T00:00:00Z,FALSE,NA,None (Open Label),OTHER,FALSE,NA,"University of California, Davis",NA,NA,2006,2004,2008,2007
NCT00388115,2010-03-25,2006-10-12,NA,Interventional,Not Applicable,15,Completed,Radiofrequency Ablation in Treating Patients With Early Invasive Breast Cancer or Ductal Carcinoma in Situ,2001-10-01T00:00:00Z,2007-05-01T00:00:00Z,2007-05-01T00:00:00Z,FALSE,NA,None (Open Label),OTHER,FALSE,"University of California, Davis",NA,NA,NA,2006,2001,2007,2007
NCT00389922,2012-04-17,2006-10-18,NA,Interventional,Phase 1,22,Completed,Lapatinib and Vinorelbine in Treating Patients With Advanced Solid Tumors,2005-12-01T00:00:00Z,2011-12-01T00:00:00Z,2009-04-01T00:00:00Z,FALSE,Non-Randomized,None (Open Label),OTHER,TRUE,NA,"University of California, Davis",NA,NA,2006,2005,2011,2009
NCT00390429,2018-11-13,2006-10-18,2017-01-20,Interventional,Phase 1/Phase 2,81,Completed,Docetaxel and Erlotinib in Treating Patients With Advanced Non-Small Cell Lung Cancer or Other Solid Tumors,2002-07-01T00:00:00Z,2012-08-01T00:00:00Z,2008-08-01T00:00:00Z,TRUE,Non-Randomized,None (Open Label),OTHER,FALSE,NA,"University of California, Davis",NA,NA,2006,2002,2012,2008
NCT00408499,2017-03-27,2006-12-06,2017-01-19,Interventional,Phase 1/Phase 2,64,Completed,Erlotinib and Cetuximab in Treating Patients With Advanced Solid Tumors With Emphasis on Non-Small Cell Lung Cancer,2006-08-01T00:00:00Z,2013-01-01T00:00:00Z,2009-04-01T00:00:00Z,TRUE,NA,None (Open Label),OTHER,FALSE,NA,"University of California, Davis",NA,NA,2006,2006,2013,2009
NCT00453648,2017-05-24,2007-03-27,NA,Interventional,Not Applicable,130,Completed,Impact of Consumption of Orange-fleshed Sweet Potatoes on the Vitamin A Status of Bangladeshi Women of Reproductive Age,2006-03-01T00:00:00Z,2009-12-01T00:00:00Z,2009-12-01T00:00:00Z,FALSE,Randomized,Triple,OTHER,TRUE,"University of California, Davis",NA,NA,NA,2007,2006,2009,2009
NCT00459485,2010-02-18,2007-04-11,NA,Interventional,Phase 4,58,Completed,Effects of Initiation and Discontinuation of Short Term Zinc Supplementation on Plasma Zinc Concentration,2007-04-01T00:00:00Z,2007-12-01T00:00:00Z,2007-12-01T00:00:00Z,FALSE,Randomized,Quadruple,OTHER,TRUE,"University of California, Davis",NA,NA,NA,2007,2007,2007,2007
NCT00482105,2015-04-20,2007-05-31,NA,Interventional,Not Applicable,7,Terminated,Early Diagnosis of Melanoma Using Expression Profiling and Non-Invasive Sampling of Skin Cells,2007-03-01T00:00:00Z,2008-08-01T00:00:00Z,2008-08-01T00:00:00Z,FALSE,Non-Randomized,None (Open Label),OTHER,FALSE,UC Davis,NA,NA,NA,2007,2007,2008,2008
NCT00517010,2016-06-28,2007-08-15,2015-12-02,Interventional,Early Phase 1,6,Completed,Pilot Study of Lucentis Combined With Proton Beam Irradiation in Treating Wet Age-related Macular Degeneration,2007-05-01T00:00:00Z,2010-06-01T00:00:00Z,2010-06-01T00:00:00Z,TRUE,NA,None (Open Label),OTHER,TRUE,"University of California, Davis",NA,NA,NA,2007,2007,2010,2010
NCT00523510,2012-02-13,2007-08-30,NA,Interventional,Not Applicable,144,Completed,Feasibility and Pilot Efficacy of Flash-heated Breast Milk to Reduce Maternal-to-Child-Transmission of HIV in Tanzania,2008-03-01T00:00:00Z,2009-07-01T00:00:00Z,2009-07-01T00:00:00Z,FALSE,Non-Randomized,None (Open Label),OTHER,FALSE,"University of California, Davis",NA,NA,NA,2007,2008,2009,2009
NCT00529204,2017-05-25,2007-09-12,2014-12-08,Interventional,Phase 2,1,Terminated,"Effects Of Exenatide On Liver Biochemistry, Liver Histology And Lipid Metabolism In Patients With Fatty Liver Disease",2007-10-01T00:00:00Z,2010-02-01T00:00:00Z,2009-07-01T00:00:00Z,TRUE,NA,None (Open Label),OTHER,FALSE,"University of California, Davis",NA,NA,NA,2007,2007,2010,2009
NCT00529633,2018-03-06,2007-09-12,2016-03-25,Interventional,Phase 3,16,Terminated,The Effect of Thalidomide in Suppression of the Systemic Inflammatory Response Syndrome in Hemodialysis Patients,2007-09-01T00:00:00Z,2009-12-01T00:00:00Z,2008-12-01T00:00:00Z,TRUE,Randomized,Single,OTHER,FALSE,"University of California, Davis",NA,NA,NA,2007,2007,2009,2008
NCT00536185,2011-08-03,2007-09-05,NA,Interventional,Not Applicable,166,Completed,Heart & Health Study,2006-12-01T00:00:00Z,2008-07-01T00:00:00Z,2008-07-01T00:00:00Z,FALSE,Randomized,Triple,FED,TRUE,UC Davis & U.S. Department of Agriculture,NA,NA,NA,2007,2006,2008,2008
NCT00573313,2017-05-24,2007-12-12,2013-02-06,Interventional,Phase 3,94,Completed,Effects of SAMe in Patients With Alcoholic Liver Disease,2005-09-01T00:00:00Z,2009-09-01T00:00:00Z,2009-06-01T00:00:00Z,TRUE,Randomized,Double,OTHER,FALSE,"University of California, Davis",NA,NA,NA,2007,2005,2009,2009
NCT00579540,2017-05-25,2007-12-17,NA,Interventional,Not Applicable,66,Completed,"Compare Effects of Flax Seed Oil, and Fish Oil on Blood Sugar Levels",2007-09-01T00:00:00Z,2009-09-01T00:00:00Z,2009-09-01T00:00:00Z,FALSE,Randomized,Double,OTHER,FALSE,UC Davis,NA,NA,NA,2007,2007,2009,2009
NCT00579904,2017-04-20,2007-12-17,NA,Interventional,Not Applicable,96,Completed,"The Effects of Walnuts, Walnut-Oil, Almonds and Fish Oils on Glucose Homeostasis in Polycystic Ovary Syndrome",2006-04-01T00:00:00Z,2008-07-01T00:00:00Z,2008-07-01T00:00:00Z,FALSE,Randomized,None (Open Label),OTHER,FALSE,"University of California, Davis",NA,NA,NA,2007,2006,2008,2008
NCT00584207,2009-04-21,2007-12-21,NA,Interventional,Early Phase 1,15,Terminated,Radiofrequency Ablation of Uterine Fibroids,2004-03-01T00:00:00Z,2008-07-01T00:00:00Z,2007-03-01T00:00:00Z,FALSE,Non-Randomized,None (Open Label),OTHER,FALSE,"University of California, Davis",NA,NA,NA,2007,2004,2008,2007
NCT00584259,2010-07-12,2007-12-26,NA,Interventional,Not Applicable,7,Completed,Effect of Coffee on Gastro-Esophageal Disease in Patients With Symptoms of Reflux,2006-05-01T00:00:00Z,2010-01-01T00:00:00Z,2010-01-01T00:00:00Z,FALSE,NA,None (Open Label),OTHER,FALSE,"University of California, Davis",NA,NA,NA,2007,2006,2010,2010
NCT00584402,2017-07-10,2007-12-21,2013-07-03,Interventional,Not Applicable,8,Completed,Contrast Sonography for Evaluation of Liver Tumors Prior to Radiofrequency Ablation,2007-04-01T00:00:00Z,2009-03-01T00:00:00Z,2009-03-01T00:00:00Z,TRUE,NA,None (Open Label),OTHER,FALSE,UC Davis School of Medicine Dept. of Radiology,NA,NA,NA,2007,2007,2009,2009
NCT00584480,2012-08-01,2007-12-22,2011-09-13,Interventional,Phase 3,10,Completed,Pilot Study of the Effect of Hyperbaric Oxygen Treatment on Behavioral and Biomarker Measures in Children With Autism,2007-10-01T00:00:00Z,2009-09-01T00:00:00Z,2009-09-01T00:00:00Z,TRUE,NA,None (Open Label),OTHER,TRUE,"University of California, Davis - M.I.N.D. Institute",NA,NA,NA,2007,2007,2009,2009
NCT00643435,2008-03-25,2008-03-24,NA,Interventional,Not Applicable,64,Completed,Self-Efficacy Enhancing Interviewing Techniques Study,2006-02-01T00:00:00Z,2008-03-01T00:00:00Z,2007-06-01T00:00:00Z,FALSE,Randomized,Single,OTHER,TRUE,"Department of Family and Community Medicine, University of California Davis School of Medicine",NA,NA,NA,2008,2006,2008,2007
NCT00661960,2017-05-24,2008-04-16,2013-01-18,Interventional,Not Applicable,25,Completed,Pilot Project of Virologic and Immunologic Correlates of GALT Immune Reconstitution Following Raltegravir Therapy,2008-03-01T00:00:00Z,2011-07-01T00:00:00Z,2010-09-01T00:00:00Z,TRUE,Randomized,None (Open Label),OTHER,TRUE,"University of California, Davis",NA,NA,NA,2008,2008,2011,2010
NCT00682916,2017-05-25,2008-05-21,NA,Interventional,Not Applicable,42,Completed,Compare Effects of a Soluble Fiber on Weight and Blood Cholesterol,2007-04-01T00:00:00Z,2008-12-01T00:00:00Z,2008-12-01T00:00:00Z,FALSE,Randomized,Single,OTHER,FALSE,UC Davis,NA,NA,NA,2008,2007,2008,2008
NCT00688311,2009-11-19,2008-05-16,NA,Interventional,Not Applicable,34,Completed,Pilot Trial of a Synbiotic in HIV+ Patients,2008-05-01T00:00:00Z,2009-11-01T00:00:00Z,2009-11-01T00:00:00Z,FALSE,Randomized,Triple,OTHER,FALSE,"University of California, Davis",NA,NA,NA,2008,2008,2009,2009
NCT00699218,2017-10-20,2008-06-04,2017-04-11,Interventional,Not Applicable,15,Completed,A Pilot Study on Repetitive Transcranial Magnetic Stimulation (rTMS) Treatment of Bipolar Depression,2008-05-01T00:00:00Z,2010-04-01T00:00:00Z,2009-07-01T00:00:00Z,TRUE,NA,None (Open Label),OTHER,FALSE,"Department of Psychiatry and Behavioral Sciences, UC Davis",NA,NA,NA,2008,2008,2010,2009
NCT00710203,2015-04-06,2008-07-02,2011-06-07,Interventional,Not Applicable,10,Completed,Dermatosis Papulosa Nigra,2008-07-01T00:00:00Z,2009-12-01T00:00:00Z,2009-12-01T00:00:00Z,TRUE,Non-Randomized,Single,OTHER,FALSE,"University of California, Davis",NA,NA,NA,2008,2008,2009,2009
NCT00715923,2015-12-01,2008-07-11,NA,Interventional,Not Applicable,30,Terminated,Modified Consent Form Utility,2007-11-01T00:00:00Z,2008-12-01T00:00:00Z,2008-09-01T00:00:00Z,FALSE,Randomized,Single,OTHER,FALSE,"University of California, Davis",NA,NA,NA,2008,2007,2008,2008
NCT00739479,2012-10-25,2008-08-19,NA,Interventional,Not Applicable,35,Completed,CCRC: Effects of Partially Hydrolyzed Whey Peptides (PHWP) On Weight Loss In Individuals With The Metabolic Syndrome (METS),2008-08-01T00:00:00Z,2010-08-01T00:00:00Z,2010-08-01T00:00:00Z,FALSE,Randomized,Double,OTHER,FALSE,"University of California, Davis",NA,NA,NA,2008,2008,2010,2010
NCT00826306,2015-04-15,2009-01-20,NA,Interventional,Not Applicable,94,Completed,Comparison Of Video-based Versus Written Patient Education on Sunscreen,2009-01-01T00:00:00Z,2009-08-01T00:00:00Z,2009-08-01T00:00:00Z,FALSE,Randomized,Single,OTHER,FALSE,"University of California, Davis",NA,NA,NA,2009,2009,2009,2009
NCT00826592,2015-04-15,2009-01-20,NA,Interventional,Not Applicable,80,Completed,Comparison of Video-Based Versus Written Patient Education on Atopic Dermatitis,2009-01-01T00:00:00Z,2009-08-01T00:00:00Z,2009-08-01T00:00:00Z,FALSE,Randomized,Single,OTHER,FALSE,"University of California, Davis",NA,NA,NA,2009,2009,2009,2009
NCT00826995,2015-04-20,2009-01-20,NA,Interventional,Not Applicable,78,Completed,Comparison of Video-Based Versus Written Patient Education on Melanoma,2009-01-01T00:00:00Z,2009-07-01T00:00:00Z,2009-05-01T00:00:00Z,FALSE,Randomized,Single,OTHER,FALSE,"University of California, Davis",NA,NA,NA,2009,2009,2009,2009
NCT00864396,2017-03-22,2009-03-17,NA,Interventional,Phase 1,59,Completed,Twice Daily Prevacid for the Treatment of Laryngopharyngeal Reflux,2005-07-01T00:00:00Z,2008-05-01T00:00:00Z,2008-05-01T00:00:00Z,FALSE,NA,None (Open Label),OTHER,FALSE,"University of California, Davis",NA,NA,NA,2009,2005,2008,2008
NCT00909064,2017-04-05,2009-05-22,2017-04-05,Interventional,Phase 4,114,Completed,The Effects of Arixtra on Wound Drainage Following Total Joint Arthroplasty,2009-06-01T00:00:00Z,2009-12-01T00:00:00Z,2009-12-01T00:00:00Z,TRUE,NA,None (Open Label),OTHER,FALSE,"University of California, Davis Health System",NA,NA,NA,2009,2009,2009,2009
NCT00935922,2012-10-25,2009-07-07,NA,Interventional,Not Applicable,36,Completed,CCRC: Understanding the Effects of Omega-3 Fatty Acids Versus Lignans in Flaxseed on Metabolic and Inflammatory Markers Leading to Diabetes and Cardiovascular Disease,2009-02-01T00:00:00Z,2010-04-01T00:00:00Z,2010-04-01T00:00:00Z,FALSE,Randomized,Double,OTHER,FALSE,"University of California, Davis Health System",NA,NA,NA,2009,2009,2010,2010
NCT00944398,2010-02-18,2009-07-21,NA,Interventional,Phase 4,98,Completed,Impact of Targeted Zinc Fortification Programs on Plasma Zinc Concentration,2009-01-01T00:00:00Z,2009-10-01T00:00:00Z,2009-09-01T00:00:00Z,FALSE,Randomized,Quadruple,OTHER,FALSE,"University of California, Davis",NA,NA,NA,2009,2009,2009,2009
NCT00944723,2010-02-18,2009-07-21,NA,Interventional,Phase 4,132,Completed,Impact of Mass Zinc Fortification Programs on Plasma Zinc Concentration,2009-08-01T00:00:00Z,2010-02-01T00:00:00Z,2010-01-01T00:00:00Z,FALSE,Randomized,Quadruple,OTHER,FALSE,"University of California, Davis",NA,NA,NA,2009,2009,2010,2010
NCT00944814,2017-02-21,2009-07-21,NA,Interventional,Not Applicable,36,Completed,Acceptability of Zinc-fortified Lipid-based Nutrient Supplements,2009-07-01T00:00:00Z,2009-08-01T00:00:00Z,2009-08-01T00:00:00Z,FALSE,Randomized,Quadruple,OTHER,FALSE,"University of California, Davis",NA,NA,NA,2009,2009,2009,2009
NCT00944853,2017-02-22,2009-07-21,NA,Interventional,Not Applicable,462,Completed,Effects of Liquid Zinc Supplementation and Dispersible Zinc Tablets on Plasma Zinc Concentration,2009-08-01T00:00:00Z,2010-02-01T00:00:00Z,2009-12-01T00:00:00Z,FALSE,Randomized,Quadruple,OTHER,FALSE,"University of California, Davis",NA,NA,NA,2009,2009,2010,2009
NCT00965965,2012-04-26,2009-08-20,NA,Interventional,Not Applicable,60,Completed,Comprehensibility of Colorectal Cancer Screening Educational Materials: Effects on Patient Knowledge and Motivation,2009-08-01T00:00:00Z,2010-04-01T00:00:00Z,2010-04-01T00:00:00Z,FALSE,Randomized,Double,OTHER,FALSE,"University of California, Davis",NA,NA,NA,2009,2009,2010,2010
NCT00970840,2017-03-22,2009-09-01,NA,Interventional,Not Applicable,46,Completed,Acceptability of Lipid-Based Nutrient Supplements (LNS) for Women and Infants,2009-06-01T00:00:00Z,2009-06-01T00:00:00Z,2009-06-01T00:00:00Z,FALSE,NA,None (Open Label),OTHER,FALSE,NA,NA,UC Davis,NA,2009,2009,2009,2009
NCT00971477,2010-12-09,2009-09-01,NA,Interventional,Phase 2,64,Completed,Evaluation of Clinical Outcomes in an Online Teledermatology Model for the Management of Psoriasis,2009-08-01T00:00:00Z,2010-06-01T00:00:00Z,2010-06-01T00:00:00Z,FALSE,Randomized,None (Open Label),OTHER,FALSE,UC Davis Department of Dermatology,NA,NA,NA,2009,2009,2010,2010
NCT01072864,2010-10-28,2010-02-18,NA,Interventional,Phase 1,5,Completed,Effects of California Walnuts on Vascular Function in Postmenopausal Women,2010-06-01T00:00:00Z,2010-09-01T00:00:00Z,2010-08-01T00:00:00Z,FALSE,Randomized,None (Open Label),OTHER,FALSE,"University of California, Davis",NA,NA,NA,2010,2010,2010,2010
NCT01092156,2010-06-21,2010-03-22,NA,Interventional,Not Applicable,200,Completed,Prenatal Breastfeeding Education to Reduce Nipple Pain,2007-01-01T00:00:00Z,2008-11-01T00:00:00Z,2008-11-01T00:00:00Z,FALSE,Randomized,Single,OTHER,FALSE,"University of California, Davis",NA,NA,NA,2010,2007,2008,2008
NCT01110148,2010-04-23,2010-04-13,NA,Interventional,Not Applicable,84,Completed,Use of Portable Technology in Patient Education of Shave/Punch Biopsies,2009-07-01T00:00:00Z,2010-04-01T00:00:00Z,2010-04-01T00:00:00Z,FALSE,Randomized,Single,OTHER,FALSE,UC Davis Health System,NA,NA,NA,2010,2009,2010,2010
NCT01129089,2010-05-20,2010-05-13,NA,Interventional,Not Applicable,144,Completed,Acceptability of Nutrient Supplements Among Women and Children in Bangladesh,2009-12-01T00:00:00Z,2010-02-01T00:00:00Z,2010-01-01T00:00:00Z,FALSE,Randomized,Quadruple,OTHER,FALSE,"University of California, Davis",NA,NA,NA,2010,2009,2010,2010
NCT01161719,2016-01-25,2010-06-25,NA,Interventional,Not Applicable,22,Completed,Effectiveness Study of Videoconferencing on Teaching Parent Training Skills to Parents of Children With Attention Deficit Hyperactivity Disorder (ADHD),2008-04-01T00:00:00Z,2009-06-01T00:00:00Z,2009-06-01T00:00:00Z,FALSE,Randomized,None (Open Label),OTHER,FALSE,"University of California, Davis",NA,NA,NA,2010,2008,2009,2009
