nct_id,last_update_submitted_date,registration_date,summary_results_date,study_type,phase,enrollment,recruitment_status,title,start_date,completion_date,primary_completion_date,has_summary_results,allocation,masking,main_sponsor,is_multicentric,ucsd_lead_sponsor,ucsd_principal_investigator,ucsd_study_chair,ucsd_study_director,ucsd_unspecified_official,ucsd_responsible_party,registration_year,start_year,completion_year
NCT00000613,2016-02-26,1999-10-27,NA,Interventional,Phase 2,NA,Completed,CVD Risk and Health in Postmenopausal Phytoestrogen Users,1997-04-01T00:00:00Z,2004-12-01T00:00:00Z,NA,FALSE,Randomized,Double,NIH,TRUE,NA,NA,NA,NA,"University of California, San Diego",NA,1999,1997,2004
NCT00001137,2013-12-05,2000-01-28,NA,Observational,NA,5982,Completed,Long-Term Data Collection From Participants in Adult AIDS Clinical Trials,2000-01-01T00:00:00Z,2013-11-01T00:00:00Z,2013-11-01T00:00:00Z,FALSE,NA,NA,NETWORK,TRUE,NA,NA,"Division of Infectious Disease, Antiviral Research Center, University of California, San Diego",NA,NA,NA,2000,2000,2013
NCT00003094,2014-05-19,1999-11-01,NA,Interventional,Phase 2,0,Withdrawn,Carotenoid Rich Diet in Treating Cervical Dysplasia,1997-10-01T00:00:00Z,NA,NA,FALSE,NA,NA,OTHER,FALSE,"University of California, San Diego",NA,"University of California, San Diego",NA,NA,NA,1999,1997,NA
NCT00003787,2019-06-06,1999-11-01,NA,Observational,NA,3088,Completed,Women's Healthy Eating and Living Study,1995-03-01T00:00:00Z,2018-12-31T00:00:00Z,2007-03-01T00:00:00Z,FALSE,NA,NA,OTHER,TRUE,"University of California, San Diego",NA,"University of California, San Diego",NA,NA,"University of California, San Diego",1999,1995,2018
NCT00004125,2010-01-28,1999-12-10,NA,Interventional,Phase 3,NA,Completed,Combination Chemotherapy in Treating Women With Stage II or Stage IIIA Breast Cancer That Has Spread to the Lymph Nodes,1999-10-01T00:00:00Z,NA,2007-05-01T00:00:00Z,FALSE,Randomized,NA,NETWORK,TRUE,NA,NA,"University of California, San Diego",NA,NA,NA,1999,1999,NA
NCT00004312,2005-06-23,1999-10-18,NA,Observational,NA,400,Completed,Establishment of a Database for Long-Term Monitoring of Patients With Nephropathic Cystinosis,1999-10-01T00:00:00Z,NA,NA,FALSE,NA,NA,NIH,FALSE,NA,NA,"University of California, San Diego",NA,NA,NA,1999,1999,NA
NCT00004314,2005-06-23,1999-10-18,NA,Interventional,Phase 2,2,Completed,"Phase II Pilot Study of Aminoimidazole Carboxamide Riboside (AICAR), a Precursor of Purine Synthesis, for Lesch-Nyhan Disease",1996-02-01T00:00:00Z,NA,NA,FALSE,NA,NA,NIH,TRUE,NA,NA,"University of California, San Diego",NA,NA,NA,1999,1996,NA
NCT00004350,2005-06-23,1999-10-18,NA,Observational,NA,12,Completed,Evaluation of Fanconi Syndrome and Cystinosis,1999-10-01T00:00:00Z,NA,NA,FALSE,NA,NA,NIH,TRUE,NA,NA,"University of California, San Diego",NA,NA,NA,1999,1999,NA
NCT00004353,2008-07-09,1999-10-18,NA,Observational,NA,35,Completed,Study of the Metabolism of Pyruvate and Related Problems in Patients With Lactic Acidemia,1978-12-01T00:00:00Z,NA,NA,FALSE,NA,NA,NIH,FALSE,NA,NA,"University of California, San Diego",NA,NA,NA,1999,1978,NA
NCT00004356,2005-06-23,1999-10-18,NA,Observational,NA,60,Completed,Study of Homocysteine Metabolism in Homocystinuria,1995-02-01T00:00:00Z,2000-10-01T00:00:00Z,NA,FALSE,NA,NA,NIH,TRUE,NA,NA,"University of California, San Diego",NA,NA,NA,1999,1995,2000
NCT00004493,2015-03-24,1999-10-18,NA,Interventional,Phase 2,75,Completed,Phase II Pilot Randomized Study of Sodium Dichloroacetate in Patients With Congenital Lactic Acidemia,1998-09-01T00:00:00Z,2003-09-01T00:00:00Z,NA,FALSE,NA,NA,OTHER,FALSE,"University of California, San Diego",NA,"University of California, San Diego",NA,NA,NA,1999,1998,2003
NCT00004658,2005-06-23,2000-02-24,NA,Interventional,Phase 2,NA,Completed,"Phase II Study of Ribose, Uridine, and Thymidine for a Complex Syndrome Involving Excessive 5'-Nucleotidase Activity",1995-03-01T00:00:00Z,NA,NA,FALSE,NA,NA,NIH,TRUE,NA,NA,"University of California, San Diego",NA,NA,NA,2000,1995,NA
NCT00004731,2005-06-23,2000-02-25,NA,Interventional,Phase 2,NA,Completed,Parkinson's Disease Treatment With Coenzyme Q10,1998-09-01T00:00:00Z,2003-10-01T00:00:00Z,NA,FALSE,Randomized,Double,NIH,FALSE,NA,"University of California, San Diego",NA,NA,NA,NA,2000,1998,2003
NCT00005297,2016-02-26,2000-05-25,NA,Observational,NA,NA,Completed,Age-related Prevalence of Sleep Respiratory Disturbances,1990-04-01T00:00:00Z,1997-06-01T00:00:00Z,NA,FALSE,NA,NA,NIH,TRUE,NA,NA,NA,NA,"University of California, San Diego",NA,2000,1990,1997
NCT00005384,2016-02-26,2000-05-25,NA,Observational,NA,NA,Completed,Diet/Activity of Mexican American and Anglo Children,1995-01-01T00:00:00Z,2002-12-01T00:00:00Z,NA,FALSE,NA,NA,NIH,TRUE,NA,NA,NA,NA,"University of California, San Diego",NA,2000,1995,2002
NCT00005392,2016-02-26,2000-05-25,NA,Observational,NA,NA,Completed,Epidemiology of Venous Disease,1995-09-01T00:00:00Z,2000-07-01T00:00:00Z,NA,FALSE,NA,NA,NIH,TRUE,NA,NA,NA,NA,"University of California, San Diego",NA,2000,1995,2000
NCT00005772,2019-03-20,2000-06-01,NA,Interventional,Phase 3,208,Completed,Whole-Body Cooling for Birth Asphyxia in Term Infants,1999-10-01T00:00:00Z,2010-07-01T00:00:00Z,2003-05-01T00:00:00Z,FALSE,Randomized,None (Open Label),NETWORK,TRUE,NA,"University of California, San Diego",NA,NA,NA,NA,2000,1999,2010
NCT00005775,2015-06-03,2000-06-01,NA,Interventional,Phase 3,1433,Completed,Glutamine Supplementation to Prevent Death or Infection in Extremely Premature Infants,1999-07-01T00:00:00Z,2001-08-01T00:00:00Z,2000-12-01T00:00:00Z,FALSE,Randomized,Quadruple,NETWORK,TRUE,NA,"University of California, San Diego",NA,NA,NA,NA,2000,1999,2001
NCT00016523,2017-09-22,2001-05-14,NA,Interventional,Phase 3,420,Terminated,Inhaled Nitric Oxide for Preterm Infants With Severe Respiratory Failure,2001-01-01T00:00:00Z,2006-05-01T00:00:00Z,2003-09-01T00:00:00Z,FALSE,Randomized,Quadruple,NETWORK,TRUE,NA,"University of California, San Diego",NA,NA,NA,NA,2001,2001,2006
NCT00017940,2009-12-10,2001-06-20,NA,Interventional,Phase 1,8,Completed,Gene Therapy for Alzheimer's Disease Clinical Trial,NA,2003-11-01T00:00:00Z,2003-11-01T00:00:00Z,FALSE,NA,None (Open Label),OTHER,FALSE,NA,"University of California, San Diego",NA,NA,NA,NA,2001,NA,2003
NCT00021814,2018-09-26,2001-08-04,NA,Interventional,Phase 3,3407,Completed,Medical Therapy of Prostatic Symptoms,1995-12-01T00:00:00Z,2001-11-30T00:00:00Z,2001-11-30T00:00:00Z,FALSE,Randomized,Quadruple,NIH,TRUE,NA,Clinic 09 - University of California San Diego,NA,NA,NA,NA,2001,1995,2001
NCT00023530,2016-02-17,2001-09-07,NA,Interventional,Not Applicable,NA,Completed,Blood and Marrow Transplant Clinical Research Network,2001-09-01T00:00:00Z,2006-08-01T00:00:00Z,NA,FALSE,Randomized,Double,NIH,TRUE,NA,NA,NA,NA,"University of California, San Diego",NA,2001,2001,2006
NCT00027339,2021-10-28,2001-12-04,NA,Interventional,Phase 2,53,Completed,Using Drug Levels and Drug Resistance Testing to Select Effective Anti-HIV Drug Combinations in Patients With Drug-resistant HIV,NA,2005-06-01T00:00:00Z,NA,FALSE,Non-Randomized,None (Open Label),NIH,TRUE,NA,NA,"University of California, San Diego",NA,NA,NA,2001,NA,2005
NCT00038727,2021-12-03,2002-06-04,2017-02-21,Interventional,Phase 3,2779,"Active, not recruiting",Diabetes Prevention Program Outcomes Study,2002-09-01T00:00:00Z,2025-01-01T00:00:00Z,2024-10-01T00:00:00Z,TRUE,Randomized,None (Open Label),NIH,FALSE,NA,"University of California, San Diego",NA,NA,NA,NA,2002,2002,2025
NCT00046319,2009-04-15,2002-09-26,NA,Interventional,Phase 2,60,Completed,Study of BSF 208075 Evaluating Exercise Capacity in Patients With Pulmonary Arterial Hypertension,2002-09-01T00:00:00Z,2003-06-01T00:00:00Z,NA,FALSE,Randomized,Double,INDUSTRY,TRUE,NA,UCSD Medical Center,NA,NA,NA,NA,2002,2002,2003
NCT00047450,2013-08-06,2002-10-04,NA,Interventional,Not Applicable,212,Completed,Antidepressant Treatment in Older Adults With Schizophrenia,2001-09-01T00:00:00Z,2007-09-01T00:00:00Z,2006-09-01T00:00:00Z,FALSE,Randomized,Double,OTHER,TRUE,NA,"University of California, San Diego",NA,NA,NA,NA,2002,2001,2007
NCT00050895,2021-10-28,2002-12-30,NA,Interventional,Phase 3,775,Completed,"Comparing the Safety, Effectiveness, and Tolerability of Three Anti-HIV Drug Regimens for Treatment-Naive Patients",NA,2006-03-01T00:00:00Z,NA,FALSE,Randomized,None (Open Label),NIH,TRUE,NA,NA,"University of California, San Diego, Division of Infectious Diseases",NA,NA,NA,2002,NA,2006
NCT00050908,2013-07-26,2002-12-30,NA,Observational,NA,75,Completed,Blood Vessel Function in HIV-Infected Patients Taking Anti-HIV Drugs,NA,2007-05-01T00:00:00Z,NA,FALSE,NA,NA,NIH,TRUE,NA,NA,"University of California, San Diego",NA,NA,NA,2002,NA,2007
NCT00052182,2007-10-22,2003-01-24,NA,Interventional,Phase 1,40,Completed,Safety of and Immune System Response to an HIV Vaccine (EP HIV-1090) in HIV Infected Patients,2002-10-01T00:00:00Z,NA,NA,FALSE,Randomized,Double,NIH,FALSE,NA,NA,"University of California, San Diego",NA,NA,NA,2003,2002,NA
NCT00053196,2016-06-30,2003-01-27,NA,Interventional,Phase 2,82,Completed,Donor Stem Cell Transplant in Treating Patients With Relapsed Hematologic Cancer,2002-12-01T00:00:00Z,2010-08-01T00:00:00Z,2006-11-01T00:00:00Z,FALSE,Non-Randomized,None (Open Label),OTHER,TRUE,NA,NA,"University of California, San Diego",NA,NA,NA,2003,2002,2010
NCT00053599,2009-07-24,2003-02-03,NA,Interventional,Phase 3,400,Completed,Cholesterol Lowering Agent to Slow Progression (CLASP) of Alzheimer's Disease Study,2002-12-01T00:00:00Z,2007-10-01T00:00:00Z,2007-10-01T00:00:00Z,FALSE,Randomized,Double,NIH,TRUE,NA,"University of California, San Diego",NA,NA,NA,NA,2003,2002,2007
NCT00058071,2013-07-08,2003-04-07,NA,Interventional,Phase 3,100,Completed,Amifostine in Treating Peripheral Neuropathy in Patients Who Have Received Chemotherapy for Cancer,2003-03-01T00:00:00Z,NA,2007-12-01T00:00:00Z,FALSE,Randomized,NA,NETWORK,TRUE,NA,NA,"University of California, San Diego",NA,NA,NA,2003,2003,NA
NCT00059124,2013-07-10,2003-04-17,NA,Observational,NA,1980,Completed,Aortic Calcium: Epidemiology and Progression -- Ancillary to MESA,2003-03-01T00:00:00Z,2008-02-01T00:00:00Z,2008-02-01T00:00:00Z,FALSE,NA,NA,OTHER,TRUE,"University of California, San Diego","University of California, San Diego",NA,NA,NA,"University of California, San Diego",2003,2003,2008
NCT00060372,2013-03-26,2003-05-06,NA,Interventional,Phase 1,21,Completed,Ipilimumab After Allogeneic Stem Cell Transplant in Treating Patients With Persistent or Progressive Cancer,2003-04-01T00:00:00Z,NA,2008-04-01T00:00:00Z,FALSE,NA,None (Open Label),NIH,TRUE,NA,"University of California, San Diego",NA,NA,NA,NA,2003,2003,NA
NCT00061035,2008-08-26,2003-05-20,NA,Interventional,Phase 1,18,Completed,Evaluation of Transgenic Lymphocyte Immunization Vaccine in Subjects With Prostate Adenocarcinoma,2003-04-01T00:00:00Z,NA,NA,FALSE,Non-Randomized,None (Open Label),INDUSTRY,FALSE,NA,Associate Professor of Medicine at UCSD and Medical Director of the CTO of the UCSD Cancer Center,NA,NA,NA,NA,2003,2003,NA
NCT00063583,2009-11-03,2003-06-30,NA,Interventional,Phase 1/Phase 2,77,Completed,Pirfenidone: A New Drug to Treat Kidney Disease in Patients With Diabetes,2003-06-01T00:00:00Z,2009-03-01T00:00:00Z,2007-11-01T00:00:00Z,FALSE,Randomized,Triple,INDIV,TRUE,NA,UCSD,NA,NA,NA,UCSD,2003,2003,2009
NCT00067613,2015-06-03,2003-08-25,NA,Interventional,Not Applicable,4095,Completed,Benchmarking Initiative to Reduce Bronchopulmonary Dysplasia,2001-03-01T00:00:00Z,2004-05-01T00:00:00Z,2004-05-01T00:00:00Z,FALSE,Randomized,None (Open Label),NETWORK,TRUE,NA,"University of California, San Diego",NA,NA,NA,NA,2003,2001,2004
NCT00070681,2016-07-28,2003-10-06,NA,Observational,NA,NA,Completed,Outcomes of Sleep Disorders in Older Men,2003-09-01T00:00:00Z,2007-06-01T00:00:00Z,2007-06-01T00:00:00Z,FALSE,NA,NA,NIH,TRUE,NA,NA,NA,NA,"University of California, San Diego",NA,2003,2003,2007
NCT00071591,2013-06-13,2003-10-29,NA,Interventional,Phase 2,240,Completed,Rehabilitative Training for Older People With Schizophrenia,2001-07-01T00:00:00Z,2006-11-01T00:00:00Z,2006-11-01T00:00:00Z,FALSE,Randomized,Single,OTHER,FALSE,"University of California, San Diego",NA,NA,NA,NA,"University of California, San Diego",2003,2001,2006
NCT00071604,2013-05-03,2003-10-29,NA,Interventional,Not Applicable,240,Unknown status,Medication Adherence in Older People With Psychosis,2002-09-01T00:00:00Z,2007-05-01T00:00:00Z,NA,FALSE,Randomized,Double,OTHER,FALSE,NA,"VA San Diego Healthcare System & University of California, San Diego",NA,NA,NA,NA,2003,2002,2007
NCT00073424,2013-05-31,2003-11-20,NA,Observational,NA,200,Completed,Factors Affecting Adherence to Anti-HIV Drug Regimens in Children and Adolescents,2004-01-01T00:00:00Z,2006-10-01T00:00:00Z,NA,FALSE,NA,NA,NIH,TRUE,NA,NA,"Department of Neurosciences, University of California, San Diego",NA,NA,NA,2003,2004,2006
NCT00074269,2018-04-30,2003-12-10,2014-05-29,Interventional,Phase 2,5,Terminated,"Allogeneic Stem Cell Transplant After ATG, High-Dose Melphalan, and Fludarabine for Patients With Metastatic Breast Cancer",2003-07-01T00:00:00Z,2008-03-01T00:00:00Z,2008-03-01T00:00:00Z,TRUE,NA,None (Open Label),OTHER,FALSE,"University of California, San Diego","University of California, San Diego",NA,NA,NA,"University of California, San Diego",2003,2003,2008
NCT00074737,2014-09-16,2003-12-19,NA,Interventional,Phase 2,53,Completed,Dosing Study of Ara-C/EL625/Idarubicin in Refractory and Relapsed AML,2004-04-01T00:00:00Z,2007-05-01T00:00:00Z,2007-05-01T00:00:00Z,FALSE,Randomized,None (Open Label),INDUSTRY,TRUE,NA,"University of California, San Diego",NA,NA,NA,NA,2003,2004,2007
NCT00081627,2007-11-26,2004-04-15,NA,Interventional,Phase 2,48,Completed,Clinical Trial in Patients With Metastatic Colorectal Cancer,2004-04-01T00:00:00Z,2007-01-01T00:00:00Z,NA,FALSE,Non-Randomized,None (Open Label),INDUSTRY,TRUE,NA,"University of California, San Diego",NA,NA,NA,NA,2004,2004,2007
NCT00086359,2021-10-28,2004-06-30,NA,Interventional,Phase 3,19,Completed,Comparison of Anti-HIV Drug Combinations to Prevent Mother-to-Child Transmission of HIV,2004-07-01T00:00:00Z,2007-09-01T00:00:00Z,NA,FALSE,Randomized,None (Open Label),NIH,TRUE,NA,NA,"Department of Reproductive Medicine, Division of Perinatal Medicine, University of California, San Diego School of Medicine",NA,NA,NA,2004,2004,2007
NCT00086372,2012-10-26,2004-06-30,NA,Observational,NA,157,Completed,Long-term Follow-up of HIV Infected Patients Identified During Early Infection,2003-07-01T00:00:00Z,2007-04-01T00:00:00Z,NA,FALSE,NA,NA,NIH,TRUE,NA,NA,"University of California, San Diego",NA,NA,NA,2004,2003,2007
NCT00091598,2010-03-04,2004-09-10,NA,Interventional,Phase 3,372,Completed,ARIES - Ambrisentan in Patients With Moderate to Severe Pulmonary Arterial Hypertension (PAH),2004-01-01T00:00:00Z,2006-02-01T00:00:00Z,2006-02-01T00:00:00Z,FALSE,Randomized,Double,INDUSTRY,TRUE,NA,NA,"University of California San Diego, San Diego School of Medicine",NA,NA,NA,2004,2004,2006
NCT00097708,2014-10-01,2004-11-29,2011-09-14,Interventional,Phase 3,511,Completed,Experimental Medication For the Treatment of Generalized Anxiety Disorder,2004-11-01T00:00:00Z,2005-12-01T00:00:00Z,NA,TRUE,Randomized,Double,INDUSTRY,TRUE,NA,NA,"University of California, San Diego",NA,NA,NA,2004,2004,2005
NCT00102908,2008-09-25,2005-02-04,NA,Interventional,Phase 2,30,Unknown status,Bisphosphonate Therapy for HIV-Infected Adults With Decreased Bone Mineral Density,2005-05-01T00:00:00Z,2009-12-01T00:00:00Z,2007-10-01T00:00:00Z,FALSE,Randomized,Double,NIH,FALSE,NA,"University of California, San Diego",NA,NA,NA,"University of California, San Diego",2005,2005,2009
NCT00103896,2017-02-27,2005-02-15,NA,Observational,NA,16706,Completed,Connect to Protect Partnerships for Youth Prevention Interventions: Phase II,2003-09-01T00:00:00Z,2010-10-01T00:00:00Z,2010-10-01T00:00:00Z,FALSE,NA,NA,OTHER,TRUE,NA,"UCSD Mother, Child, & Adolescent HIV Program",NA,NA,NA,NA,2005,2003,2010
NCT00106860,2008-01-07,2005-03-31,NA,Interventional,Phase 3,158,Completed,A Long-Term Study Continuing on From Study 04-001-01 of an Experimental Medication in Adults With Anxiety Disorder,2005-03-01T00:00:00Z,2006-03-01T00:00:00Z,NA,FALSE,Non-Randomized,None (Open Label),INDUSTRY,TRUE,NA,NA,"University of California, San Diego",NA,NA,NA,2005,2005,2006
NCT00106899,2014-09-15,2005-03-31,NA,Observational,NA,818,Completed,ADNI: Alzheimer's Disease Neuroimaging Initiative,2005-07-01T00:00:00Z,2011-06-01T00:00:00Z,2011-06-01T00:00:00Z,FALSE,NA,NA,OTHER,TRUE,NA,"University of California, San Diego",NA,NA,NA,NA,2005,2005,2011
NCT00106964,2017-02-27,2005-04-01,2012-10-26,Interventional,Phase 4,371,Completed,Comparison of Three Hepatitis B Vaccination Regimens in HIV-Positive Youth,2004-01-01T00:00:00Z,2009-06-01T00:00:00Z,2008-01-01T00:00:00Z,TRUE,Randomized,None (Open Label),OTHER,TRUE,NA,"University of California, San Diego",NA,NA,NA,NA,2005,2004,2009
NCT00109525,2019-03-20,2005-04-28,NA,Observational,NA,1500,Completed,Early Diagnosis of Candidiasis in Premature Infants,2004-03-01T00:00:00Z,2009-12-01T00:00:00Z,2007-07-01T00:00:00Z,FALSE,NA,NA,NETWORK,TRUE,NA,"University of California, San Diego",NA,NA,NA,NA,2005,2004,2009
NCT00114543,2019-03-20,2005-06-15,NA,Interventional,Phase 3,1974,Completed,"Trial of Aggressive Versus Conservative Phototherapy in Infants <1,000 Grams Birth Weight",2002-09-01T00:00:00Z,2007-11-01T00:00:00Z,2005-04-01T00:00:00Z,FALSE,Randomized,Double,NETWORK,TRUE,NA,"University of California, San Diego",NA,NA,NA,NA,2005,2002,2007
NCT00117403,2009-04-01,2005-06-30,NA,Interventional,Phase 1,75,Completed,Anti-Oxidant Treatment of Alzheimer's Disease,2006-01-01T00:00:00Z,2007-09-01T00:00:00Z,2007-09-01T00:00:00Z,FALSE,Randomized,Double,NIH,TRUE,NA,"University of California, San Diego",NA,NA,NA,NA,2005,2006,2007
NCT00134927,2017-01-09,2005-08-23,NA,Observational,NA,600,Completed,A Survey on Consumer Use of Over-the-Counter (OTC) Nicotine Patches,2005-09-01T00:00:00Z,2006-11-01T00:00:00Z,2006-05-01T00:00:00Z,FALSE,NA,NA,NIH,FALSE,NA,"University of California, San Diego",NA,NA,NA,NA,2005,2005,2006
NCT00135889,2009-10-07,2005-08-24,NA,Interventional,Not Applicable,50,Completed,Continuous Femoral Nerve Block Following Total Knee Replacement,2005-01-01T00:00:00Z,2008-07-01T00:00:00Z,2008-07-01T00:00:00Z,FALSE,Randomized,Double,NIH,TRUE,NA,"University of California, San Diego",NA,NA,NA,NA,2005,2005,2008
NCT00137956,2009-08-14,2005-08-26,NA,Interventional,Phase 3,270,Terminated,Endobronchial Valve for Emphysema PalliatioN Trial (VENT) Cost-effectiveness Sub-Study,2004-12-01T00:00:00Z,NA,NA,FALSE,Randomized,None (Open Label),INDUSTRY,TRUE,NA,"UCLA School of Public Health, UCSD Health Outcomes Assessment Program (HOAP)",NA,NA,NA,NA,2005,2004,NA
NCT00147966,2010-03-22,2005-09-02,2010-03-19,Interventional,Phase 2,24,Completed,Assessment of Rituximab's Immunomodulatory Synovial Effects (The ARISE Study),2008-06-01T00:00:00Z,2009-12-01T00:00:00Z,2009-12-01T00:00:00Z,TRUE,Non-Randomized,None (Open Label),OTHER,FALSE,"University of California, San Diego",UCSD CIT,NA,NA,NA,UCSD,2005,2008,2009
NCT00161759,2006-10-19,2005-09-08,NA,Interventional,Phase 1/Phase 2,40,Completed,Safety and Efficacy Study of Fibrin Sealant (FS 4IU) for Skin Graft Fixation and Wound Healing in Subjects With Burn Wounds,2002-03-01T00:00:00Z,2004-01-01T00:00:00Z,NA,FALSE,Randomized,None (Open Label),INDUSTRY,TRUE,NA,"University of California, San Diego",NA,NA,NA,NA,2005,2002,2004
NCT00167817,2007-04-18,2005-09-10,NA,Interventional,Phase 4,15,Completed,Effect of Switch to Aripiprazole on Health and Smoking Parameters in Patients With Schizophrenia: A Pilot Study,2003-07-01T00:00:00Z,2005-09-01T00:00:00Z,NA,FALSE,Non-Randomized,None (Open Label),OTHER,FALSE,NA,"University of California, San Diego",NA,NA,NA,NA,2005,2003,2005
NCT00183261,2021-10-28,2005-09-13,NA,Interventional,Phase 2,25,Completed,Immune Response to a Therapeutic HIV Vaccine Followed by Treatment Interruption in Patients With Acute or Recent HIV Infection,2006-03-01T00:00:00Z,2010-10-01T00:00:00Z,2007-08-01T00:00:00Z,FALSE,Randomized,Double,NIH,TRUE,NA,NA,"University of California, San Diego AIDS Vaccine Research Center; Departments of Pathology and Medicine, University of California, San Diego",NA,NA,NA,2005,2006,2010
NCT00200967,2017-12-26,2005-09-12,2009-03-05,Interventional,Phase 3,87,Completed,Asthma Clinical Research Network (ACRN) Trial - Long-Acting Beta Agonist Response by Genotype (LARGE),2004-12-01T00:00:00Z,2008-02-01T00:00:00Z,2008-02-01T00:00:00Z,TRUE,Randomized,Quadruple,OTHER,TRUE,NA,"University of California, San Diego",NA,NA,NA,NA,2005,2004,2008
NCT00206830,2015-07-23,2005-09-13,NA,Interventional,Phase 2/Phase 3,306,Completed,SHORTness of Breath In the Emergency Department (SHORTIE),2005-04-01T00:00:00Z,2007-08-01T00:00:00Z,2006-08-01T00:00:00Z,FALSE,Randomized,Double,OTHER,TRUE,NA,"VA, University of California, San Diego",NA,NA,NA,NA,2005,2005,2007
NCT00214890,2021-09-23,2005-09-20,2020-05-15,Interventional,Phase 2,21,Completed,Viral Dynamics and Pharmacokinetics of Abacavir and Tenofovir,2004-12-07T00:00:00Z,2010-04-27T00:00:00Z,2008-06-26T00:00:00Z,TRUE,Randomized,None (Open Label),OTHER,TRUE,"University of California, San Diego",NA,NA,NA,NA,NA,2005,2004,2010
NCT00221897,2021-07-02,2005-09-14,NA,Observational,NA,3000,Recruiting,Diagnostic Innovations in Glaucoma Study,1995-04-01T00:00:00Z,2022-07-01T00:00:00Z,2022-07-01T00:00:00Z,FALSE,NA,NA,OTHER,FALSE,"University of California, San Diego","University of California, San Diego",NA,NA,NA,"University of California, San Diego",2005,1995,2022
NCT00221923,2021-07-02,2005-09-14,NA,Observational,NA,1540,Enrolling by invitation,African Descent and Glaucoma Evaluation Study,2002-09-01T00:00:00Z,2022-07-01T00:00:00Z,2022-01-01T00:00:00Z,FALSE,NA,NA,OTHER,TRUE,"University of California, San Diego","University of California, San Diego",NA,NA,NA,"University of California, San Diego",2005,2002,2022
NCT00231296,2017-05-02,2005-09-30,NA,Interventional,Not Applicable,174,Completed,Safety and Efficacy of CryoCor™ Cryoablation for PAF,2004-11-01T00:00:00Z,2009-03-01T00:00:00Z,2009-03-01T00:00:00Z,FALSE,Randomized,None (Open Label),INDUSTRY,TRUE,NA,"University of California, San Diego (UCSD)",NA,NA,NA,NA,2005,2004,2009
