nct_id,last_update_submitted_date,registration_date,summary_results_date,study_type,phase,enrollment,recruitment_status,title,start_date,completion_date,primary_completion_date,has_summary_results,allocation,masking,main_sponsor,is_multicentric,ucsd_principal_investigator,ucsd_study_chair,ucsd_study_director,ucsd_unspecified_official,registration_year,start_year,completion_year,primary_completion_year
NCT00147966,2010-03-22,2005-09-02,2010-03-19,Interventional,Phase 2,24,Completed,Assessment of Rituximab's Immunomodulatory Synovial Effects (The ARISE Study),2008-06-01T00:00:00Z,2009-12-01T00:00:00Z,2009-12-01T00:00:00Z,TRUE,Non-Randomized,None (Open Label),OTHER,FALSE,UCSD CIT,NA,NA,NA,2005,2008,2009,2009
NCT00183261,2021-10-28,2005-09-13,NA,Interventional,Phase 2,25,Completed,Immune Response to a Therapeutic HIV Vaccine Followed by Treatment Interruption in Patients With Acute or Recent HIV Infection,2006-03-01T00:00:00Z,2010-10-01T00:00:00Z,2007-08-01T00:00:00Z,FALSE,Randomized,Double,NIH,TRUE,NA,"University of California, San Diego AIDS Vaccine Research Center; Departments of Pathology and Medicine, University of California, San Diego",NA,NA,2005,2006,2010,2007
NCT00200967,2017-12-26,2005-09-12,2009-03-05,Interventional,Phase 3,87,Completed,Asthma Clinical Research Network (ACRN) Trial - Long-Acting Beta Agonist Response by Genotype (LARGE),2004-12-01T00:00:00Z,2008-02-01T00:00:00Z,2008-02-01T00:00:00Z,TRUE,Randomized,Quadruple,OTHER,TRUE,"University of California, San Diego",NA,NA,NA,2005,2004,2008,2008
NCT00231296,2017-05-02,2005-09-30,NA,Interventional,Not Applicable,174,Completed,Safety and Efficacy of CryoCor™ Cryoablation for PAF,2004-11-01T00:00:00Z,2009-03-01T00:00:00Z,2009-03-01T00:00:00Z,FALSE,Randomized,None (Open Label),INDUSTRY,TRUE,"University of California, San Diego (UCSD)",NA,NA,NA,2005,2004,2009,2009
NCT00233324,2019-04-16,2005-10-03,2014-11-16,Interventional,Phase 3,1316,Completed,Surfactant Positive Airway Pressure and Pulse Oximetry Trial,2005-02-01T00:00:00Z,2016-08-01T00:00:00Z,2009-02-01T00:00:00Z,TRUE,Randomized,None (Open Label),NETWORK,TRUE,"University of California, San Diego",NA,NA,NA,2005,2005,2016,2009
NCT00245206,2018-12-13,2005-10-25,NA,Interventional,Phase 4,406,Completed,Side Effects of Newer Antipsychotics in Older Adults,2005-08-01T00:00:00Z,2010-10-01T00:00:00Z,2010-10-01T00:00:00Z,FALSE,Randomized,None (Open Label),OTHER,FALSE,"University of California, San Diego",NA,NA,NA,2005,2005,2010,2010
NCT00260533,2016-05-19,2005-11-29,2012-06-13,Interventional,Phase 2/Phase 3,27,Completed,Efficacy and Tolerability of Atomoxetine (Strattera) in Adult Patients With Generalized Social Anxiety Disorder,2005-11-01T00:00:00Z,2008-07-01T00:00:00Z,2008-07-01T00:00:00Z,TRUE,Randomized,Quadruple,OTHER,TRUE,"University of California, San Diego",NA,NA,NA,2005,2005,2008,2008
NCT00282841,2019-07-18,2006-01-26,2010-09-27,Interventional,Not Applicable,61,Terminated,Visualization of Cerebral Arteries Using Contrast-Enhanced Transcranial Ultrasound in Stroke Patients,2005-03-01T00:00:00Z,2007-10-01T00:00:00Z,2007-10-01T00:00:00Z,TRUE,NA,None (Open Label),OTHER,TRUE,UCSD Stroke Center,NA,NA,NA,2006,2005,2007,2007
NCT00283088,2011-01-11,2006-01-26,NA,Interventional,Phase 1,130,Completed,Intravenous Thrombolysis Plus Hypothermia for Acute Treatment of Ischemic Stroke,2003-10-01T00:00:00Z,2009-05-01T00:00:00Z,2008-10-01T00:00:00Z,FALSE,Randomized,None (Open Label),OTHER,TRUE,"University of California San Diego, Stroke Center",NA,NA,NA,2006,2003,2009,2008
NCT00286780,2010-08-12,2006-02-03,NA,Interventional,Phase 2,19,Completed,Phase 2 Safety and Efficacy Study of AT-101 in Combination With Rituximab in Patients With Chronic Lymphocytic Leukemia,2006-01-01T00:00:00Z,2007-11-01T00:00:00Z,2007-11-01T00:00:00Z,FALSE,Non-Randomized,None (Open Label),INDUSTRY,FALSE,"University of California, San Diego",NA,NA,NA,2006,2006,2007,2007
NCT00300079,2016-11-17,2006-03-06,NA,Interventional,Phase 4,30,Completed,Study of the Intraocular Pressure (IOP)-Lowering Efficacy of Azopt 1.0% Compared to Timolol 0.5% in Patients With Glaucoma or Ocular Hypertension,2006-09-01T00:00:00Z,2007-09-01T00:00:00Z,2007-09-01T00:00:00Z,FALSE,Randomized,Double,INDUSTRY,FALSE,"University of California, San Diego",NA,NA,NA,2006,2006,2007,2007
NCT00318708,2018-03-22,2006-04-25,2012-04-27,Interventional,Phase 3,92,Completed,Asthma Clinical Research Network (ACRN) Trial - Macrolides in Asthma (MIA),2006-06-01T00:00:00Z,2009-04-01T00:00:00Z,2009-04-01T00:00:00Z,TRUE,Randomized,Quadruple,OTHER,TRUE,"University of California, San Diego",NA,NA,NA,2006,2006,2009,2009
NCT00326339,2009-04-16,2006-05-12,NA,Interventional,Phase 2,189,Completed,Treatment of Arthritis With Syk Kinase Inhibition (TASKI-1),2006-08-01T00:00:00Z,2007-12-01T00:00:00Z,2007-10-01T00:00:00Z,FALSE,Randomized,Quadruple,INDUSTRY,TRUE,"University of California, San Diego",NA,NA,NA,2006,2006,2007,2007
NCT00331188,2008-07-07,2006-05-26,NA,Interventional,Phase 3,70,Completed,Use of Sanvar® With Endoscopic Treatment for the Control of Acute Variceal Bleeding,2006-05-01T00:00:00Z,2008-07-01T00:00:00Z,2008-06-01T00:00:00Z,FALSE,Non-Randomized,None (Open Label),INDUSTRY,TRUE,"University of California, San Diego",NA,NA,NA,2006,2006,2008,2008
NCT00338845,2013-04-09,2006-06-16,NA,Interventional,Phase 2,1800,Completed,Share Safer Sex Counseling Program for Changing Sexual Risk Behaviors in Mexican Female Sex Workers,2003-12-01T00:00:00Z,2008-11-01T00:00:00Z,2008-11-01T00:00:00Z,FALSE,Randomized,None (Open Label),OTHER,FALSE,"Dept. of Psychiatry, University of California, San Diego",NA,NA,NA,2006,2003,2008,2008
NCT00338949,2020-10-05,2006-06-16,2016-05-17,Interventional,Phase 4,77,Completed,Ziprasidone for Improving Insulin Sensitivity in People With Schizophrenia Who Are at Risk for Diabetes,2006-06-01T00:00:00Z,2009-12-01T00:00:00Z,2009-12-01T00:00:00Z,TRUE,Randomized,None (Open Label),OTHER,FALSE,"University of California, San Diego & VA San Diego Healthcare System",NA,NA,NA,2006,2006,2009,2009
NCT00347269,2017-04-08,2006-06-30,2017-04-08,Interventional,Phase 4,1004,Completed,Primary Care Intervention Strategy for Anxiety Disorders,2006-06-01T00:00:00Z,2009-10-01T00:00:00Z,2009-10-01T00:00:00Z,TRUE,Randomized,Single,OTHER,TRUE,"University of California, San Diego, San Diego, CA",NA,NA,NA,2006,2006,2009,2009
NCT00348933,2012-09-21,2006-07-03,2011-06-16,Interventional,Not Applicable,90,Completed,Dietary Supplements for the Treatment of Angelman Syndrome,2006-07-01T00:00:00Z,2010-02-01T00:00:00Z,2010-02-01T00:00:00Z,TRUE,Non-Randomized,None (Open Label),OTHER,TRUE,"Division of Dysmorphology/Genetics, Children's Hospital San Diego, Department of Pediatrics, University of California, San Diego",NA,NA,NA,2006,2006,2010,2010
NCT00350233,2012-09-13,2006-07-06,NA,Interventional,Phase 1,10,Completed,MR Guided Focused Ultrasound Surgery of Metastatic Bone Tumors,2006-05-01T00:00:00Z,2010-02-01T00:00:00Z,2010-02-01T00:00:00Z,FALSE,Non-Randomized,None (Open Label),INDUSTRY,TRUE,"University of California, San Diego",NA,NA,NA,2006,2006,2010,2010
NCT00357591,2009-12-24,2006-07-25,NA,Interventional,Not Applicable,200,Terminated,Randomized Trial for Patients With Chronic Heart Failure With Acute Decompensation,2004-09-01T00:00:00Z,2008-01-01T00:00:00Z,2008-01-01T00:00:00Z,FALSE,Randomized,None (Open Label),INDUSTRY,FALSE,"University of California, San Diego",NA,NA,NA,2006,2004,2008,2008
NCT00365261,2016-06-03,2006-08-15,2011-08-24,Interventional,Phase 4,45,Completed,Effect of Eszopiclone on Sleep Disturbance and Pain in Cancer,2006-09-01T00:00:00Z,2009-12-01T00:00:00Z,2009-12-01T00:00:00Z,TRUE,Randomized,Double,OTHER,FALSE,UCSD,NA,NA,NA,2006,2006,2009,2009
NCT00365989,2019-02-04,2006-08-17,2018-12-20,Interventional,Phase 3,50,Completed,MR Guided Focused Ultrasound Treatment of Uterine Fibroids With Enhanced Sonication,2006-10-01T00:00:00Z,2008-08-01T00:00:00Z,2008-08-01T00:00:00Z,TRUE,NA,None (Open Label),INDUSTRY,TRUE,"University of California, San Diego",NA,NA,NA,2006,2006,2008,2008
NCT00369720,2019-10-02,2006-08-28,NA,Interventional,Not Applicable,40,Completed,Use of Blended Oxygen for Delivery Room Resuscitation of Very Low Birth Weight Infants,2005-01-01T00:00:00Z,2008-06-01T00:00:00Z,2008-06-01T00:00:00Z,FALSE,Randomized,None (Open Label),OTHER,FALSE,"University of California, San Diego",NA,NA,NA,2006,2005,2008,2008
NCT00376246,2020-02-11,2006-09-13,2019-08-01,Interventional,Phase 4,28,Completed,Effect of Ezetimibe on Flow-mediated Brachial Artery Reactivity in Healthy Subjects,2006-09-01T00:00:00Z,2008-04-01T00:00:00Z,2008-04-01T00:00:00Z,TRUE,Randomized,Double,OTHER,TRUE,UCSD,NA,NA,NA,2006,2006,2008,2008
NCT00380068,2012-04-02,2006-09-21,2009-07-10,Interventional,Phase 3,224,Completed,Safety and Efficacy Study of Ambrisentan in Subjects With Pulmonary Hypertension,2006-08-01T00:00:00Z,2009-05-01T00:00:00Z,2008-07-01T00:00:00Z,TRUE,Non-Randomized,None (Open Label),INDUSTRY,TRUE,"University of California, San Diego",NA,NA,NA,2006,2006,2009,2008
NCT00393380,2013-04-22,2006-10-25,2012-11-06,Interventional,Phase 2,13,Terminated,Study of Parathyroid Hormone Following Sequential Cord Blood Transplantation From an Unrelated Donor,2006-09-01T00:00:00Z,2012-03-01T00:00:00Z,2009-11-01T00:00:00Z,TRUE,NA,None (Open Label),INDUSTRY,TRUE,"University of California, San Diego",NA,NA,NA,2006,2006,2012,2009
NCT00397020,2019-08-16,2006-11-06,2016-12-19,Interventional,Phase 4,30,Completed,"Naturalistic Study, Comparison of Divalproex Extended Release (ER) and Quetiapine for Adults With Acute Mania or Mixed Episodes",2006-12-01T00:00:00Z,2008-12-01T00:00:00Z,2008-12-01T00:00:00Z,TRUE,Randomized,Single,OTHER,FALSE,UCSD,NA,NA,NA,2006,2006,2008,2008
NCT00398450,2021-03-01,2006-11-09,NA,Interventional,Phase 1,12,Completed,Azacitidine and Interferon Alfa in Treating Patients With Metastatic Melanoma,2006-02-01T00:00:00Z,2010-04-01T00:00:00Z,2010-04-01T00:00:00Z,FALSE,NA,NA,OTHER,FALSE,"University of California, San Diego",NA,NA,NA,2006,2006,2010,2010
NCT00412165,2012-08-15,2006-12-13,NA,Interventional,Not Applicable,101,Completed,PACE-iDP: An Intervention for Youth at Risk for Diabetes,2006-02-01T00:00:00Z,2009-05-01T00:00:00Z,2009-04-01T00:00:00Z,FALSE,Randomized,None (Open Label),OTHER,FALSE,UCSD,NA,NA,NA,2006,2006,2009,2009
NCT00412633,2012-06-08,2006-12-15,NA,Interventional,Not Applicable,442,Completed,Clinical & Web-based Diet & Activity Counseling for Men,2004-02-01T00:00:00Z,2010-10-01T00:00:00Z,2007-07-01T00:00:00Z,FALSE,Randomized,None (Open Label),OTHER,TRUE,UCSD,NA,NA,NA,2006,2004,2010,2007
NCT00414037,2015-10-23,2006-12-19,NA,Interventional,Phase 4,40,Terminated,How do Sleeping Pills Affect Pain in the Brain?,2006-12-01T00:00:00Z,2008-12-01T00:00:00Z,2008-12-01T00:00:00Z,FALSE,Randomized,Triple,OTHER,FALSE,"University of California, San Diego",NA,NA,NA,2006,2006,2008,2008
NCT00415870,2019-04-18,2006-12-22,2013-06-20,Interventional,Not Applicable,65,Completed,mDiet - Ecological Momentary Intervention of Diet Via Mobile Technology,2007-06-01T00:00:00Z,2009-04-01T00:00:00Z,2009-04-01T00:00:00Z,TRUE,Randomized,None (Open Label),OTHER,FALSE,UCSD,NA,NA,NA,2006,2007,2009,2009
NCT00419276,2016-09-27,2007-01-04,NA,Interventional,Not Applicable,81,Completed,Effect of Ambulatory Continuous Femoral Nerve Blocks on Readiness-for-Discharge Following Total Knee Replacement,2007-04-01T00:00:00Z,2010-08-01T00:00:00Z,2010-08-01T00:00:00Z,FALSE,Randomized,Quadruple,OTHER,TRUE,"University of California, San Diego",NA,NA,NA,2007,2007,2010,2010
NCT00419705,2011-06-07,2007-01-05,NA,Interventional,Phase 3,660,Completed,Effectiveness and Safety Trial of a New Ischemic Stroke Treatment Within 24 Hours From Stroke Onset (NEST-2),2006-12-01T00:00:00Z,2008-07-01T00:00:00Z,2008-07-01T00:00:00Z,FALSE,Randomized,Quadruple,INDUSTRY,TRUE,NA,"University of California San Diego, Department of Neurosciences; 9500 Gillman Drive; La Jolla, CA 92093",NA,NA,2007,2006,2008,2008
NCT00430391,2013-06-18,2007-01-31,NA,Interventional,Not Applicable,382,Completed,Comparison of Video Consent Versus Routine Consent for Participation in Research Studies,2003-12-01T00:00:00Z,2010-02-01T00:00:00Z,2010-02-01T00:00:00Z,FALSE,Randomized,None (Open Label),OTHER,FALSE,UCSD,NA,NA,NA,2007,2003,2010,2010
NCT00440089,2010-05-24,2007-02-23,NA,Interventional,Phase 2/Phase 3,76,Completed,Effects of Hands-on-Healing vs. Touch for Fatigued Breast Cancer Survivors,2005-10-01T00:00:00Z,2009-09-01T00:00:00Z,2009-09-01T00:00:00Z,FALSE,Randomized,Single,OTHER,TRUE,UCSD School of Medicine,NA,NA,NA,2007,2005,2009,2009
NCT00443079,2021-03-01,2007-03-02,2020-12-03,Interventional,Phase 2,6,Completed,A Study of Siliphos in Adults With Non-alcoholic Steatohepatitis (NASH),2007-03-01T00:00:00Z,2009-12-01T00:00:00Z,2009-12-01T00:00:00Z,TRUE,Non-Randomized,Single,OTHER,FALSE,"University of California, San Diego",NA,NA,NA,2007,2007,2009,2009
NCT00467896,2013-03-27,2007-04-27,2012-09-27,Interventional,Phase 2,62,Terminated,"The ""Power 15 Study"": Safety Study of Inhalation of Ventavis With the Power Disc-15 Setting",2006-09-01T00:00:00Z,2011-06-01T00:00:00Z,2010-11-01T00:00:00Z,TRUE,NA,None (Open Label),INDUSTRY,TRUE,"UCSD Medical Center, Thorton Hospital",NA,NA,NA,2007,2006,2011,2010
NCT00478257,2019-01-22,2007-05-22,2012-06-18,Interventional,Not Applicable,39,Completed,Effect of Increased Light Exposure on Fatigue in Breast Cancer,2005-11-01T00:00:00Z,2009-11-01T00:00:00Z,2009-11-01T00:00:00Z,TRUE,Randomized,Single,OTHER,FALSE,"University of California, San Diego",NA,NA,NA,2007,2005,2009,2009
NCT00495157,2013-04-05,2007-06-28,2012-04-30,Interventional,Phase 3,342,Completed,Asthma Clinical Research Network (ACRN) Trial - Best Adjustment Strategy for Asthma in Long Term (BASALT),2007-06-01T00:00:00Z,2010-07-01T00:00:00Z,2010-07-01T00:00:00Z,TRUE,Randomized,Quadruple,OTHER,TRUE,"University of California, San Diego",NA,NA,NA,2007,2007,2010,2010
NCT00518973,2019-06-24,2007-08-20,2019-06-24,Interventional,Not Applicable,21,Completed,Trial of Quetiapine in Anorexia Nervosa,2006-07-01T00:00:00Z,2010-05-01T00:00:00Z,2010-05-01T00:00:00Z,TRUE,Randomized,Double,OTHER,FALSE,"University of California, San Diego and University of Pittsburg",NA,NA,NA,2007,2006,2010,2010
NCT00519506,2009-04-12,2007-08-20,NA,Interventional,Phase 2,61,Completed,A Phase II Study to Evaluate the Efficacy of ThromboView® in the Detection of Pulmonary Emboli,2007-09-01T00:00:00Z,2008-10-01T00:00:00Z,2008-06-01T00:00:00Z,FALSE,NA,None (Open Label),INDUSTRY,TRUE,UCSD Medical Center,NA,NA,NA,2007,2007,2008,2008
NCT00534053,2019-07-15,2007-09-20,NA,Interventional,Not Applicable,775,Completed,Impact of a Mailed Educational Reminder on Fecal Occult Blood Testing (FOBT): A Randomized Controlled Trial,2007-06-01T00:00:00Z,2009-12-01T00:00:00Z,2009-12-01T00:00:00Z,FALSE,Randomized,Triple,OTHER,FALSE,"UCSD, VA San Diego",NA,NA,NA,2007,2007,2009,2009
NCT00565266,2018-05-31,2007-11-28,2012-04-30,Interventional,Phase 3,210,Completed,Asthma Clinical Research Network (ACRN) Trial - Tiotropium Bromide as an Alternative to Increased Inhaled Corticosteroid in Patients Inadequately Controlled on a Lower Dose of Inhaled Corticosteroid (TALC),2008-05-01T00:00:00Z,2010-05-01T00:00:00Z,2010-05-01T00:00:00Z,TRUE,Randomized,Quadruple,OTHER,TRUE,"University of California, San Diego",NA,NA,NA,2007,2008,2010,2010
NCT00574756,2019-07-31,2007-12-14,NA,Interventional,Not Applicable,14,Terminated,Effect of Ranolazine on Echocardiographic Indices of Diastolic Dysfunction,2007-12-01T00:00:00Z,2010-03-01T00:00:00Z,2010-03-01T00:00:00Z,FALSE,Randomized,Quadruple,OTHER,FALSE,UCSD Medical Center,NA,NA,NA,2007,2007,2010,2010
NCT00616616,2016-10-24,2008-02-04,NA,Interventional,Not Applicable,24,Completed,Single Incision Laparoscopy,2007-09-01T00:00:00Z,2010-02-01T00:00:00Z,2009-07-01T00:00:00Z,FALSE,NA,None (Open Label),OTHER,FALSE,"University of California, San Diego",NA,NA,NA,2008,2007,2010,2009
NCT00638456,2019-07-25,2008-03-12,2019-07-25,Interventional,Phase 2,32,Completed,Use of Topical Budesonide in the Treatment of Eosinophilic Esophagitis,2008-02-01T00:00:00Z,2009-09-01T00:00:00Z,2009-09-01T00:00:00Z,TRUE,Randomized,Quadruple,OTHER,FALSE,UCSD,NA,NA,NA,2008,2008,2009,2009
NCT00662259,2019-06-28,2008-04-17,2019-05-23,Interventional,Phase 4,32,Completed,Drug Treatment Validation of Functional Magnetic Resonance Imaging in Generalized Anxiety Disorder,2008-04-01T00:00:00Z,2009-09-01T00:00:00Z,2009-09-01T00:00:00Z,TRUE,Randomized,Double,OTHER,FALSE,"University of California, San Diego",NA,NA,NA,2008,2008,2009,2009
NCT00669526,2008-04-29,2008-04-28,NA,Interventional,Phase 2,60,Completed,Clinical and Cost Effectiveness of Brief Cognitive-Behavioral Therapy (CBT) for Pediatric Internalizing Disorders,2004-10-01T00:00:00Z,2007-04-01T00:00:00Z,2007-03-01T00:00:00Z,FALSE,Randomized,Single,OTHER,FALSE,SDSU/UCSD Joint Doctoral Program in Clinical Psychology,NA,NA,NA,2008,2004,2007,2007
NCT00677365,2018-01-17,2008-05-12,2011-09-04,Interventional,Phase 2,151,Completed,"Safety, Tolerability and Efficacy of MP-376 Given for 28 Days to Cystic Fibrosis (CF) Patients",2008-06-01T00:00:00Z,2009-06-01T00:00:00Z,2009-06-01T00:00:00Z,TRUE,Randomized,Quadruple,INDUSTRY,TRUE,UCSD,NA,NA,NA,2008,2008,2009,2009
NCT00703885,2014-12-19,2008-06-20,2013-06-19,Interventional,Phase 4,16,Completed,PharmacofMRI (Functional Magnetic Resonance Imaging) of Anxiolytic Medications (Alprazolam),2008-01-01T00:00:00Z,2008-08-01T00:00:00Z,2008-08-01T00:00:00Z,TRUE,Randomized,Single,OTHER,FALSE,"University of California, San Diego",NA,NA,NA,2008,2008,2008,2008
NCT00706836,2019-04-02,2008-06-26,2014-12-03,Interventional,Phase 4,16,Completed,PharmacofMRI of Anxiolytic Medications (Pregabalin),2008-06-01T00:00:00Z,2008-12-01T00:00:00Z,2008-12-01T00:00:00Z,TRUE,Randomized,Single,OTHER,FALSE,"University of California, San Diego",NA,NA,NA,2008,2008,2008,2008
NCT00733603,2021-03-18,2008-08-12,NA,Interventional,Not Applicable,81,Completed,Physical Therapy in Women With Interstitial Cystitis,2008-06-01T00:00:00Z,2009-12-01T00:00:00Z,2009-12-01T00:00:00Z,FALSE,Randomized,Single,NIH,TRUE,"University of California, San Diego",NA,NA,NA,2008,2008,2009,2009
NCT00746889,2010-07-29,2008-09-03,2010-04-05,Interventional,Not Applicable,79,Completed,Using Ultrasound to Predict Response to Intraarticular Corticosteroids in Knee Osteoarthritis,2004-03-01T00:00:00Z,2008-09-01T00:00:00Z,2008-07-01T00:00:00Z,TRUE,Randomized,Double,OTHER,TRUE,"University of California, San Diego",NA,"University of California, San Diego",NA,2008,2004,2008,2008
NCT00747617,2018-10-25,2008-09-04,2011-08-04,Interventional,Phase 3,25,Completed,Theca Cell Function in Women With Polycystic Ovary Syndrome (PCOS),2007-09-01T00:00:00Z,2010-09-01T00:00:00Z,2010-04-01T00:00:00Z,TRUE,Non-Randomized,None (Open Label),OTHER,FALSE,UCSD SChool of Medicine,NA,NA,NA,2008,2007,2010,2010
NCT00766597,2021-11-03,2008-10-03,2015-11-12,Interventional,Phase 1/Phase 2,9,Completed,Safety and Immune Response to Vicriviroc in Combination Regimens in HIV-Infected ART Experienced Children and Adolescents,2009-08-01T00:00:00Z,2010-08-01T00:00:00Z,2010-07-01T00:00:00Z,TRUE,NA,None (Open Label),NIH,TRUE,NA,"University of California, San Diego",NA,NA,2008,2009,2010,2010
NCT00774371,2011-09-16,2008-10-16,NA,Interventional,Not Applicable,253,Completed,Weight Reduction Intervention for Breast Cancer Survivors,2005-01-01T00:00:00Z,2009-12-01T00:00:00Z,2009-02-01T00:00:00Z,FALSE,Randomized,None (Open Label),OTHER,FALSE,"University of California, San Diego",NA,NA,NA,2008,2005,2009,2009
NCT00789880,2017-03-10,2008-11-11,2012-12-07,Interventional,Phase 2,82,Completed,Analysis of Response of Subjects With Atopic Dermatitis or Psoriasis to Oral Vitamin D3,2008-12-01T00:00:00Z,2009-12-01T00:00:00Z,2009-12-01T00:00:00Z,TRUE,Randomized,Quadruple,NIH,TRUE,NA,"University of California, San Diego",NA,NA,2008,2008,2009,2009
NCT00795951,2020-07-28,2008-11-20,2013-02-19,Interventional,Phase 4,102,Completed,Clinical Evaluation of T.R.U.E. TEST in Children and Adolescents,2008-11-01T00:00:00Z,2009-11-01T00:00:00Z,2009-10-01T00:00:00Z,TRUE,NA,None (Open Label),INDUSTRY,FALSE,UCSD School of Medicine,NA,NA,NA,2008,2008,2009,2009
NCT00810108,2012-06-02,2008-12-15,2012-04-25,Interventional,Phase 4,12,Completed,Lopinavir/Ritonavir (Kaletra) PK in Children,2006-06-01T00:00:00Z,2009-05-01T00:00:00Z,2009-05-01T00:00:00Z,TRUE,Randomized,None (Open Label),NIH,TRUE,"University of California, San Diego",NA,NA,NA,2008,2006,2009,2009
NCT00828334,2018-03-21,2009-01-20,NA,Interventional,Not Applicable,357,Completed,NIT-OCCLUD PDA Phase II Sentinel Trial,2002-11-01T00:00:00Z,2007-10-01T00:00:00Z,2007-06-01T00:00:00Z,FALSE,NA,None (Open Label),INDUSTRY,TRUE,"Rady Children's Hospital, San Diego, Department of Pediatrics, UCSD, School of Medicine",NA,NA,NA,2009,2002,2007,2007
NCT00832546,2009-01-29,2009-01-28,NA,Interventional,Phase 1,18,Completed,A Safety Tolerance and Experimental Hyperalgesia Study of Oral NGX426 in Healthy Male Voluneteers,2008-05-01T00:00:00Z,2008-09-01T00:00:00Z,2008-09-01T00:00:00Z,FALSE,Randomized,Triple,INDUSTRY,FALSE,"University of California, San Diego",NA,NA,NA,2009,2008,2008,2008
