nct_id,last_update_submitted_date,registration_date,summary_results_date,study_type,phase,enrollment,recruitment_status,title,start_date,completion_date,primary_completion_date,has_summary_results,allocation,masking,main_sponsor,is_multicentric,uci_lead_sponsor,uci_principal_investigator,uci_study_director,uci_study_chair,uci_unspecified_official,uci_responsible_party,registration_year,start_year,completion_year
NCT00007007,2020-10-21,2000-12-06,NA,Interventional,Not Applicable,59,Completed,Evaluation of Memory Skills in Patients Receiving Radiation Therapy for Brain Metastases,2000-11-01T00:00:00Z,2004-12-01T00:00:00Z,2004-12-01T00:00:00Z,FALSE,NA,None (Open Label),NETWORK,TRUE,NA,NA,NA,Lucille P. Markey Cancer Center at University of Kentucky,NA,NA,2000,2000,2004
NCT00026533,2017-06-04,2001-11-09,NA,Interventional,Phase 2,NA,Completed,Thalidomide in Treating Patients With Thyroid Cancer,2001-06-01T00:00:00Z,2005-12-01T00:00:00Z,2003-11-01T00:00:00Z,FALSE,NA,NA,OTHER,FALSE,NA,NA,NA,Lucille P. Markey Cancer Center at University of Kentucky,NA,NA,2001,2001,2005
NCT00086242,2019-03-06,2004-06-28,NA,Interventional,Not Applicable,36,Completed,"Telephone Counseling or Standard Care in Patients Who Have Completed Treatment for Stages I, II, or III Cervical Cancer",2004-08-01T00:00:00Z,2007-06-30T00:00:00Z,2005-12-31T00:00:00Z,FALSE,Randomized,Single,OTHER,FALSE,"University of California, Irvine",NA,NA,NA,NA,"University of California, Irvine",2004,2004,2007
NCT00093938,2010-01-12,2004-10-07,NA,Interventional,Phase 1,360,Completed,Cranberry Juice for Preventing Bacteria in Urine During Pregnancy,2004-12-01T00:00:00Z,NA,NA,FALSE,Randomized,Double,NIH,TRUE,NA,"University of California, Irvine Medical Center/Long Beach Memorial Medical Center",NA,NA,NA,NA,2004,2004,NA
NCT00103116,2017-03-30,2005-02-07,2013-11-07,Interventional,Phase 2,32,Completed,"Vaccine Therapy in Treating Patients With Stage I, Stage II, or Stage III Non-small Cell Lung Cancer",2004-10-01T00:00:00Z,2008-04-01T00:00:00Z,2008-04-01T00:00:00Z,TRUE,NA,None (Open Label),OTHER,FALSE,NA,NA,NA,Lucille P. Markey Cancer Center at University of Kentucky,NA,NA,2005,2004,2008
NCT00161733,2017-04-04,2005-09-08,NA,Interventional,Phase 3,NA,Completed,"Safety and Hemostatic Efficacy of Fibrin Sealant Vapor Heated, Solvent/Detergent Treated (FS VH S/D) Compared With Currently Licensed TISSEEL VH Fibrin Sealant in Subjects Undergoing Cardiac Surgery",2002-09-01T00:00:00Z,2004-11-01T00:00:00Z,NA,FALSE,Randomized,Double,INDUSTRY,TRUE,NA,"UCI Medical Center, Orange, CA",NA,NA,NA,NA,2005,2002,2004
NCT00161759,2006-10-19,2005-09-08,NA,Interventional,Phase 1/Phase 2,40,Completed,Safety and Efficacy Study of Fibrin Sealant (FS 4IU) for Skin Graft Fixation and Wound Healing in Subjects With Burn Wounds,2002-03-01T00:00:00Z,2004-01-01T00:00:00Z,NA,FALSE,Randomized,None (Open Label),INDUSTRY,TRUE,NA,"University of California Irvine, Orange, CA",NA,NA,NA,NA,2005,2002,2004
NCT00221390,2016-10-28,2005-09-19,NA,Interventional,Phase 2,52,Completed,Trial of Ropinirole in Motor Recovery After Stroke,2003-10-01T00:00:00Z,2007-05-01T00:00:00Z,2007-02-01T00:00:00Z,FALSE,Randomized,Quadruple,OTHER,FALSE,"University of California, Irvine","University of California, Irvine",NA,NA,NA,"University of California, Irvine",2005,2003,2007
NCT00225381,2021-03-19,2005-09-21,NA,Observational,NA,0,Withdrawn,Gas Kinetics and Metabolism in Anesthesia During Non Steady State,2005-08-01T00:00:00Z,2012-01-13T00:00:00Z,2012-01-13T00:00:00Z,FALSE,NA,NA,OTHER,FALSE,"University of California, Irvine",UCI Medical Center,UCI Medical Center,NA,NA,NA,2005,2005,2012
NCT00237562,2006-05-04,2005-10-10,NA,Interventional,Phase 3,NA,Completed,Feasibility of the Management of Severe Cervical Dysplasia in a Single Visit,1999-07-01T00:00:00Z,NA,NA,FALSE,Randomized,None (Open Label),OTHER,FALSE,"University of California, Irvine","University of California, Irvine",NA,NA,NA,NA,2005,1999,NA
NCT00247377,2010-05-11,2005-10-31,2010-01-19,Interventional,Not Applicable,197,Completed,Laparoscopic Gastric Bypass vs LAP-BAND for Treatment of Morbid Obesity,2002-10-01T00:00:00Z,2009-12-01T00:00:00Z,2009-12-01T00:00:00Z,TRUE,Randomized,None (Open Label),OTHER,FALSE,"University of California, Irvine","University of California, Irvine Medical Center, Orange, CA",NA,NA,NA,"Chief, Division of Gastrointestinal Surgery University of California, Irvine Medical Center",2005,2002,2009
NCT00247416,2014-01-16,2005-10-28,2013-08-02,Interventional,Phase 2,60,Completed,Effects of Carboplatin and Gemcitabine on Stage IIIB Pleural Effusion and Stage IV Lung Cancer,2005-08-01T00:00:00Z,2009-07-01T00:00:00Z,2009-07-01T00:00:00Z,TRUE,Randomized,None (Open Label),OTHER,TRUE,NA,Lucille P. Markey Cancer Center at University of Kentucky,NA,NA,NA,NA,2005,2005,2009
NCT00247936,2021-01-22,2005-10-31,NA,Interventional,Not Applicable,0,Withdrawn,Combined Thoracoscopic and Laparoscopic Esophagectomy vs. Hand-assisted Transhiatal Esophagectomy: A Prospective Trial.,2004-05-01T00:00:00Z,2004-05-01T00:00:00Z,2004-05-01T00:00:00Z,FALSE,Non-Randomized,None (Open Label),OTHER,TRUE,"University of California, Irvine","University of California, Irvine",NA,NA,NA,NA,2005,2004,2004
NCT00254072,2010-02-11,2005-10-31,2009-11-05,Interventional,Not Applicable,355,Completed,Evaluation of Endostapled Anastomoses for Laparoscopic Gastric Bypass (EEA-LGB),2007-01-01T00:00:00Z,2009-04-01T00:00:00Z,2009-04-01T00:00:00Z,TRUE,Randomized,None (Open Label),OTHER,TRUE,"University of California, Irvine","University of California, Irvine",NA,NA,NA,"University of California, Irvine Medical Center",2005,2007,2009
NCT00254592,2019-02-13,2005-11-15,2009-08-28,Interventional,Phase 2,43,Completed,Neoadjuvant Treatment of Breast Cancer,2005-10-01T00:00:00Z,2013-09-04T00:00:00Z,2013-09-04T00:00:00Z,TRUE,NA,None (Open Label),OTHER,FALSE,"University of California, Irvine",NA,NA,NA,NA,"University of California, Irvine",2005,2005,2013
NCT00256217,2021-04-19,2005-11-16,2021-01-06,Interventional,Phase 2,42,Completed,Chemoprevention Trial - Anastrozole in Ductal Carcinoma In Situ (DCIS) in Postmenopausal Women,2004-09-21T00:00:00Z,2018-12-12T00:00:00Z,2018-12-12T00:00:00Z,TRUE,NA,None (Open Label),OTHER,FALSE,NA,NA,NA,NA,NA,"University of California, Irvine",2005,2004,2018
NCT00256230,2016-12-06,2005-11-17,NA,Interventional,Phase 1/Phase 2,7,Completed,Disulfiram in Patients With Metastatic Melanoma,2002-01-01T00:00:00Z,2007-08-01T00:00:00Z,2007-08-01T00:00:00Z,FALSE,NA,None (Open Label),OTHER,FALSE,NA,NA,NA,NA,NA,"University of California, Irvine",2005,2002,2007
NCT00256243,2018-02-28,2005-11-17,2009-08-28,Interventional,Phase 2,48,Completed,Neoadjuvant Biweekly Treatment Followed by Weekly Treatment of Breast Cancer,2004-04-01T00:00:00Z,2012-07-01T00:00:00Z,2011-03-01T00:00:00Z,TRUE,NA,None (Open Label),OTHER,FALSE,NA,NA,NA,NA,NA,"University of California, Irvine",2005,2004,2012
NCT00256269,2018-01-24,2005-11-17,NA,Interventional,Phase 2,4,Terminated,Oxaliplatin and Irinotecan in Recurrent or Metastatic Esophageal and Gastroesophageal (GE) Junction Carcinoma,2005-06-01T00:00:00Z,2007-02-07T00:00:00Z,2007-02-07T00:00:00Z,FALSE,NA,None (Open Label),OTHER,FALSE,"University of California, Irvine",NA,NA,NA,NA,"University of California, Irvine",2005,2005,2007
NCT00256282,2018-05-01,2005-11-17,2016-12-31,Interventional,Phase 2,52,Completed,Docetaxel and Vinorelbine Plus Sargramostim in Metastatic Malignant Melanoma,2003-04-01T00:00:00Z,2012-08-01T00:00:00Z,2012-08-01T00:00:00Z,TRUE,NA,None (Open Label),OTHER,FALSE,NA,NA,NA,NA,NA,"University of California, Irvine",2005,2003,2012
NCT00256295,2016-12-02,2005-11-17,2013-06-21,Interventional,Phase 2,8,Terminated,Weekly Oxaliplatin and Gemcitabine for Recurrent or Metastatic Head and Neck Cancer,2005-04-01T00:00:00Z,2011-10-01T00:00:00Z,2008-02-01T00:00:00Z,TRUE,NA,None (Open Label),OTHER,FALSE,NA,NA,NA,NA,NA,"University of California, Irvine",2005,2005,2011
NCT00256308,2018-04-27,2005-11-17,2013-06-26,Interventional,Phase 2,6,Terminated,Adjuvant Chemoradiation With Weekly Oxaliplatin in Resected Head and Neck Cancer,2005-02-01T00:00:00Z,2011-10-01T00:00:00Z,2010-05-01T00:00:00Z,TRUE,NA,None (Open Label),OTHER,FALSE,"University of California, Irvine",NA,NA,NA,NA,"University of California, Irvine",2005,2005,2011
NCT00256321,2019-02-06,2005-11-18,NA,Interventional,Phase 2,4,Terminated,Celecoxib/Oxaliplatin/Capecitabine for Gastric/Gastroesophageal Junction Carcinoma,2004-10-01T00:00:00Z,2007-08-01T00:00:00Z,2007-08-01T00:00:00Z,FALSE,NA,None (Open Label),OTHER,FALSE,"University of California, Irvine",NA,NA,NA,NA,"University of California, Irvine",2005,2004,2007
NCT00256334,2014-06-18,2005-11-17,NA,Interventional,Phase 1,11,Completed,Resveratrol for Patients With Colon Cancer,2005-07-01T00:00:00Z,2009-04-01T00:00:00Z,2008-12-01T00:00:00Z,FALSE,NA,None (Open Label),OTHER,FALSE,"University of California, Irvine","University of California, Irvine",NA,NA,NA,"University of California, Irvine",2005,2005,2009
NCT00257322,2018-02-06,2005-11-18,2009-06-26,Interventional,Phase 2,20,Completed,Cellular Immune Augmentation in Colon and Rectal Cancer,2003-04-01T00:00:00Z,2007-01-01T00:00:00Z,2007-01-01T00:00:00Z,TRUE,NA,None (Open Label),OTHER,FALSE,"University of California, Irvine",NA,NA,NA,NA,"University of California, Irvine",2005,2003,2007
NCT00257335,2017-07-26,2005-11-21,NA,Interventional,Phase 2,0,Withdrawn,Intensity-Modulated Radiotherapy for Recurrent Head and Neck Cancer,2004-10-14T00:00:00Z,2007-06-12T00:00:00Z,2007-06-12T00:00:00Z,FALSE,Non-Randomized,None (Open Label),OTHER,TRUE,NA,NA,NA,NA,NA,"University of California, Irvine",2005,2004,2007
NCT00257348,2013-02-06,2005-11-21,NA,Interventional,Phase 2,5,Completed,Capecitabine and Docetaxel in Advanced/Recurrent Cervical Cancer,2004-03-01T00:00:00Z,2007-07-01T00:00:00Z,2007-07-01T00:00:00Z,FALSE,NA,None (Open Label),OTHER,FALSE,"University of California, Irvine",NA,NA,NA,NA,NA,2005,2004,2007
NCT00257816,2018-02-01,2005-11-21,NA,Interventional,Phase 2,12,Completed,Weekly IV Topotecan and Cisplatin With Radiation in Cervical Carcinoma,2004-01-01T00:00:00Z,2007-12-17T00:00:00Z,2007-12-17T00:00:00Z,FALSE,NA,None (Open Label),OTHER,FALSE,"University of California, Irvine",NA,NA,NA,NA,"University of California, Irvine",2005,2004,2007
NCT00257829,2018-11-29,2005-11-21,NA,Interventional,Phase 2,0,Withdrawn,Improving Tumor Oxygenation in Cervical Cancer,2004-07-01T00:00:00Z,2006-09-20T00:00:00Z,2006-09-20T00:00:00Z,FALSE,Non-Randomized,None (Open Label),OTHER,TRUE,"University of California, Irvine",NA,NA,NA,NA,"University of California, Irvine",2005,2004,2006
NCT00298480,2007-04-18,2006-03-01,NA,Observational,NA,220,Unknown status,Dynamic Cervical Change: Prediction of Preterm Labor in Symptomatic Patients,2005-02-01T00:00:00Z,2007-07-01T00:00:00Z,NA,FALSE,NA,NA,OTHER,TRUE,NA,"University of California, Irvine",NA,NA,NA,NA,2006,2005,2007
NCT00314678,2016-12-06,2006-04-12,NA,Interventional,Phase 2,40,Completed,Cisplatin Induction With Paclitaxel Consolidation for Stage III-IV Epithelial Ovarian and Primary Peritoneal Cancer,2005-09-01T00:00:00Z,2007-04-01T00:00:00Z,NA,FALSE,Non-Randomized,None (Open Label),OTHER,FALSE,NA,NA,NA,NA,NA,"University of California, Irvine",2006,2005,2007
NCT00315913,2019-02-26,2006-04-17,NA,Interventional,Phase 2,0,Withdrawn,Trial of Oxytocin Alone Versus Oxytocin and Propranolol for the Treatment of Abnormal Labor,2004-01-01T00:00:00Z,2008-03-01T00:00:00Z,2008-03-01T00:00:00Z,FALSE,Randomized,Triple,OTHER,FALSE,"University of California, Irvine","University of California, Irvine",NA,NA,NA,"University of California, Irvine",2006,2004,2008
NCT00319176,2013-02-06,2006-04-26,NA,Observational,NA,15,Completed,Evaluation of Pre-dose and Post-dose Anti-factor Xa Levels With Enoxaparin Use During Pregnancy,2004-04-01T00:00:00Z,2007-12-01T00:00:00Z,NA,FALSE,NA,NA,OTHER,FALSE,"University of California, Irvine","University of California, Irvine",NA,NA,NA,NA,2006,2004,2007
NCT00319839,2018-01-11,2006-04-27,2013-06-26,Interventional,Phase 2,10,Terminated,Study of Albumin Bound-Paclitaxel for Treatment of Recurrent or Metastatic Head and Neck Cancer With Cetuximab,2006-03-01T00:00:00Z,2010-06-01T00:00:00Z,2009-05-01T00:00:00Z,TRUE,NA,None (Open Label),OTHER,FALSE,"University of California, Irvine",NA,NA,NA,NA,"University of California, Irvine",2006,2006,2010
NCT00329290,2013-02-06,2006-05-22,NA,Observational,NA,100,Completed,Evaluation of Maternal and Fetal Outcomes in Pregnancies in Women With Prosthetic Heart Valves,2002-02-01T00:00:00Z,2007-04-01T00:00:00Z,NA,FALSE,NA,NA,OTHER,FALSE,"University of California, Irvine","University of California, Irvine",NA,NA,NA,NA,2006,2002,2007
NCT00329511,2018-01-26,2006-05-22,NA,Interventional,Not Applicable,0,Withdrawn,A Comparison of Compliance Between Clonidine Patch and Methyldopa for the Treatment of Chronic Hypertension in Pregnancy,2004-09-01T00:00:00Z,2008-12-01T00:00:00Z,2008-12-01T00:00:00Z,FALSE,Randomized,None (Open Label),OTHER,FALSE,NA,"University of California, Irvine",NA,NA,NA,"University of California, Irvine",2006,2004,2008
NCT00337129,2015-08-11,2006-06-13,2012-07-20,Interventional,Phase 2,42,Completed,S0618 E7389 in Treating Patients With Metastatic or Recurrent Head and Neck Cancer,2006-05-01T00:00:00Z,2011-07-01T00:00:00Z,2008-08-01T00:00:00Z,TRUE,NA,None (Open Label),NIH,TRUE,NA,NA,NA,Lucille P. Markey Cancer Center at University of Kentucky,NA,NA,2006,2006,2011
NCT00355758,2010-08-31,2006-07-24,NA,Observational,NA,200,Terminated,UCI 03-72 Prostate Cancer Detection by Serum Proteomic Profiling,2005-04-01T00:00:00Z,2009-06-01T00:00:00Z,NA,FALSE,NA,NA,OTHER,FALSE,"University of California, Irvine",NA,NA,NA,NA,"University of California, Irvine",2006,2005,2009
NCT00360477,2016-12-12,2006-08-03,NA,Interventional,Not Applicable,59,Completed,FloSeal Tubeless Exit Versus Cope Loop Nephrostomy Versus Fascial Stitch Following Percutaneous Nephrolithotripsy,2004-06-01T00:00:00Z,2015-01-01T00:00:00Z,2014-10-01T00:00:00Z,FALSE,Randomized,Single,OTHER,FALSE,"University of California, Irvine",NA,NA,NA,NA,"University of California, Irvine",2006,2004,2015
NCT00362414,2016-08-16,2006-08-09,2012-06-12,Interventional,Phase 2,15,Completed,Beta-hCG + Erythropoietin in Acute Stroke,2006-08-01T00:00:00Z,2008-03-01T00:00:00Z,2008-03-01T00:00:00Z,TRUE,NA,None (Open Label),OTHER,FALSE,"University of California, Irvine","University of California, Irvine",NA,NA,NA,"University of California, Irvine",2006,2006,2008
NCT00381108,2010-01-04,2006-09-26,NA,Interventional,Phase 1,20,Unknown status,Study of the Effects of Pomegranate Tablets on Enlarged Prostates,2005-09-01T00:00:00Z,2010-06-01T00:00:00Z,2010-06-01T00:00:00Z,FALSE,Randomized,Triple,OTHER,TRUE,"University of California, Irvine",UCIMC Department of Urology,NA,NA,NA,"University of California, Irvine",2006,2005,2010
NCT00393601,2010-01-04,2006-10-27,NA,Observational,NA,200,Completed,Chart Review of Laparoscopic Radical Cystectomy,2005-12-01T00:00:00Z,2009-10-01T00:00:00Z,NA,FALSE,NA,NA,OTHER,FALSE,"University of California, Irvine","University of California, Irvine",NA,NA,NA,"University of California, Irvine",2006,2005,2009
NCT00395564,2016-12-12,2006-11-01,NA,Observational,NA,150,Completed,"Chart Review of Those Who Have Had Open, Laparoscopic, Ureteroscopic, or Percutaneous Surgery",2008-11-01T00:00:00Z,2011-11-01T00:00:00Z,2011-11-01T00:00:00Z,FALSE,NA,NA,OTHER,FALSE,"University of California, Irvine",University of California Irvine-Department of Urology,NA,NA,NA,"University of California, Irvine",2006,2008,2011
NCT00395980,2008-12-11,2006-11-02,NA,Interventional,Not Applicable,20,Completed,Muscle Pressure in the Flank Position,2006-10-01T00:00:00Z,2007-07-01T00:00:00Z,NA,FALSE,Non-Randomized,None (Open Label),OTHER,FALSE,"University of California, Irvine","University of California, Irvine",NA,NA,NA,"University of California, Irvine",2006,2006,2007
NCT00437827,2009-10-23,2007-01-17,NA,Interventional,Not Applicable,120,Completed,rEEG Guided Pharmacotherapy of Subjects With Depression Treatment Failure,2006-08-01T00:00:00Z,2009-10-01T00:00:00Z,2009-10-01T00:00:00Z,FALSE,Randomized,Single,INDUSTRY,TRUE,NA,"University of California, Irvine",NA,NA,NA,NA,2007,2006,2009
NCT00442598,2015-03-06,2007-02-28,2015-02-20,Interventional,Phase 2,17,Terminated,Safety and Efficacy Study of Glufosfamide in Ovarian Cancer,2007-01-01T00:00:00Z,2008-04-01T00:00:00Z,2008-04-01T00:00:00Z,TRUE,Randomized,None (Open Label),INDUSTRY,TRUE,NA,UCI Chao Family Comprehensive Cancer Center,NA,NA,NA,NA,2007,2007,2008
NCT00473213,2007-05-11,2007-05-11,NA,Interventional,Phase 3,217,Completed,Optimizing IFN Beta - 1B Dose,1999-09-01T00:00:00Z,2004-02-01T00:00:00Z,NA,FALSE,Randomized,Single,OTHER,TRUE,NA,"Ospedale Generale di Macerata,Servizio di Neurofisiopatologia, Via Santa Lucia 1 62100 Macerata.",NA,NA,NA,NA,2007,1999,2004
NCT00496106,2019-03-05,2007-07-02,NA,Interventional,Not Applicable,204,Completed,"Stress, Immunity and Cervical Cancer: Biobehavioral Outcomes",2007-08-01T00:00:00Z,2011-02-01T00:00:00Z,2010-08-01T00:00:00Z,FALSE,Randomized,None (Open Label),OTHER,FALSE,"University of California, Irvine","University of California, Irvine",NA,NA,NA,"University of California, Irvine",2007,2007,2011
NCT00499616,2021-07-01,2007-07-10,2015-12-01,Interventional,Phase 3,464,Completed,Combination Chemotherapy and Surgery With or Without Isotretinoin in Treating Young Patients With Neuroblastoma,2007-10-08T00:00:00Z,2021-06-30T00:00:00Z,2014-06-30T00:00:00Z,TRUE,Non-Randomized,None (Open Label),NETWORK,TRUE,NA,NA,NA,Lucile Packard Children's Hospital at Stanford University Medical Center,NA,NA,2007,2007,2021
NCT00503672,2017-11-06,2007-07-18,NA,Observational,NA,0,Withdrawn,Assessment of Activity in Pregnancy Using an Actigraph,2007-07-01T00:00:00Z,2010-09-01T00:00:00Z,2010-08-01T00:00:00Z,FALSE,NA,NA,OTHER,TRUE,"University of California, Irvine","University of California, Irvine",NA,NA,NA,"University of California, Irvine",2007,2007,2010
NCT00506025,2017-11-17,2007-07-24,2009-12-03,Interventional,Not Applicable,51,Completed,Effectiveness of Cranberry Ingestion on Bacterial Adhesion: An Adjunct Study,2006-08-01T00:00:00Z,2008-02-01T00:00:00Z,2008-02-01T00:00:00Z,TRUE,Non-Randomized,None (Open Label),OTHER,FALSE,"University of California, Irvine","University of California, Irvine",NA,NA,NA,"University of California, Irvine",2007,2006,2008
NCT00513461,2018-08-09,2007-08-06,2017-08-24,Interventional,Phase 2,110,Completed,Liver Cancer Prevention Trial in Patients With Chronic Hep C Infection,2007-10-01T00:00:00Z,2013-12-01T00:00:00Z,2012-08-01T00:00:00Z,TRUE,Randomized,Triple,OTHER,TRUE,NA,NA,NA,NA,NA,"University of California, Irvine",2007,2007,2013
NCT00514618,2011-04-04,2007-08-09,NA,Interventional,Not Applicable,5,Terminated,Outpatient Cervical Ripening With Orally Administered Misoprostol in Diabetics,2006-03-01T00:00:00Z,2008-12-01T00:00:00Z,2008-12-01T00:00:00Z,FALSE,Randomized,Triple,OTHER,FALSE,"University of California, Irvine","University of California, Irvine",NA,NA,NA,NA,2007,2006,2008
NCT00516841,2012-08-21,2007-08-14,NA,Interventional,Phase 2,16,Terminated,"A Phase 2, Single-Arm Study of Volociximab Monotherapy in Subjects With Platinum-Resistant Advanced Epithelial Ovarian Cancer or Primary Peritoneal Cancer",2007-08-01T00:00:00Z,2008-04-01T00:00:00Z,2008-04-01T00:00:00Z,FALSE,NA,None (Open Label),INDUSTRY,TRUE,NA,UCI Medical Center,NA,NA,NA,NA,2007,2007,2008
NCT00527254,2007-09-07,2007-09-07,NA,Interventional,Not Applicable,328,Completed,Telemedicine Influence in the Follow up of the Type 2 Diabetes Patient,2003-10-01T00:00:00Z,2005-06-01T00:00:00Z,NA,FALSE,Randomized,None (Open Label),OTHER_GOV,FALSE,NA,Málaga Health Department (Junta de Andalucia),NA,NA,NA,NA,2007,2003,2005
NCT00528255,2012-06-15,2007-09-10,NA,Interventional,Phase 2,0,Withdrawn,Pharmacokinetics and Safety of the 100 Mcg Misoprostol Vaginal Insert (MVI 100),NA,NA,NA,FALSE,Non-Randomized,None (Open Label),INDUSTRY,TRUE,NA,UCI Medical Center/Long Beach Memorial Hospital,NA,NA,NA,NA,2007,NA,NA
NCT00533494,2007-11-11,2007-09-20,NA,Interventional,Phase 3,NA,Completed,The Effect of Patients' Participation in Improving Diabetes Care,2000-01-01T00:00:00Z,2003-09-01T00:00:00Z,NA,FALSE,Randomized,Single,OTHER,FALSE,NA,"Department of Medicine, School of Medicine,UCI",NA,NA,NA,NA,2007,2000,2003
NCT00540306,2017-02-08,2007-10-04,NA,Observational,NA,13,Completed,Monitoring Functional Variation in the Breast During Menstrual Cycle by Using Diffuse Optical Spectroscopy,2006-02-01T00:00:00Z,2012-10-01T00:00:00Z,2012-10-01T00:00:00Z,FALSE,NA,NA,OTHER,FALSE,"University of California, Irvine",Beckman Laser Institute University of California Irvine,NA,NA,NA,"University of California, Irvine",2007,2006,2012
NCT00540371,2017-02-08,2007-10-04,NA,Observational,NA,136,Completed,Dynamic Epidermal Cooling During Pulsed Dye Laser Treatment of Port Wine Stain Birthmark at High Fluences,1999-12-01T00:00:00Z,2009-02-01T00:00:00Z,2009-02-01T00:00:00Z,FALSE,NA,NA,OTHER,FALSE,"University of California, Irvine",Beckman Laser Institue University of California Irvine,NA,NA,NA,"University of California, Irvine",2007,1999,2009
NCT00540540,2018-01-26,2007-10-04,NA,Observational,NA,0,Withdrawn,Measurements of Breast Tissue Optical Properties,1995-12-01T00:00:00Z,2018-07-01T00:00:00Z,2018-07-01T00:00:00Z,FALSE,NA,NA,OTHER,TRUE,"University of California, Irvine",NA,NA,NA,NA,"University of California, Irvine",2007,1995,2018
