nct_id,last_update_submitted_date,registration_date,summary_results_date,study_type,phase,enrollment,recruitment_status,title,start_date,completion_date,primary_completion_date,has_summary_results,allocation,masking,main_sponsor,is_multicentric,uci_principal_investigator,uci_study_director,uci_study_chair,uci_unspecified_official,registration_year,start_year,completion_year,primary_completion_year
NCT02048826,2021-03-23,2014-01-27,2016-10-25,Interventional,Not Applicable,31,Completed,FINGER Robot Therapy Study,2013-11-01T00:00:00Z,2016-02-01T00:00:00Z,2015-05-01T00:00:00Z,TRUE,Randomized,Double,OTHER,FALSE,"University of California, Irvine",NA,NA,NA,2014,2013,2016,2015
NCT02049944,2021-01-12,2014-01-24,2020-09-01,Interventional,Phase 4,30,Completed,Increased Cefazolin During Cesarean Delivery in Obese Population,2013-08-01T00:00:00Z,2014-12-01T00:00:00Z,2014-09-01T00:00:00Z,TRUE,NA,None (Open Label),OTHER,TRUE,"University of California, Irvine",NA,NA,NA,2014,2013,2014,2014
NCT02070237,2015-10-22,2014-02-20,2015-09-23,Interventional,Phase 1,90,Completed,Comparing Anti-XA Levels in Post-Cesarean Patients Undergoing Enoxaparin Thromboprophylaxis,2013-08-01T00:00:00Z,2014-03-01T00:00:00Z,2014-03-01T00:00:00Z,TRUE,Randomized,None (Open Label),OTHER,FALSE,Memorial Health Care System; University of California Irvine,NA,NA,NA,2014,2013,2014,2014
NCT02075658,2018-01-16,2013-11-01,2017-05-23,Interventional,Not Applicable,60,Completed,"A Comparative Study Between AirSeal, an Integrated Insufflation System, and Conventional Insufflation",2003-01-01T00:00:00Z,2014-09-01T00:00:00Z,2014-03-01T00:00:00Z,TRUE,Randomized,Single,OTHER,FALSE,"University of California, Irvine",NA,NA,NA,2013,2003,2014,2014
NCT02078895,2018-08-21,2014-02-26,NA,Interventional,Phase 3,15,Terminated,Randomization of Botox for Stent Pain and Irritative Voiding Symptoms,2014-02-01T00:00:00Z,2017-02-01T00:00:00Z,2017-02-01T00:00:00Z,FALSE,Randomized,Single,OTHER,FALSE,"University of California, Irvine Department of Urology",NA,NA,NA,2014,2014,2017,2017
NCT02086123,2021-04-23,2013-11-20,NA,Interventional,Not Applicable,87,Completed,Randomized Study Comparing the Use of Epidural Analgesia to Intravenous Narcotics for Laparoscopic Colorectal Resection.,2012-05-01T00:00:00Z,2015-04-01T00:00:00Z,2015-03-01T00:00:00Z,FALSE,Randomized,None (Open Label),OTHER,FALSE,"University of California, Irvine",NA,NA,NA,2013,2012,2015,2015
NCT02199171,2020-01-29,2014-07-16,NA,Interventional,Phase 1,30,Completed,"Heated Carboplatin in Treating Patients With Stage II-IV Ovarian, Fallopian Tube, or Peritoneal Cancer",2014-07-01T00:00:00Z,2017-10-01T00:00:00Z,2017-10-01T00:00:00Z,FALSE,NA,None (Open Label),OTHER,FALSE,"University of California, Irvine",NA,NA,NA,2014,2014,2017,2017
NCT02205307,2020-06-22,2014-07-29,2020-05-11,Interventional,Not Applicable,347,Terminated,A Study Assessing Perfusion Outcomes With PINPOINT® Near Infrared Fluorescence Imaging in Low Anterior Resection,2015-01-01T00:00:00Z,2017-05-01T00:00:00Z,2017-05-01T00:00:00Z,TRUE,Randomized,None (Open Label),INDUSTRY,TRUE,"University of California, Irvine",NA,NA,NA,2014,2015,2017,2017
NCT02250898,2018-05-14,2014-09-24,NA,Interventional,Not Applicable,21,Completed,Massage for Post Breast Surgery,2014-09-01T00:00:00Z,2015-06-01T00:00:00Z,2015-06-01T00:00:00Z,FALSE,Randomized,Single,OTHER,FALSE,Ctr for Reducing Health Disparities,NA,NA,NA,2014,2014,2015,2015
NCT02258425,2017-06-16,2014-10-02,NA,Interventional,Not Applicable,130,Completed,Homeless Female Offenders Returning to the Community,2015-01-01T00:00:00Z,2016-11-01T00:00:00Z,2016-11-01T00:00:00Z,FALSE,Randomized,None (Open Label),OTHER,FALSE,UCLA/UCI,NA,NA,NA,2014,2015,2016,2016
NCT02259699,2019-03-08,2014-05-15,2017-02-21,Interventional,Not Applicable,124,Completed,Ovarian Cancer Patient-Centered Decision Aid,2014-12-01T00:00:00Z,2016-12-31T00:00:00Z,2016-12-31T00:00:00Z,TRUE,Randomized,None (Open Label),OTHER,FALSE,"University of California, Irvine",NA,NA,NA,2014,2014,2016,2016
NCT02307552,2017-06-26,2014-08-28,2016-12-14,Interventional,Not Applicable,1,Terminated,Transurethral Ultrasonic Imaging For Detection and Classification of Prostate Cancer,2013-06-01T00:00:00Z,2014-05-01T00:00:00Z,2014-04-01T00:00:00Z,TRUE,NA,None (Open Label),OTHER,FALSE,"University of California, Irvine",NA,NA,NA,2014,2013,2014,2014
NCT02320812,2019-03-04,2014-12-16,2018-08-07,Interventional,Phase 1/Phase 2,28,Completed,"Safety of a Single, Intravitreal Injection of Human Retinal Progenitor Cells (jCell) in Retinitis Pigmentosa",2015-06-01T00:00:00Z,2017-07-19T00:00:00Z,2017-07-19T00:00:00Z,TRUE,NA,None (Open Label),INDUSTRY,TRUE,"Gavin Herbert Eye Institute, UCI, Irvine, CA",NA,NA,NA,2014,2015,2017,2017
NCT02369757,2016-02-26,2014-12-05,NA,Interventional,Not Applicable,40774,Completed,Patients Navigator for Organized Colorectal Cancer Screening,2012-10-01T00:00:00Z,2015-05-01T00:00:00Z,2015-05-01T00:00:00Z,FALSE,Randomized,None (Open Label),OTHER,FALSE,NA,NA,Institut de Cancérologie Lucien Neuwirth,NA,2014,2012,2015,2015
NCT02410629,2021-06-10,2015-04-02,2018-01-09,Interventional,Not Applicable,17,Completed,To Determine the Therapeutic Effect of the Music Glove and Conventional Hand Exercises to Subacute Stroke Patients,2015-03-01T00:00:00Z,2016-07-01T00:00:00Z,2016-07-01T00:00:00Z,TRUE,Randomized,Single,OTHER,FALSE,"University of California, Irvine",NA,NA,NA,2015,2015,2016,2016
NCT02410980,2017-03-03,2015-03-23,NA,Interventional,Early Phase 1,15,Completed,Assessing the Effects of Tretinoin Cream on Human Skin With Optical Imaging Technologies,2015-08-01T00:00:00Z,2016-12-01T00:00:00Z,2016-12-01T00:00:00Z,FALSE,NA,None (Open Label),OTHER,FALSE,"Beckman Laser Institute, UCI",NA,NA,NA,2015,2015,2016,2016
NCT02473614,2021-06-04,2015-06-12,2016-10-28,Interventional,Not Applicable,11,Completed,Efficacy Study of the Music Glove Patients With Spinal Cord Injuries,2015-03-01T00:00:00Z,2016-06-01T00:00:00Z,2016-06-01T00:00:00Z,TRUE,Randomized,Single,OTHER,FALSE,"University of California, Irvine",NA,NA,NA,2015,2015,2016,2016
NCT02550561,2018-03-19,2015-09-03,NA,Interventional,Not Applicable,13,Completed,Pilot Study of Percutaneous Posterior Tibial Nerve Stimulation for the Treatment of IC/PBS,2015-06-01T00:00:00Z,2018-03-01T00:00:00Z,2017-12-01T00:00:00Z,FALSE,NA,None (Open Label),OTHER,FALSE,"University of California, Irvine",NA,NA,NA,2015,2015,2018,2017
NCT02682498,2017-07-05,2016-02-03,2016-10-31,Interventional,Phase 4,38,Completed,Comparing Post-Op Narcotic Usage in Patients Receiving Periarticular Exparel vs. Standard Periarticular Joint Inj,2013-10-01T00:00:00Z,2015-08-01T00:00:00Z,2015-07-01T00:00:00Z,TRUE,Randomized,Double,OTHER,FALSE,"University of California, Irvine",NA,NA,NA,2016,2013,2015,2015
NCT02768961,2017-05-17,2016-05-02,NA,Interventional,Phase 4,64,Completed,"Program of Screening, Prevention and Elimination of Hepatitis C in Penitentiary Institutions in Cantabria (JAILFREE-C)",2016-05-10T00:00:00Z,2017-05-10T00:00:00Z,2017-05-10T00:00:00Z,FALSE,NA,None (Open Label),OTHER,FALSE,Ministerio del Interior. Secretaría General de Instituciones Penitenciarias,NA,NA,NA,2016,2016,2017,2017
NCT03009708,2018-05-11,2016-12-30,NA,Interventional,Not Applicable,15,Completed,Feasibility Study of Platelet Activation and Inflammatory Response of Platelets in Hematopoietic Stem Cell Allograft Patients Post-transplant: Spontaneously and After Stimulation by an CMV Antigen,2017-03-21T00:00:00Z,2017-11-06T00:00:00Z,2017-09-12T00:00:00Z,FALSE,NA,None (Open Label),OTHER,FALSE,Institut de Cancérologie Lucien Neuwirth,NA,NA,NA,2016,2017,2017,2017
NCT03151460,2017-05-11,2017-05-09,NA,Interventional,Phase 4,40,Completed,Dopaminergic Modulation of Declarative Memory,2014-09-01T00:00:00Z,2016-04-01T00:00:00Z,2016-04-01T00:00:00Z,FALSE,Randomized,None (Open Label),OTHER,FALSE,Fondazione S. Lucia,NA,NA,NA,2017,2014,2016,2016
NCT03191929,2019-04-16,2017-06-09,NA,Interventional,Not Applicable,410,Completed,Depression Screening in Primary Care: Using HIT for Patients With Limited English,2011-08-01T00:00:00Z,2015-06-01T00:00:00Z,2015-06-01T00:00:00Z,FALSE,Randomized,Single,OTHER,TRUE,"University of California, Irvine",NA,NA,NA,2017,2011,2015,2015
NCT03327831,2017-12-13,2015-10-23,NA,Interventional,Phase 4,31,Completed,Study of Daylight Photodynamic Therapy With Aminolevulinic Acid for Actinic Keratoses,2015-04-01T00:00:00Z,2017-07-01T00:00:00Z,2017-02-01T00:00:00Z,FALSE,NA,None (Open Label),OTHER,FALSE,"University of California, Irvine",NA,NA,NA,2015,2015,2017,2017
NCT03331770,2017-11-06,2017-10-25,NA,Interventional,Phase 4,103,Completed,Efficacy and Tolerability of an Innovative Formulation of BAK-free Latanoprost,2017-01-06T00:00:00Z,2017-10-06T00:00:00Z,2017-10-06T00:00:00Z,FALSE,NA,None (Open Label),INDUSTRY,FALSE,NA,Hospital Santa Lucia,NA,NA,2017,2017,2017,2017
NCT03381313,2017-12-21,2017-12-18,NA,Interventional,Not Applicable,12,Completed,Classical Conditioning Training for Aphasia. A Telemedicine Approach.,2014-04-01T00:00:00Z,2017-11-01T00:00:00Z,2017-11-01T00:00:00Z,FALSE,NA,None (Open Label),OTHER,TRUE,I.C.C.S Fondazione Santa Lucia,NA,NA,NA,2017,2014,2017,2017
NCT03680534,2018-09-19,2018-09-17,NA,Interventional,Not Applicable,30,Completed,3D Analysis of Root Canal Conformation,2017-08-24T00:00:00Z,2017-11-19T00:00:00Z,2017-10-23T00:00:00Z,FALSE,Randomized,Single,OTHER,FALSE,Institucion Universitaria Colegios de Colombia,NA,NA,NA,2018,2017,2017,2017
NCT03681171,2018-09-20,2018-08-30,NA,Interventional,Not Applicable,9,Completed,Therapeutic Dance Intervention for Children With Cerebral Palsy,2016-06-25T00:00:00Z,2016-09-01T00:00:00Z,2016-08-01T00:00:00Z,FALSE,NA,None (Open Label),OTHER,TRUE,NA,"University of California, Irvine",NA,NA,2018,2016,2016,2016
