nct_id,last_update_submitted_date,registration_date,summary_results_date,study_type,phase,enrollment,recruitment_status,title,start_date,completion_date,primary_completion_date,has_summary_results,allocation,masking,main_sponsor,is_multicentric,stanford_principal_investigator,stanford_unspecified_official,stanford_study_director,stanford_sub_investigator,stanford_study_chair,registration_year,start_year,completion_year,primary_completion_year
NCT00505362,2017-10-02,2007-07-19,2016-11-28,Interventional,Not Applicable,63,Completed,Pain Study of Rectus Muscle Closure at Cesarean Delivery,2006-06-01T00:00:00Z,2017-10-01T00:00:00Z,2014-08-01T00:00:00Z,TRUE,Randomized,Triple,OTHER,FALSE,Stanford University,NA,NA,NA,NA,2007,2006,2017,2014
NCT00568633,2019-09-11,2007-12-04,2019-08-16,Interventional,Phase 3,58,Terminated,Allogeneic HCT Using Nonmyeloablative Host Conditioning With TLI & ATG vs SOC in AML,2007-08-01T00:00:00Z,2015-12-31T00:00:00Z,2015-12-31T00:00:00Z,TRUE,Non-Randomized,None (Open Label),OTHER,TRUE,Stanford University,NA,NA,NA,NA,2007,2007,2015,2015
NCT00572117,2016-11-09,2007-12-10,2016-08-17,Interventional,Phase 4,12,Completed,Adjunctive Topiramate for Treatment of Alcohol Dependence in Patients With Bipolar Disorder,2007-08-01T00:00:00Z,2014-07-01T00:00:00Z,2014-07-01T00:00:00Z,TRUE,Randomized,Triple,OTHER,FALSE,Stanford University,NA,NA,NA,NA,2007,2007,2014,2014
NCT00614744,2021-02-15,2008-02-11,2017-06-30,Interventional,Not Applicable,168,Completed,Late Hypothermia for Hypoxic-Ischemic Encephalopathy,2008-04-01T00:00:00Z,2016-06-01T00:00:00Z,2016-06-01T00:00:00Z,TRUE,Randomized,None (Open Label),NETWORK,TRUE,Stanford University,NA,NA,NA,NA,2008,2008,2016,2016
NCT00747435,2017-04-10,2008-09-04,2017-02-13,Interventional,Not Applicable,73,Completed,Safety and Effectiveness of the MED-EL Electric-Acoustic System,2007-02-01T00:00:00Z,2016-02-01T00:00:00Z,2016-02-01T00:00:00Z,TRUE,Non-Randomized,None (Open Label),INDUSTRY,TRUE,Stanford University,NA,NA,NA,NA,2008,2007,2016,2016
NCT00767624,2016-10-10,2008-10-03,2016-08-05,Interventional,Phase 2/Phase 3,150,Completed,TRIAD - Treatment of Insomnia and Depression,2008-12-01T00:00:00Z,2015-06-01T00:00:00Z,2015-06-01T00:00:00Z,TRUE,Randomized,Triple,OTHER,TRUE,Stanford University,NA,NA,NA,NA,2008,2008,2015,2015
NCT00780494,2021-06-29,2008-10-23,2019-07-31,Interventional,Phase 2,35,Completed,"Ph II of Capecitabine, Carboplatin & Bevacizumab for Gastroesophageal Junction & Gastric Carcinoma",2009-02-01T00:00:00Z,2017-12-31T00:00:00Z,2017-12-31T00:00:00Z,TRUE,NA,None (Open Label),OTHER,FALSE,Stanford University,NA,NA,NA,NA,2008,2009,2017,2017
NCT00850135,2016-04-13,2009-02-20,2016-04-13,Interventional,Phase 1/Phase 2,57,Completed,Correlation of Continuous Glucose Monitoring and Glucose Tolerance Testing With Pregnancy Outcomes,2009-02-01T00:00:00Z,2015-09-01T00:00:00Z,2014-07-01T00:00:00Z,TRUE,NA,None (Open Label),OTHER,TRUE,Stanford University,NA,NA,NA,NA,2009,2009,2015,2014
NCT00879151,2015-05-21,2009-04-07,NA,Interventional,Not Applicable,130,Completed,Study of Treatment for Adolescents With Bulimia Nervosa,2009-01-01T00:00:00Z,2014-09-01T00:00:00Z,2014-09-01T00:00:00Z,FALSE,Randomized,None (Open Label),OTHER,TRUE,Stanford University,NA,NA,NA,NA,2009,2009,2014,2014
NCT00899847,2017-09-19,2009-05-08,2017-08-24,Interventional,Phase 2,9,Completed,Phase 2 Study of Autologous Followed by Nonmyeloablative Allogeneic Transplantation Using TLI & ATG,2009-05-01T00:00:00Z,2014-12-01T00:00:00Z,2014-04-01T00:00:00Z,TRUE,NA,None (Open Label),OTHER,FALSE,Stanford University,NA,NA,NA,NA,2009,2009,2014,2014
NCT00928226,2020-01-10,2009-06-23,2019-12-12,Interventional,Not Applicable,56,Completed,Study of Fractionated Stereotactic Radiosurgery to Treat Large Brain Metastases,2009-04-01T00:00:00Z,2019-12-01T00:00:00Z,2017-10-31T00:00:00Z,TRUE,Non-Randomized,None (Open Label),OTHER,FALSE,Stanford University,NA,NA,NA,NA,2009,2009,2019,2017
NCT00946673,2017-10-04,2009-07-23,NA,Interventional,Phase 1,17,Completed,Phase I Vorinostat Concurrent With Stereotactic Radiosurgery (SRS) in Brain Metastases From Non-Small Cell Lung Cancer,2009-06-01T00:00:00Z,2015-07-01T00:00:00Z,2014-07-01T00:00:00Z,FALSE,NA,None (Open Label),OTHER,TRUE,Stanford University,NA,NA,NA,NA,2009,2009,2015,2014
NCT00956085,2017-06-20,2009-08-10,2016-11-29,Interventional,Phase 2,12,Completed,Memantine Augmentation in Treatment-Resistant Adults With Obsessive-Compulsive Disorder,2009-08-01T00:00:00Z,2015-12-01T00:00:00Z,2015-12-01T00:00:00Z,TRUE,NA,None (Open Label),OTHER,FALSE,Stanford University,NA,NA,NA,NA,2009,2009,2015,2015
NCT00981435,2019-07-23,2009-09-21,2016-12-28,Interventional,Phase 4,97,Completed,Steroids After Laser Trabeculoplasty for Glaucoma,2009-09-01T00:00:00Z,2015-09-01T00:00:00Z,2015-09-01T00:00:00Z,TRUE,Randomized,Triple,OTHER,TRUE,Stanford University,NA,NA,NA,NA,2009,2009,2015,2015
NCT01011218,2018-11-01,2009-11-09,2018-09-13,Interventional,Phase 2,70,Completed,Management of Insomnia in Breast Cancer Patients,2011-01-01T00:00:00Z,2016-07-01T00:00:00Z,2016-07-01T00:00:00Z,TRUE,Randomized,Double,OTHER,FALSE,Stanford University,NA,NA,NA,NA,2009,2011,2016,2016
NCT01020812,2016-06-27,2009-11-24,2014-12-05,Interventional,Phase 1/Phase 2,11,Terminated,Combination SBRT With TACE for Unresectable Hepatocellular Carcinoma,2009-09-01T00:00:00Z,2014-03-01T00:00:00Z,2014-03-01T00:00:00Z,TRUE,NA,None (Open Label),OTHER,FALSE,Stanford University,NA,NA,NA,NA,2009,2009,2014,2014
NCT01034514,2017-05-03,2009-12-16,NA,Interventional,Early Phase 1,35,Terminated,4D-CT-based Ventilation Imaging for Adaptive Functional Guidance in Radiotherapy,2009-12-01T00:00:00Z,2014-06-24T00:00:00Z,2014-06-24T00:00:00Z,FALSE,NA,None (Open Label),OTHER,FALSE,Stanford University,NA,NA,NA,NA,2009,2009,2014,2014
NCT01040897,2018-08-19,2009-12-28,NA,Interventional,Not Applicable,865,Completed,Addressing Health Literacy and Numeracy to Prevent Childhood Obesity,2010-04-28T00:00:00Z,2014-10-01T00:00:00Z,2014-10-01T00:00:00Z,FALSE,Randomized,None (Open Label),OTHER,FALSE,Stanford University,NA,NA,NA,NA,2009,2010,2014,2014
NCT01050647,2019-04-02,2010-01-13,2018-02-13,Interventional,Phase 1/Phase 2,21,Completed,"Progesterone for the Management of Preterm, Premature Rupture of the Membranes: A Randomized Controlled Trial.",2010-02-01T00:00:00Z,2015-12-01T00:00:00Z,2015-12-01T00:00:00Z,TRUE,Randomized,Quadruple,OTHER,TRUE,Stanford University,NA,NA,NA,NA,2010,2010,2015,2015
NCT01055028,2018-02-23,2010-01-21,2016-12-19,Interventional,Phase 2,18,Terminated,Paclitaxel + Bevacizumab (Avastin) for the Treatment of Metastatic or Unresectable Angiosarcoma,2010-02-01T00:00:00Z,2016-06-24T00:00:00Z,2016-03-01T00:00:00Z,TRUE,Non-Randomized,None (Open Label),OTHER,TRUE,Stanford University,NA,NA,NA,NA,2010,2010,2016,2016
NCT01067144,2018-09-06,2010-02-09,2018-06-01,Interventional,Phase 3,422,Terminated,Stanford Accelerated Recovery Trial (START),2010-05-01T00:00:00Z,2016-07-01T00:00:00Z,2016-07-01T00:00:00Z,TRUE,Randomized,Quadruple,OTHER,FALSE,Stanford University,NA,NA,NA,NA,2010,2010,2016,2016
NCT01078363,2016-12-02,2010-02-26,2016-06-17,Interventional,Not Applicable,96,Completed,Angiotensin Converting Enzyme (ACE) Inhibition and Cardiac Allograft Vasculopathy,2009-06-01T00:00:00Z,2015-04-01T00:00:00Z,2015-04-01T00:00:00Z,TRUE,Randomized,Triple,OTHER,TRUE,Stanford University,NA,NA,NA,NA,2010,2009,2015,2015
NCT01094587,2017-10-12,2010-03-25,NA,Interventional,Not Applicable,39,Terminated,Sutureless vs Sutured Gastroschisis Closure,2009-11-01T00:00:00Z,2015-06-24T00:00:00Z,2015-06-24T00:00:00Z,FALSE,Randomized,None (Open Label),OTHER,FALSE,Stanford University,NA,NA,NA,NA,2010,2009,2015,2015
NCT01108055,2017-05-08,2010-04-15,2017-01-18,Interventional,Phase 2,43,Completed,Phase II Pazopanib in Combination With Weekly Paclitaxel in Refractory Urothelial Cancer,2010-04-01T00:00:00Z,2015-07-01T00:00:00Z,2015-01-01T00:00:00Z,TRUE,NA,None (Open Label),OTHER,TRUE,Stanford University,NA,NA,NA,NA,2010,2010,2015,2015
NCT01114282,2016-07-05,2010-04-29,NA,Interventional,Phase 1,11,Completed,Phase I Bortezomib (VELCADE) in Combo With Pralatrexate in Relapsed/Refractory MM,2010-08-01T00:00:00Z,NA,2014-02-01T00:00:00Z,FALSE,NA,None (Open Label),OTHER,FALSE,Stanford University,NA,NA,NA,NA,2010,2010,NA,2014
NCT01120639,2021-08-04,2010-05-07,2019-02-07,Interventional,Phase 1/Phase 2,30,Completed,Phase 1-2 of Temozolomide and Hypofractionated Radiotherapy in Tx of Supratentorial Glioblastoma Multiform,2010-04-01T00:00:00Z,2020-11-15T00:00:00Z,2016-11-01T00:00:00Z,TRUE,Non-Randomized,None (Open Label),OTHER,FALSE,Stanford University,NA,NA,NA,NA,2010,2010,2020,2016
NCT01123005,2017-11-01,2009-07-27,NA,Interventional,Phase 1,28,Terminated,Imaging and Biomarkers of Hypoxia in Solid Tumors,2010-12-01T00:00:00Z,2015-08-21T00:00:00Z,2015-08-21T00:00:00Z,FALSE,Non-Randomized,None (Open Label),OTHER,FALSE,Stanford University,NA,NA,NA,NA,2009,2010,2015,2015
NCT01155141,2014-08-20,2010-06-29,2014-08-01,Interventional,Phase 4,15,Completed,Idiopathic Focal Segmental Glomerulosclerosis (FSGS) and Treatment With ACTH,2009-09-01T00:00:00Z,2014-01-01T00:00:00Z,2014-01-01T00:00:00Z,TRUE,NA,None (Open Label),OTHER,FALSE,Stanford University,NA,NA,NA,NA,2010,2009,2014,2014
NCT01163487,2021-09-02,2010-07-06,NA,Interventional,Phase 1,17,Completed,Phase I Trial of Metabolic Reprogramming Therapy for Treatment of Recurrent Head and Neck Cancers,2010-08-01T00:00:00Z,2016-02-01T00:00:00Z,2015-02-01T00:00:00Z,FALSE,NA,None (Open Label),OTHER,FALSE,Stanford University,NA,NA,NA,NA,2010,2010,2016,2015
NCT01181245,2014-08-04,2009-05-04,NA,Interventional,Phase 1,50,Completed,A Phase 1 Study of Safety and Bioactivity With FG-3019 in Combination With Gemcitabine and Erlotinib for Subjects With Locally Advanced or Metastatic Pancreatic Cancer,2008-12-01T00:00:00Z,2014-06-01T00:00:00Z,2014-05-01T00:00:00Z,FALSE,Non-Randomized,None (Open Label),INDUSTRY,TRUE,Stanford University,NA,NA,NA,NA,2009,2008,2014,2014
NCT01188486,2018-04-13,2010-08-23,NA,Interventional,Not Applicable,12,Terminated,Pulmonary Interstitial Lymphography in Early Stage Lung Cancer,2010-08-01T00:00:00Z,2017-04-30T00:00:00Z,2017-04-30T00:00:00Z,FALSE,NA,None (Open Label),OTHER,FALSE,Stanford University,NA,NA,NA,NA,2010,2010,2017,2017
NCT01192776,2021-02-15,2010-08-31,2017-03-31,Interventional,Not Applicable,364,Terminated,"Optimizing (Longer, Deeper) Cooling for Neonatal Hypoxic-Ischemic Encephalopathy(HIE)",2010-09-01T00:00:00Z,2016-03-01T00:00:00Z,2016-03-01T00:00:00Z,TRUE,Randomized,None (Open Label),NETWORK,TRUE,Stanford University,NA,NA,NA,NA,2010,2010,2016,2016
NCT01216319,2016-05-19,2010-10-05,2015-04-30,Interventional,Not Applicable,50,Completed,Evaluation of the Cook Biodesign® Nipple Reconstruction Cylinder (NRC),2011-09-01T00:00:00Z,2014-04-01T00:00:00Z,2014-04-01T00:00:00Z,TRUE,NA,None (Open Label),INDUSTRY,TRUE,Stanford University,NA,NA,NA,NA,2010,2011,2014,2014
NCT01221220,2021-05-04,2010-10-13,NA,Interventional,Not Applicable,174,Completed,Environmental Strategies & Behavior Change to Reduce Overeating in Obese Children,2010-09-01T00:00:00Z,2014-10-15T00:00:00Z,2014-10-15T00:00:00Z,FALSE,Randomized,Single,OTHER,FALSE,Stanford University,NA,NA,NA,NA,2010,2010,2014,2014
NCT01245595,2015-06-03,2010-11-19,2015-03-31,Interventional,Not Applicable,144,Completed,Aminophylline to Prevent Acute Kidney Injury in Children After Cardiac Surgery,2010-11-01T00:00:00Z,2014-05-01T00:00:00Z,2014-05-01T00:00:00Z,TRUE,Randomized,Quadruple,OTHER,FALSE,Stanford University,NA,NA,NA,NA,2010,2010,2014,2014
NCT01249014,2018-06-06,2010-11-23,NA,Interventional,Not Applicable,46,Completed,Temperature Study in Cesarean Section,2013-11-01T00:00:00Z,2015-04-30T00:00:00Z,2015-04-30T00:00:00Z,FALSE,Non-Randomized,None (Open Label),OTHER,FALSE,Stanford University,NA,Stanford University,Stanford University,NA,2010,2013,2015,2015
NCT01256229,2016-11-11,2010-11-12,NA,Interventional,Phase 1,303,Completed,Outcomes In Children With Developmental Delay And Deafness,2009-09-01T00:00:00Z,2016-09-01T00:00:00Z,2016-09-01T00:00:00Z,FALSE,Randomized,None (Open Label),OTHER,TRUE,Stanford University,NA,NA,NA,NA,2010,2009,2016,2016
NCT01270620,2015-10-01,2010-12-14,2015-07-18,Interventional,Phase 4,100,Completed,Desflurane or Propofol Anesthesia in Elderly Obese Patients Undergoing Total Knee Replacement,2010-12-01T00:00:00Z,2015-07-01T00:00:00Z,2015-07-01T00:00:00Z,TRUE,Randomized,Single,OTHER,FALSE,Stanford University,NA,Stanford University,NA,NA,2010,2010,2015,2015
NCT01282736,2019-03-22,2011-01-14,NA,Interventional,Not Applicable,86,Completed,Guided Self-Help for Binge Eating Disorder,2010-06-01T00:00:00Z,2014-07-01T00:00:00Z,2014-07-01T00:00:00Z,FALSE,Randomized,None (Open Label),OTHER,FALSE,Stanford University,NA,NA,NA,NA,2011,2010,2014,2014
NCT01287936,2016-12-19,2011-01-27,NA,Interventional,Phase 1/Phase 2,18,Completed,A Study of Modified Stem Cells in Stable Ischemic Stroke,2011-01-01T00:00:00Z,2015-08-01T00:00:00Z,2015-08-01T00:00:00Z,FALSE,NA,None (Open Label),INDUSTRY,TRUE,Stanford University,NA,NA,NA,NA,2011,2011,2015,2015
NCT01305252,2017-04-27,2010-11-02,2016-11-21,Interventional,Phase 4,21,Completed,A 48-week Study of the Effect of Dual Therapy (Inhaled Treprostinil and Tadafafil) Versus Monotherapy (Tadalafil).,2010-07-01T00:00:00Z,2014-09-01T00:00:00Z,2014-09-01T00:00:00Z,TRUE,Randomized,Triple,OTHER,TRUE,Stanford University,NA,NA,NA,NA,2010,2010,2014,2014
NCT01313884,2017-10-20,2011-03-10,2016-12-07,Interventional,Phase 2,3,Terminated,"Cyclophosphamide, Doxorubicin, Vincristine w/ Irinotecan and Temozolomide in Ewings Sarcoma",2011-05-01T00:00:00Z,2014-07-01T00:00:00Z,2014-07-01T00:00:00Z,TRUE,NA,None (Open Label),OTHER,FALSE,Stanford University,NA,NA,NA,NA,2011,2011,2014,2014
NCT01330043,2017-07-04,2010-10-07,2016-04-12,Interventional,Phase 4,223,Completed,Extended Treatment for Smoking Cessation,2010-03-01T00:00:00Z,2015-03-01T00:00:00Z,2015-03-01T00:00:00Z,TRUE,Randomized,Double,OTHER,FALSE,Stanford University,NA,NA,NA,NA,2010,2010,2015,2015
NCT01336803,2019-05-30,2011-04-12,2019-05-03,Interventional,Phase 2,21,Completed,Differentiation of Bone Sarcomas and Osteomyelitis With Ferumoxytol-Enhanced MRI,2011-08-01T00:00:00Z,2018-10-01T00:00:00Z,2014-07-01T00:00:00Z,TRUE,NA,None (Open Label),OTHER,FALSE,Stanford University,NA,NA,NA,NA,2011,2011,2018,2014
NCT01355705,2018-09-17,2011-05-16,2017-01-11,Interventional,Phase 1/Phase 2,14,Completed,Phase 1-2 Amrubicin in Combo With Lenalidomide + Weekly Dexamethasone in Relapsed/Refractory Multiple Myeloma,2011-08-01T00:00:00Z,2017-07-01T00:00:00Z,2016-07-01T00:00:00Z,TRUE,NA,None (Open Label),OTHER,FALSE,Stanford University,NA,NA,NA,NA,2011,2011,2017,2016
NCT01364259,2017-02-16,2011-05-26,2016-12-16,Interventional,Phase 3,17,Terminated,A Study of Amifostine for Prevention of Facial Numbness in Radiosurgery Treatment of Trigeminal Neuralgia,2008-09-01T00:00:00Z,2015-01-01T00:00:00Z,2014-01-01T00:00:00Z,TRUE,Randomized,Single,OTHER,FALSE,Stanford University,NA,NA,NA,NA,2011,2008,2015,2014
NCT01364727,2019-04-05,2011-05-31,2017-01-23,Interventional,Phase 2,33,Completed,A Phase 2 Study of Amrubicin in Relapsed or Refractory Thymic Malignancies,2011-06-01T00:00:00Z,2018-12-31T00:00:00Z,2014-07-01T00:00:00Z,TRUE,NA,None (Open Label),OTHER,TRUE,Stanford University,NA,NA,NA,NA,2011,2011,2018,2014
NCT01390584,2020-12-01,2011-07-07,2020-10-30,Interventional,Phase 2,6,Terminated,Chemotherapy Based on PET Scan in Treating Patients With Stage I or Stage II Hodgkin Lymphoma,2012-04-02T00:00:00Z,2018-05-18T00:00:00Z,2015-04-09T00:00:00Z,TRUE,Non-Randomized,None (Open Label),NETWORK,TRUE,NA,NA,NA,NA,Stanford University,2011,2012,2018,2015
NCT01392989,2019-04-18,2011-06-21,2019-03-14,Interventional,Phase 2,44,Completed,Post T-plant Infusion of Allogeneic Cytokine Induced Killer (CIK) Cells as Consolidative Therapy in Myelodysplastic Syndromes/Myeloproliferative Disorders,2011-03-01T00:00:00Z,2017-03-19T00:00:00Z,2016-06-07T00:00:00Z,TRUE,NA,None (Open Label),OTHER,FALSE,Stanford University,NA,NA,NA,NA,2011,2011,2017,2016
NCT01396070,2017-02-17,2011-07-14,2016-12-28,Interventional,Phase 2,36,Completed,Brentuximab Vedotin (SGN-35) in Patients With Mycosis Fungoides With Variable CD30 Expression Level,2011-05-01T00:00:00Z,2016-05-01T00:00:00Z,2015-04-01T00:00:00Z,TRUE,NA,None (Open Label),OTHER,FALSE,Stanford University,NA,NA,NA,NA,2011,2011,2016,2015
NCT01400269,2022-02-15,2011-05-31,NA,Interventional,Not Applicable,48,Completed,An Evaluation of a Developmentally-Based Parent Training Program for Children With Autism,2010-09-01T00:00:00Z,2014-01-01T00:00:00Z,2014-01-01T00:00:00Z,FALSE,NA,None (Open Label),OTHER,FALSE,Stanford University,NA,NA,NA,NA,2011,2010,2014,2014
NCT01406795,2017-01-06,2011-07-22,2016-11-24,Interventional,Not Applicable,1,Terminated,The GORE Viabahn Endoprosthesis for the Treatment of Venous Occlusions and Stenoses,2010-12-01T00:00:00Z,2014-12-01T00:00:00Z,2014-12-01T00:00:00Z,TRUE,NA,None (Open Label),OTHER,FALSE,Stanford University,NA,NA,NA,NA,2011,2010,2014,2014
NCT01406808,2017-10-03,2011-07-28,NA,Interventional,Not Applicable,100,Completed,Personal Genomics for Preventive Cardiology,2011-08-01T00:00:00Z,2017-08-01T00:00:00Z,2016-10-01T00:00:00Z,FALSE,Randomized,None (Open Label),OTHER,FALSE,Stanford University,NA,NA,NA,NA,2011,2011,2017,2016
NCT01413516,2017-11-04,2011-08-03,2016-02-25,Interventional,Phase 2,17,Completed,Varenicline In-Patient Study,2011-08-01T00:00:00Z,2014-10-01T00:00:00Z,2014-10-01T00:00:00Z,TRUE,Randomized,Double,OTHER,FALSE,Stanford University,NA,NA,NA,NA,2011,2011,2014,2014
NCT01415206,2019-07-11,2011-08-09,NA,Interventional,Not Applicable,250,Completed,The Total Health Study,2011-08-01T00:00:00Z,2016-06-21T00:00:00Z,2015-06-02T00:00:00Z,FALSE,Randomized,Single,OTHER,FALSE,Stanford University,NA,NA,NA,NA,2011,2011,2016,2015
NCT01442714,2017-12-04,2011-09-23,2016-10-17,Interventional,Phase 2,33,Terminated,Azacitidine + Lenalidomide Combo in the Elderly With Previously Treated AML & High-Risk MDS,2011-08-01T00:00:00Z,2014-05-01T00:00:00Z,2014-03-01T00:00:00Z,TRUE,NA,None (Open Label),OTHER,FALSE,Stanford University,NA,NA,NA,NA,2011,2011,2014,2014
NCT01449279,2020-02-14,2011-10-05,2017-01-20,Interventional,Phase 2,22,Completed,Pilot Ipilimumab in Stage IV Melanoma Receiving Palliative Radiation Therapy,2011-10-01T00:00:00Z,2016-12-01T00:00:00Z,2015-12-31T00:00:00Z,TRUE,NA,None (Open Label),OTHER,FALSE,Stanford University,NA,NA,NA,NA,2011,2011,2016,2015
NCT01461473,2017-04-14,2011-10-20,2016-12-08,Interventional,Not Applicable,131,Completed,Comparative Outcomes Management With Electronic Data Technology (COMET) Study,2011-12-01T00:00:00Z,2014-06-01T00:00:00Z,2014-05-01T00:00:00Z,TRUE,Randomized,None (Open Label),OTHER,TRUE,NA,NA,Stanford University,NA,NA,2011,2011,2014,2014
NCT01471028,2019-01-22,2011-11-07,2018-07-24,Interventional,Phase 3,203,Completed,Assess Safety and Efficacy of ELAD (Extracorporeal Liver Assist System) in Subjects With Alcohol-Induced Liver Failure,2013-02-01T00:00:00Z,2015-08-01T00:00:00Z,2015-01-01T00:00:00Z,TRUE,Randomized,None (Open Label),INDUSTRY,TRUE,CA - Stanford School of Medicine/Stanford University Medical Center,NA,NA,NA,NA,2011,2013,2015,2015
NCT01472445,2019-03-26,2011-11-11,2019-03-06,Interventional,Phase 2,41,Terminated,Vitamin D and Breast Cancer: Does Weight Make a Difference?,2011-11-01T00:00:00Z,2015-10-01T00:00:00Z,2014-10-01T00:00:00Z,TRUE,Randomized,Double,OTHER,FALSE,Stanford University,NA,NA,NA,NA,2011,2011,2015,2014
NCT01477463,2016-10-31,2011-11-17,2016-06-30,Interventional,Not Applicable,24,Completed,Pilot Trial to Evaluate the Effect of Vitamin D on Melanocyte Biomarkers,2012-09-01T00:00:00Z,2014-05-01T00:00:00Z,2014-05-01T00:00:00Z,TRUE,Randomized,None (Open Label),OTHER,FALSE,Stanford University,NA,NA,NA,NA,2011,2012,2014,2014
NCT01479478,2018-08-14,2011-11-22,2018-07-18,Interventional,Not Applicable,251,Completed,Effects of Oral Probiotic Supplementation on Group B Strep (GBS) Rectovaginal Colonization in Pregnancy,2011-11-01T00:00:00Z,2017-07-26T00:00:00Z,2017-07-26T00:00:00Z,TRUE,Randomized,Quadruple,OTHER,TRUE,Stanford University School of Medicine/Lucile Packard Children's Hospital,NA,NA,NA,NA,2011,2011,2017,2017
NCT01483391,2021-09-26,2011-11-26,NA,Interventional,Not Applicable,150,Completed,Early Intervention for Youth at Risk for Bipolar Disorder,2011-10-06T00:00:00Z,2020-09-15T00:00:00Z,2016-09-15T00:00:00Z,FALSE,Randomized,Single,OTHER,TRUE,Stanford University,NA,NA,NA,NA,2011,2011,2020,2016
