nct_id,last_update_submitted_date,registration_date,summary_results_date,study_type,phase,enrollment,recruitment_status,title,start_date,completion_date,primary_completion_date,has_summary_results,allocation,masking,main_sponsor,is_multicentric,stanford_lead_sponsor,stanford_principal_investigator,stanford_unspecified_official,stanford_study_director,stanford_sub_investigator,stanford_study_chair,stanford_responsible_party,registration_year,start_year,completion_year
NCT00005727,2016-08-23,2000-05-25,NA,Interventional,Not Applicable,351,Completed,CVD Nutrition Education,1991-08-01T00:00:00Z,2000-01-01T00:00:00Z,1995-12-01T00:00:00Z,FALSE,Randomized,None (Open Label),OTHER,TRUE,Stanford University,NA,NA,NA,NA,NA,Stanford University,2000,1991,2000
NCT00005772,2019-03-20,2000-06-01,NA,Interventional,Phase 3,208,Completed,Whole-Body Cooling for Birth Asphyxia in Term Infants,1999-10-01T00:00:00Z,2010-07-01T00:00:00Z,2003-05-01T00:00:00Z,FALSE,Randomized,None (Open Label),NETWORK,TRUE,NA,NA,NA,Stanford University,NA,NA,NA,2000,1999,2010
NCT00005773,2017-09-22,2000-06-01,NA,Interventional,Phase 3,302,Terminated,Early Inhaled Nitric Oxide for Respiratory Failure in Newborns,1998-08-01T00:00:00Z,2003-08-01T00:00:00Z,2001-05-01T00:00:00Z,FALSE,Randomized,Quadruple,NETWORK,TRUE,NA,Stanford University,NA,NA,NA,NA,NA,2000,1998,2003
NCT00005774,2015-06-03,2000-06-01,NA,Interventional,Phase 3,61,Terminated,Early Surfactant to Reduce Use of Mechanical Breathing in Low Birth Weight Infants,2000-05-01T00:00:00Z,2002-07-01T00:00:00Z,2002-07-01T00:00:00Z,FALSE,Randomized,None (Open Label),NETWORK,TRUE,NA,Stanford University,NA,NA,NA,NA,NA,2000,2000,2002
NCT00005775,2015-06-03,2000-06-01,NA,Interventional,Phase 3,1433,Completed,Glutamine Supplementation to Prevent Death or Infection in Extremely Premature Infants,1999-07-01T00:00:00Z,2001-08-01T00:00:00Z,2000-12-01T00:00:00Z,FALSE,Randomized,Quadruple,NETWORK,TRUE,NA,Stanford University,NA,NA,NA,NA,NA,2000,1999,2001
NCT00005776,2017-09-22,2000-06-01,NA,Interventional,Phase 3,235,Terminated,Inhaled Nitric Oxide Study for Respiratory Failure in Newborns,1995-10-01T00:00:00Z,1998-05-01T00:00:00Z,1996-05-01T00:00:00Z,FALSE,Randomized,Quadruple,NETWORK,TRUE,NA,Stanford University,NA,NA,NA,NA,NA,2000,1995,1998
NCT00005777,2015-06-03,2000-06-01,NA,Interventional,Phase 3,220,Terminated,Minimal Breathing Support and Early Steroids to Prevent Chronic Lung Disease in Extremely Premature Infants (SAVE),1998-02-01T00:00:00Z,2002-09-01T00:00:00Z,1998-09-01T00:00:00Z,FALSE,Randomized,Quadruple,NETWORK,TRUE,NA,Stanford University,NA,NA,NA,NA,NA,2000,1998,2002
NCT00006009,2013-05-14,2000-07-05,NA,Interventional,Phase 1,NA,Completed,Monoclonal Antibody Therapy in Treating Patients With Advanced or Recurrent Lymphoma,2001-04-01T00:00:00Z,2003-10-01T00:00:00Z,NA,FALSE,NA,NA,OTHER,FALSE,Stanford University,NA,NA,NA,NA,Stanford University,NA,2000,2001,2003
NCT00006020,2015-03-05,2000-07-05,NA,Interventional,Phase 2,35,Completed,S0010 506U78 in Treating Patients With Recurrent or Refractory Acute Lymphocytic Leukemia,2000-07-01T00:00:00Z,2004-07-01T00:00:00Z,2004-06-01T00:00:00Z,FALSE,Non-Randomized,None (Open Label),NETWORK,TRUE,NA,NA,NA,NA,NA,Stanford University,NA,2000,2000,2004
NCT00006280,2010-03-01,2000-09-11,NA,Interventional,Phase 2,98,Completed,A Study of the Safety and Efficacy of Tobramycin for Inhalation in Young Children With Cystic Fibrosis,2000-02-01T00:00:00Z,2002-02-01T00:00:00Z,NA,FALSE,Randomized,Double,NIH,TRUE,NA,Stanford University/Lucille Packard Children's Health Services at Stanford,NA,NA,NA,NA,NA,2000,2000,2002
NCT00006305,2016-01-12,2000-09-28,2011-01-27,Interventional,Phase 3,2368,Completed,Bypass Angioplasty Revascularization Investigation in Type 2 Diabetes,2000-09-01T00:00:00Z,2009-03-01T00:00:00Z,2008-11-01T00:00:00Z,TRUE,Randomized,None (Open Label),OTHER,TRUE,NA,Stanford University,NA,NA,NA,NA,NA,2000,2000,2009
NCT00006487,2012-10-03,2000-11-06,NA,Interventional,Phase 1,30,Completed,S0004: Combination Chemotherapy Plus Radiation Therapy in Treating Patients With Limited-stage Small Cell Lung Cancer,2000-10-01T00:00:00Z,2004-07-01T00:00:00Z,2004-07-01T00:00:00Z,FALSE,NA,None (Open Label),NETWORK,TRUE,NA,NA,NA,NA,NA,Stanford University,NA,2000,2000,2004
NCT00009620,2019-03-20,2001-02-01,NA,Interventional,Phase 3,610,Completed,Antenatal Phenobarbital to Prevent Neonatal Intracranial Hemorrhage,1993-02-01T00:00:00Z,1997-02-01T00:00:00Z,1995-02-01T00:00:00Z,FALSE,Randomized,Double,NETWORK,TRUE,NA,Stanford University,NA,NA,NA,NA,NA,2001,1993,1997
NCT00009646,2015-06-03,2001-02-01,NA,Interventional,Phase 3,1202,Completed,Trial of Indomethacin Prophylaxis in Preterm Infants (TIPP),1993-11-01T00:00:00Z,2001-03-01T00:00:00Z,1999-03-01T00:00:00Z,FALSE,Randomized,Quadruple,NETWORK,TRUE,NA,Stanford University,NA,NA,NA,NA,NA,2001,1993,2001
NCT00011362,2019-03-20,2001-02-15,NA,Interventional,Phase 3,371,Completed,Dexamethasone Therapy in VLBW Infants at Risk of CLD,1992-09-01T00:00:00Z,1994-04-01T00:00:00Z,1994-01-01T00:00:00Z,FALSE,Randomized,Triple,NETWORK,TRUE,NA,Stanford University,NA,NA,NA,NA,NA,2001,1992,1994
NCT00016523,2017-09-22,2001-05-14,NA,Interventional,Phase 3,420,Terminated,Inhaled Nitric Oxide for Preterm Infants With Severe Respiratory Failure,2001-01-01T00:00:00Z,2006-05-01T00:00:00Z,2003-09-01T00:00:00Z,FALSE,Randomized,Quadruple,NETWORK,TRUE,NA,NA,NA,Stanford University,NA,NA,Stanford University,2001,2001,2006
NCT00022048,2013-05-14,2001-08-10,NA,Interventional,Phase 1/Phase 2,NA,Completed,Bevacizumab in Treating Patients With Myelodysplastic Syndrome,2001-08-01T00:00:00Z,2004-11-01T00:00:00Z,NA,FALSE,NA,NA,OTHER,TRUE,Stanford University,NA,NA,NA,NA,Stanford University,NA,2001,2001,2004
NCT00023530,2016-02-17,2001-09-07,NA,Interventional,Not Applicable,NA,Completed,Blood and Marrow Transplant Clinical Research Network,2001-09-01T00:00:00Z,2006-08-01T00:00:00Z,NA,FALSE,Randomized,Double,NIH,TRUE,NA,NA,Stanford University,NA,NA,NA,NA,2001,2001,2006
NCT00025142,2013-05-14,2001-10-11,NA,Interventional,Phase 2,NA,Completed,Gefitinib and Combination Chemotherapy in Treating Patients With Advanced Solid Tumors or Colorectal Cancer,2001-07-01T00:00:00Z,2006-11-01T00:00:00Z,NA,FALSE,NA,NA,OTHER,FALSE,Stanford University,NA,NA,NA,NA,Stanford University,NA,2001,2001,2006
NCT00026208,2018-06-25,2001-11-09,2018-03-16,Interventional,Phase 2,76,Completed,Combination Chemotherapy Plus Low-Dose Radiation Therapy in Treating Patients With Stage I or Stage IIA Hodgkin's Lymphoma,2001-06-01T00:00:00Z,2017-02-13T00:00:00Z,2013-04-26T00:00:00Z,TRUE,Non-Randomized,None (Open Label),OTHER,TRUE,Stanford University,Stanford University,NA,NA,NA,NA,Stanford University,2001,2001,2017
NCT00029991,2006-08-17,2002-01-29,NA,Interventional,Phase 1/Phase 2,100,Completed,Extract of Ginkgo Biloba (EGB 761) and Vascular Function,2000-09-01T00:00:00Z,2005-07-01T00:00:00Z,NA,FALSE,Randomized,Double,NIH,FALSE,NA,Stanford University,NA,NA,NA,NA,NA,2002,2000,2005
NCT00043589,2013-12-03,2002-08-09,NA,Interventional,Not Applicable,200,Completed,Memory and Mental Health in Aging,2002-06-01T00:00:00Z,2007-12-01T00:00:00Z,2006-12-01T00:00:00Z,FALSE,Randomized,Double,OTHER,FALSE,Stanford University,NA,NA,NA,NA,NA,NA,2002,2002,2007
NCT00050570,2020-03-16,2002-12-16,NA,Interventional,Not Applicable,206,Completed,Reducing Eating Disorder Risk Factors,2001-02-01T00:00:00Z,2012-04-30T00:00:00Z,2012-04-30T00:00:00Z,FALSE,Randomized,None (Open Label),OTHER,FALSE,Stanford University,NA,NA,NA,NA,NA,Stanford University,2002,2001,2012
NCT00051363,2018-11-01,2003-01-09,2016-02-29,Interventional,Phase 3,1105,Completed,Apnea Positive Pressure Long-Term Efficacy Study,2002-09-01T00:00:00Z,2008-09-01T00:00:00Z,2008-08-01T00:00:00Z,TRUE,Randomized,Quadruple,OTHER,TRUE,Stanford University,Stanford University,NA,NA,NA,Stanford University,Stanford University,2003,2002,2008
NCT00055120,2014-10-14,2003-02-19,NA,Interventional,Phase 4,283,Completed,When to Start Anti-HIV Drugs in Patients With Opportunistic Infections,2003-03-01T00:00:00Z,2007-08-01T00:00:00Z,2006-09-01T00:00:00Z,FALSE,Randomized,None (Open Label),NIH,TRUE,NA,NA,NA,NA,NA,"Division of Infectious Diseases, Stanford University",NA,2003,2003,2007
NCT00055783,2013-05-14,2003-03-06,NA,Interventional,Phase 2,NA,Completed,Monoclonal Antibody Therapy in Treating Patients With Recurrent Hodgkin's Lymphoma,2002-07-01T00:00:00Z,2003-04-01T00:00:00Z,NA,FALSE,NA,None (Open Label),OTHER,FALSE,Stanford University,NA,NA,NA,NA,Stanford University,NA,2003,2002,2003
NCT00056511,2006-08-16,2003-03-14,NA,Interventional,Phase 2/Phase 3,220,Completed,Comparing Effects of 3 Sources of Garlic on Cholesterol Levels,2002-05-01T00:00:00Z,2005-04-01T00:00:00Z,NA,FALSE,Randomized,Double,NIH,FALSE,NA,Stanford Center for Research in Disease Prevention,NA,NA,NA,NA,NA,2003,2002,2005
NCT00060762,2014-05-14,2003-05-12,NA,Interventional,Phase 4,205,Completed,Effectiveness of Binge Eating Disorder Treatments,2002-04-01T00:00:00Z,2007-03-01T00:00:00Z,2007-03-01T00:00:00Z,FALSE,Randomized,Single,OTHER,TRUE,Stanford University,NA,NA,Stanford University,NA,NA,NA,2003,2002,2007
NCT00067613,2015-06-03,2003-08-25,NA,Interventional,Not Applicable,4095,Completed,Benchmarking Initiative to Reduce Bronchopulmonary Dysplasia,2001-03-01T00:00:00Z,2004-05-01T00:00:00Z,2004-05-01T00:00:00Z,FALSE,Randomized,None (Open Label),NETWORK,TRUE,NA,Stanford University,NA,NA,NA,NA,NA,2003,2001,2004
NCT00070291,2013-02-12,2003-10-03,2013-01-07,Interventional,Phase 2,4,Terminated,Cyclosporine in Treating Patients With Recurrent or Refractory Angioimmunoblastic T-Cell Lymphoma,2005-09-01T00:00:00Z,2011-05-01T00:00:00Z,2009-03-01T00:00:00Z,TRUE,NA,None (Open Label),NETWORK,TRUE,NA,NA,NA,NA,NA,Stanford University,NA,2003,2005,2011
NCT00071578,2013-06-26,2003-10-29,NA,Interventional,Not Applicable,101,Completed,Comparing Two Group Therapy Treatments for Binge Eating Disorder,2003-10-01T00:00:00Z,2007-07-01T00:00:00Z,2007-07-01T00:00:00Z,FALSE,Randomized,Single,OTHER,FALSE,Stanford University,Stanford University Dept of Psychiatry,NA,NA,NA,NA,Stanford University,2003,2003,2007
NCT00074152,2017-05-23,2003-12-10,2015-04-07,Interventional,Phase 3,162,Completed,Adjuvant Chemotherapy in Treating Women Who Have Undergone Resection for Relapsed Breast Cancer; Chemotherapy as Adjuvant for LOcally Recurrent Breast Cancer,2002-07-01T00:00:00Z,2016-08-22T00:00:00Z,2014-02-01T00:00:00Z,TRUE,Randomized,None (Open Label),NETWORK,TRUE,NA,NA,NA,NA,NA,"Stanford Cancer Center, CA, USA",NA,2003,2002,2016
NCT00074412,2021-11-03,2003-12-11,2013-05-30,Interventional,Phase 3,2026,Completed,Using Nevirapine to Prevent Mother-to-Child HIV Transmission During Breastfeeding,2007-01-01T00:00:00Z,2011-11-01T00:00:00Z,2011-09-01T00:00:00Z,TRUE,Randomized,Double,NIH,TRUE,NA,NA,NA,NA,NA,Stanford University,NA,2003,2007,2011
NCT00074776,2012-07-19,2003-12-19,NA,Interventional,Phase 3,102,Completed,Acute Treatment of Bipolar II Depression,2003-05-01T00:00:00Z,2007-10-01T00:00:00Z,2007-10-01T00:00:00Z,FALSE,Randomized,None (Open Label),OTHER,FALSE,Stanford University,Stanford University,NA,NA,NA,NA,Stanford University,2003,2003,2007
NCT00079573,2006-08-16,2004-03-09,NA,Interventional,Phase 2,300,Completed,Comparison of Popular Weight Loss Diets,2002-07-01T00:00:00Z,2004-06-01T00:00:00Z,NA,FALSE,Randomized,Single,NIH,FALSE,NA,Stanford University,NA,NA,NA,NA,NA,2004,2002,2004
NCT00110825,2017-01-11,2005-05-13,NA,Interventional,Not Applicable,304,Completed,Behavioral Smoking Cessation Treatment - 1,2004-02-01T00:00:00Z,2009-06-01T00:00:00Z,2006-03-01T00:00:00Z,FALSE,Randomized,Single,NIH,FALSE,NA,Stanford University,NA,NA,NA,NA,Stanford University,2005,2004,2009
NCT00114543,2019-03-20,2005-06-15,NA,Interventional,Phase 3,1974,Completed,"Trial of Aggressive Versus Conservative Phototherapy in Infants <1,000 Grams Birth Weight",2002-09-01T00:00:00Z,2007-11-01T00:00:00Z,2005-04-01T00:00:00Z,FALSE,Randomized,Double,NETWORK,TRUE,NA,Stanford University,NA,NA,NA,NA,NA,2005,2002,2007
NCT00120406,2014-07-21,2005-07-11,2014-02-05,Interventional,Not Applicable,474,Completed,Evaluation of the Zilver PTX Drug-Eluting Stent in the Above-the-Knee Femoropopliteal Artery,2005-03-01T00:00:00Z,2014-02-01T00:00:00Z,2009-10-01T00:00:00Z,TRUE,Randomized,None (Open Label),INDUSTRY,TRUE,NA,Stanford University,NA,NA,NA,NA,NA,2005,2005,2014
NCT00120575,2006-12-01,2005-07-11,NA,Interventional,Phase 2/Phase 3,112,Unknown status,Hemofiltration for Respiratory Failure After Bone Marrow Transplantation,2005-01-01T00:00:00Z,2008-09-01T00:00:00Z,NA,FALSE,Randomized,None (Open Label),OTHER,TRUE,Stanford University,Stanford University,NA,NA,NA,NA,NA,2005,2005,2008
NCT00122044,2014-05-21,2005-07-18,NA,Interventional,Phase 2,35,Completed,Childhood Hypertonia of Central Origin: A Trial of Anticholinergic Treatment Effects,2003-01-01T00:00:00Z,2004-12-01T00:00:00Z,2004-12-01T00:00:00Z,FALSE,Non-Randomized,None (Open Label),OTHER,TRUE,NA,Stanford University,NA,NA,NA,NA,NA,2005,2003,2004
NCT00125112,2010-01-15,2005-07-28,NA,Interventional,Phase 1,120,Completed,Internet Weight Control for Bingeing Adolescents,2005-02-01T00:00:00Z,2007-12-01T00:00:00Z,NA,FALSE,Randomized,None (Open Label),NIH,FALSE,NA,Stanford University Department of Psychiatry and Behavioral Sciences,NA,NA,NA,NA,NA,2005,2005,2007
NCT00127751,2005-08-24,2005-08-05,NA,Interventional,Phase 2,150,Completed,Heart Disease on the Mend,2000-05-01T00:00:00Z,2003-05-01T00:00:00Z,NA,FALSE,Randomized,None (Open Label),OTHER,FALSE,Stanford University,Stanford University,NA,NA,NA,NA,NA,2005,2000,2003
NCT00128687,2014-02-07,2005-08-08,NA,Interventional,Not Applicable,419,Completed,Improving Coronary Prevention in a County Health System,2003-04-01T00:00:00Z,2008-03-01T00:00:00Z,2008-03-01T00:00:00Z,FALSE,Randomized,Single,OTHER,TRUE,Stanford University,Stanford University,NA,NA,NA,NA,Stanford University,2005,2003,2008
NCT00131092,2009-12-09,2005-08-08,NA,Interventional,Phase 2,225,Completed,The CHAT (Community Health Advice by Telephone) Study,1999-06-01T00:00:00Z,2003-12-01T00:00:00Z,2003-12-01T00:00:00Z,FALSE,Randomized,Single,NIH,FALSE,NA,Stanford Prevention Research Center,NA,NA,NA,NA,NA,2005,1999,2003
NCT00131105,2008-12-22,2005-08-15,NA,Interventional,Phase 2,200,Completed,The TLC2 (Teaching Healthy Lifestyles to Caregivers 2)/CALM (Counseling Advice for Lifestyle Management) Study,2003-07-01T00:00:00Z,2007-12-01T00:00:00Z,2007-12-01T00:00:00Z,FALSE,Randomized,Single,NIH,FALSE,NA,Stanford Prevention Research Center,NA,NA,NA,NA,NA,2005,2003,2007
NCT00135668,2009-05-26,2005-08-25,NA,Interventional,Phase 2,203,Completed,Dose-Response Study of Sodium Nitroprusside in Children Requiring Controlled Hypotension in the Operating Room,2005-08-01T00:00:00Z,2009-02-01T00:00:00Z,2008-03-01T00:00:00Z,FALSE,Randomized,Quadruple,NIH,FALSE,NA,Stanford University,NA,NA,NA,NA,Stanford University,2005,2005,2009
NCT00136812,2016-04-23,2005-08-25,2016-02-22,Interventional,Phase 2,224,Completed,Treating Tobacco Dependence in Inpatient Psychiatry - 1,2006-07-01T00:00:00Z,2011-04-01T00:00:00Z,2011-04-01T00:00:00Z,TRUE,Randomized,None (Open Label),OTHER,TRUE,Stanford University,NA,NA,NA,NA,NA,Stanford University,2005,2006,2011
NCT00140101,2012-01-06,2005-08-30,NA,Interventional,Phase 2,1099,Completed,Safety and Efficacy of the ZoMaxx™ Drug-Eluting Stent System in Coronary Arteries,2005-05-01T00:00:00Z,2012-01-01T00:00:00Z,2007-09-01T00:00:00Z,FALSE,Randomized,Single,INDUSTRY,TRUE,NA,Stanford University,NA,Stanford University,NA,NA,NA,2005,2005,2012
NCT00141037,2016-10-19,2005-08-01,2013-05-21,Interventional,Phase 1/Phase 2,130,Completed,Steroid-Free Versus Steroid-Based Immunosuppression in Pediatric Renal (Kidney) Transplantation,2004-03-01T00:00:00Z,2010-11-01T00:00:00Z,2006-09-01T00:00:00Z,TRUE,Randomized,None (Open Label),NIH,TRUE,NA,"Pediatric Kidney Transplant Program, Stanford University Medical Center, Stanford Hospital and Clinics",NA,NA,NA,NA,NA,2005,2004,2010
NCT00142675,2014-03-04,2005-09-01,NA,Interventional,Not Applicable,NA,Completed,Using Peers to Promote Exercise in Older Adults,2003-02-01T00:00:00Z,2007-01-01T00:00:00Z,2007-01-01T00:00:00Z,FALSE,Randomized,NA,OTHER,TRUE,Stanford University,NA,NA,NA,NA,NA,NA,2005,2003,2007
NCT00146185,2005-11-15,2005-09-04,NA,Interventional,Phase 3,504,Completed,Efficacy and Safety of ALGRX 3268 in Children Undergoing Minor Needle-Stick Procedures.,2005-02-01T00:00:00Z,2005-07-01T00:00:00Z,NA,FALSE,Randomized,Double,INDUSTRY,FALSE,NA,"Department of Anesthesia, Stanford, CA",NA,NA,NA,NA,NA,2005,2005,2005
NCT00149747,2016-04-25,2005-09-06,2013-06-18,Interventional,Phase 2/Phase 3,66,Completed,The Effectiveness of Regular Exercise on Improving Sleep in Older Adults,1999-08-01T00:00:00Z,2003-09-01T00:00:00Z,2003-09-01T00:00:00Z,TRUE,Randomized,Single,OTHER,FALSE,Stanford University,Stanford University,NA,NA,NA,NA,Stanford University,2005,1999,2003
NCT00149786,2012-04-09,2005-09-06,NA,Interventional,Phase 1,120,Completed,Effectiveness of Family-Based Versus Individual Psychotherapy in Treating Adolescents With Anorexia Nervosa,2004-10-01T00:00:00Z,2009-03-01T00:00:00Z,2008-03-01T00:00:00Z,FALSE,Randomized,None (Open Label),OTHER,FALSE,Stanford University,Stanford University,NA,NA,NA,NA,NA,2005,2004,2009
NCT00149825,2014-05-12,2005-09-06,2009-07-30,Interventional,Phase 2,30,Completed,Combining Antidepressant Medication and Psychotherapy for Insomnia to Improve Depression Outcome,2004-06-01T00:00:00Z,2007-08-01T00:00:00Z,2007-08-01T00:00:00Z,TRUE,Randomized,Triple,OTHER,FALSE,Stanford University,"Stanford University Medical School, Department of Psychiatry and Behavioral Sciences",NA,NA,NA,NA,Stanford University,2005,2004,2007
NCT00152061,2013-06-18,2005-09-08,NA,Interventional,Not Applicable,40,Completed,The Switch Study: The Role of Lamivudine/Emtricitabine (3TC/FTC) in Antiretroviral Regimens,2005-01-01T00:00:00Z,2005-08-01T00:00:00Z,NA,FALSE,Randomized,None (Open Label),OTHER,FALSE,Stanford University,Stanford University,NA,NA,NA,NA,NA,2005,2005,2005
NCT00160329,2011-07-19,2005-09-08,NA,Interventional,Phase 3,60,Completed,Atazanavir or Boosted Atazanavir Substitution for Ritonavir Boosted PI in Patients With Hyperlipidemia,2004-01-01T00:00:00Z,2009-03-01T00:00:00Z,2007-04-01T00:00:00Z,FALSE,Randomized,None (Open Label),OTHER,FALSE,Stanford University,Stanford University,NA,NA,NA,NA,Stanford university,2005,2004,2009
NCT00183443,2018-06-19,2005-09-13,2017-02-28,Interventional,Phase 3,75,Completed,Treatment of Mania Symptoms With Drug Therapy,2005-02-01T00:00:00Z,2010-11-01T00:00:00Z,2010-11-01T00:00:00Z,TRUE,Randomized,Double,OTHER,FALSE,NA,Stanford School of Medicine and VA Palo Alto Health Care System,NA,NA,NA,NA,NA,2005,2005,2010
NCT00183521,2011-11-30,2005-09-13,NA,Interventional,Not Applicable,136,Completed,Breathing Regulation Training for Individuals With Panic Disorder,2005-03-01T00:00:00Z,2008-11-01T00:00:00Z,2008-11-01T00:00:00Z,FALSE,Randomized,None (Open Label),OTHER,FALSE,Stanford University,Stanford University and VA Health Care System,NA,NA,NA,NA,Stanford University,2005,2005,2008
NCT00185549,2006-10-04,2005-09-12,NA,Interventional,Not Applicable,60,Completed,An Interactive Program to Improve Care for Children With CF,2004-03-01T00:00:00Z,2005-09-01T00:00:00Z,NA,FALSE,Randomized,None (Open Label),OTHER,FALSE,Stanford University,Stanford University,NA,NA,NA,NA,NA,2005,2004,2005
