nct_id,last_update_submitted_date,registration_date,summary_results_date,study_type,phase,enrollment,recruitment_status,title,start_date,completion_date,primary_completion_date,has_summary_results,allocation,masking,main_sponsor,is_multicentric,ucsf_lead_sponsor,ucsf_principal_investigator,ucsf_study_chair,ucsf_study_director,ucsf_unspecified_official,ucsf_responsible_party,registration_year,start_year,completion_year
NCT00002651,2017-03-03,1999-11-01,2016-11-15,Interventional,Phase 3,3040,Completed,"SWOG-9346, Hormone Therapy in Treating Men With Stage IV Prostate Cancer",1995-05-01T00:00:00Z,2013-06-01T00:00:00Z,2013-06-01T00:00:00Z,TRUE,Randomized,None (Open Label),NETWORK,TRUE,NA,NA,"University of California, San Francisco",NA,NA,NA,1999,1995,2013
NCT00002723,2013-02-27,1999-11-01,NA,Interventional,Phase 3,390,Completed,"Low, Intermediate, or High Dose Suramin in Treating Patients With Hormone-Refractory Prostate Cancer",1996-01-01T00:00:00Z,2008-03-01T00:00:00Z,2002-08-01T00:00:00Z,FALSE,Randomized,None (Open Label),NIH,TRUE,NA,NA,"University of California, San Francisco",NA,NA,NA,1999,1996,2008
NCT00002760,2016-06-27,1999-11-01,NA,Interventional,Phase 3,260,Completed,Antiandrogen Withdrawal in Treating Patients With Hormone-Refractory Prostate Cancer,1996-08-01T00:00:00Z,2009-04-01T00:00:00Z,2004-03-01T00:00:00Z,FALSE,Randomized,None (Open Label),OTHER,TRUE,NA,NA,"University of California, San Francisco",NA,NA,NA,1999,1996,2009
NCT00002768,2016-06-27,1999-11-01,NA,Interventional,Phase 2,51,Completed,Chemotherapy Plus Peripheral Stem Cell Transplantation in Treating Patients With Acute Myeloid Leukemia in Second Remission,1996-06-01T00:00:00Z,2009-03-01T00:00:00Z,2003-02-01T00:00:00Z,FALSE,NA,None (Open Label),OTHER,TRUE,NA,NA,"University of California, San Francisco",NA,NA,NA,1999,1996,2009
NCT00002971,2018-06-25,1999-11-01,NA,Interventional,Phase 1,NA,Completed,O(6)-Benzylguanine in Treating Patients With Malignant Glioma,1997-06-19T00:00:00Z,2009-01-01T00:00:00Z,2003-02-20T00:00:00Z,FALSE,NA,NA,OTHER,TRUE,NA,NA,UCSF Medical Center at Parnassus,NA,NA,NA,1999,1997,2009
NCT00003072,2012-09-19,1999-11-01,NA,Interventional,Phase 2,80,Completed,Combination Chemotherapy in Treating Patients With Metastatic Ovarian Cancer or Non-small Cell Lung Cancer,1997-05-01T00:00:00Z,1998-10-01T00:00:00Z,1998-10-01T00:00:00Z,FALSE,NA,NA,OTHER,TRUE,"University of California, San Francisco",NA,"University of California, San Francisco",NA,NA,NA,1999,1997,1998
NCT00003176,2018-06-25,1999-11-01,NA,Interventional,Phase 2,82,Completed,Temozolomide and Carmustine in Treating Patients With Anaplastic Glioma,1998-03-25T00:00:00Z,2004-01-06T00:00:00Z,2001-12-03T00:00:00Z,FALSE,NA,NA,OTHER,TRUE,NA,NA,UCSF Medical Center at Parnassus,NA,NA,NA,1999,1998,2004
NCT00003368,2013-03-19,1999-11-01,NA,Interventional,Phase 1,NA,Completed,Irinotecan in Treating Patients With Solid Tumors or Lymphoma Who Have Abnormal Liver or Kidney Function or Who Have Received Radiation Therapy to the Pelvis,1998-06-01T00:00:00Z,2006-07-01T00:00:00Z,NA,FALSE,NA,NA,NIH,TRUE,NA,NA,"University of California, San Francisco",NA,NA,NA,1999,1998,2006
NCT00003546,2016-07-19,1999-11-01,NA,Interventional,Phase 2,43,Completed,Gemcitabine Plus Radiation Therapy in Treating Patients With Pancreatic Cancer,1998-09-01T00:00:00Z,2006-01-01T00:00:00Z,2003-12-01T00:00:00Z,FALSE,NA,None (Open Label),OTHER,TRUE,NA,NA,"University of California, San Francisco",NA,NA,NA,1999,1998,2006
NCT00003575,2013-02-07,1999-11-01,NA,Interventional,Phase 2,40,Completed,Interleukin-12 Following Chemotherapy in Treating Patients With Refractory HIV-Associated Non-Hodgkin's Lymphoma,1999-01-01T00:00:00Z,NA,2002-04-01T00:00:00Z,FALSE,NA,None (Open Label),NIH,TRUE,NA,NA,"University of California, San Francisco",NA,NA,NA,1999,1999,NA
NCT00003595,2013-02-07,1999-11-01,NA,Interventional,Phase 3,120,Completed,Combination Chemotherapy With or Without Monoclonal Antibody Therapy in Treating Patients With Previously Untreated HIV-Associated Non-Hodgkin's Lymphoma,1999-01-01T00:00:00Z,NA,2006-04-01T00:00:00Z,FALSE,Randomized,None (Open Label),NIH,TRUE,NA,NA,"University of California, San Francisco",NA,NA,NA,1999,1999,NA
NCT00003616,2018-06-25,1999-11-01,NA,Interventional,Phase 1/Phase 2,NA,Completed,Irinotecan in Treating Patients With Progressive or Recurrent Malignant Glioma,1998-10-22T00:00:00Z,2005-12-20T00:00:00Z,2002-05-17T00:00:00Z,FALSE,NA,NA,OTHER,TRUE,NA,NA,UCSF Medical Center at Parnassus,NA,NA,NA,1999,1998,2005
NCT00003725,2013-11-05,1999-11-01,NA,Interventional,Phase 3,300,Unknown status,Surgery With or Without Chemotherapy in Treating Patients With Newly Diagnosed or Recurrent Bladder Cancer,1996-12-01T00:00:00Z,NA,NA,FALSE,Randomized,NA,INDUSTRY,TRUE,NA,NA,"University of California, San Francisco",NA,NA,NA,1999,1996,NA
NCT00004001,2014-02-21,1999-11-01,NA,Interventional,Phase 3,770,Completed,"S9916, Combination Therapy in Treating Patients With Advanced Prostate Cancer That Has Not Responded to Hormone Therapy",1999-10-01T00:00:00Z,2007-01-01T00:00:00Z,2006-07-01T00:00:00Z,FALSE,Randomized,None (Open Label),NETWORK,TRUE,NA,NA,"University of California, San Francisco",NA,NA,NA,1999,1999,2007
NCT00004259,2019-08-28,2000-01-28,2017-05-25,Interventional,Phase 3,230,Completed,Radiation Therapy Combined With Chemotherapy in Treating Patients With Anaplastic Astrocytoma or Mixed Gliomas,2000-06-01T00:00:00Z,2018-05-14T00:00:00Z,2015-02-01T00:00:00Z,TRUE,Randomized,None (Open Label),NETWORK,TRUE,NA,NA,"University of California, San Francisco",NA,NA,NA,2000,2000,2018
NCT00004297,2005-06-23,1999-10-18,NA,Interventional,Phase 3,210,Completed,Phase III Randomized Study of Diazepam Vs Lorazepam Vs Placebo for Prehospital Treatment of Status Epilepticus,1995-11-01T00:00:00Z,1999-02-01T00:00:00Z,NA,FALSE,Randomized,Double,NIH,TRUE,NA,NA,"University of California, San Francisco",NA,NA,NA,1999,1995,1999
NCT00004978,2021-11-02,2000-03-10,2011-01-20,Interventional,Phase 3,4150,Completed,An International Study to Evaluate Recombinant Interleukin-2 in HIV Positive Patients Taking Anti-retroviral Therapy,2000-03-01T00:00:00Z,2008-11-01T00:00:00Z,2008-11-01T00:00:00Z,TRUE,Randomized,None (Open Label),NIH,TRUE,NA,NA,"University of California, San Francisco",NA,NA,NA,2000,2000,2008
NCT00005005,2013-02-04,2000-03-24,NA,Interventional,Phase 2,238,Completed,PaTH Study: Parathyroid Hormone and Alendronate for Osteoporosis,1999-10-01T00:00:00Z,2007-11-01T00:00:00Z,2007-11-01T00:00:00Z,FALSE,Randomized,Double,OTHER,TRUE,NA,"University of California, San Francisco",NA,NA,NA,"University of California, San Francisco",2000,1999,2007
NCT00005509,2016-03-15,2000-05-25,NA,Observational,NA,NA,Completed,Cardiovascular Risk Factors in a Cohort of Latina Women,1998-04-01T00:00:00Z,2002-03-01T00:00:00Z,NA,FALSE,NA,NA,NIH,TRUE,NA,NA,NA,NA,"University of California, San Francisco",NA,2000,1998,2002
NCT00005947,2010-10-08,2000-07-05,2010-05-28,Interventional,Phase 3,127,Completed,Vaccine Therapy in Treating Patients With Metastatic Prostate Cancer That Has Not Responded to Hormone Therapy,1999-11-01T00:00:00Z,2004-09-01T00:00:00Z,2004-09-01T00:00:00Z,TRUE,Randomized,Quadruple,INDUSTRY,TRUE,NA,NA,"University of California, San Francisco",NA,NA,NA,2000,1999,2004
NCT00005978,2010-10-14,2000-07-05,NA,Interventional,Phase 1,NA,Completed,"N99-01: Combination Chemotherapy, Radiation Therapy, and Stem Cell Transplantation in Treating Patients With Neuroblastoma",2000-05-01T00:00:00Z,NA,2004-12-01T00:00:00Z,FALSE,NA,NA,OTHER,TRUE,NA,NA,NA,NA,NA,UCSF,2000,2000,NA
NCT00006130,2017-02-14,2000-08-03,NA,Interventional,Not Applicable,50,Completed,Decompression Coring Versus Conservative Therapy in Patients With Avascular Necrosis of the Hip Related to Sickle Cell Disease,1999-06-01T00:00:00Z,NA,NA,FALSE,Randomized,NA,OTHER,TRUE,UCSF Benioff Children's Hospital Oakland,NA,UCSF Benioff Children's Hospital Oakland,NA,NA,NA,2000,1999,NA
NCT00006145,2021-10-28,2000-08-07,NA,Interventional,Phase 3,350,Completed,Preventing Cytomegalovirus (CMV) Organ Damage With Valganciclovir in People With HIV,2000-08-01T00:00:00Z,2006-02-01T00:00:00Z,NA,FALSE,NA,Double,NIH,TRUE,NA,NA,"University of California, San Francisco and San Francisco General Hospital",NA,NA,NA,2000,2000,2006
NCT00006222,2013-05-31,2000-09-11,NA,Interventional,Phase 1,30,Terminated,EMD 121974 in Treating Patients With HIV-Related Kaposi's Sarcoma,2000-09-01T00:00:00Z,2001-03-01T00:00:00Z,2001-03-01T00:00:00Z,FALSE,NA,None (Open Label),NIH,TRUE,NA,NA,"University of California, San Francisco",NA,NA,NA,2000,2000,2001
NCT00006513,2016-03-15,2000-11-20,NA,Observational,NA,NA,Completed,Assessing the Occupation Burden in COPD,2000-09-01T00:00:00Z,2004-08-01T00:00:00Z,NA,FALSE,NA,NA,NIH,TRUE,NA,NA,NA,NA,"University of California, San Francisco",NA,2000,2000,2004
NCT00011128,2015-05-15,2001-02-10,NA,Interventional,Phase 3,0,Withdrawn,"Salvage Treatment, Resistance Testing, and Withdrawal of Anti-HIV Drugs for HIV Patients Failing Current Anti-HIV Treatment",NA,NA,NA,FALSE,Randomized,None (Open Label),NIH,TRUE,NA,NA,"University of California, San Francisco",NA,NA,NA,2001,NA,NA
NCT00020943,2016-07-15,2001-07-11,NA,Interventional,Phase 2,79,Completed,Chemotherapy and Rituximab With Peripheral Stem Cell Transplantation in Treating Patients With Mantle Cell Lymphoma,2001-06-01T00:00:00Z,2009-09-01T00:00:00Z,2006-12-01T00:00:00Z,FALSE,Non-Randomized,None (Open Label),OTHER,TRUE,NA,NA,"University of California, San Francisco",NA,NA,NA,2001,2001,2009
NCT00022724,2018-06-22,2001-08-10,NA,Interventional,Phase 1/Phase 2,49,Completed,CCI-779 in Treating Patients With Malignant Glioma,2001-08-27T00:00:00Z,2007-12-15T00:00:00Z,2006-05-04T00:00:00Z,FALSE,Non-Randomized,NA,OTHER,TRUE,NA,NA,"University of California, San Francisco",NA,NA,NA,2001,2001,2007
NCT00023621,2013-06-25,2001-09-13,NA,Interventional,Phase 2,60,Completed,Celecoxib in Preventing Basal Cell Carcinoma in Patients With Basal Cell Nevus Syndrome,2001-02-01T00:00:00Z,2007-07-01T00:00:00Z,NA,FALSE,Randomized,Double,OTHER,TRUE,"University of California, San Francisco",NA,"University of California, San Francisco",NA,NA,NA,2001,2001,2007
NCT00025532,2012-09-13,2001-10-11,NA,Interventional,Phase 1,0,Withdrawn,Radiolabeled Monoclonal Antibody Therapy in Treating Patients With Gastrointestinal Cancer,2001-04-01T00:00:00Z,NA,NA,FALSE,NA,NA,OTHER,FALSE,"University of California, San Francisco",NA,"University of California, San Francisco",NA,NA,NA,2001,2001,NA
NCT00027573,2016-07-12,2001-12-07,NA,Interventional,Phase 2,36,Completed,Chemotherapy Followed by Peripheral Stem Cell Transplantation in Treating Patients With Metastatic or Unresectable Kidney Cancer,2001-10-01T00:00:00Z,2006-06-01T00:00:00Z,2006-06-01T00:00:00Z,FALSE,NA,None (Open Label),OTHER,TRUE,NA,NA,"University of California, San Francisco",NA,NA,NA,2001,2001,2006
NCT00027599,2013-02-08,2001-12-07,NA,Interventional,Phase 2,25,Completed,APC8015 and Bevacizumab in Treating Patients With Prostate Cancer,2001-12-01T00:00:00Z,NA,2007-07-01T00:00:00Z,FALSE,NA,None (Open Label),NIH,FALSE,NA,NA,"University of California, San Francisco",NA,NA,NA,2001,2001,NA
NCT00027625,2018-06-25,2001-12-07,NA,Interventional,Phase 1,NA,Completed,Gefitinib Plus Temozolomide in Treating Patients With Malignant Primary Glioma,2002-01-28T00:00:00Z,2005-11-01T00:00:00Z,2005-03-17T00:00:00Z,FALSE,NA,NA,OTHER,TRUE,NA,NA,UCSF Medical Center at Parnassus,NA,NA,NA,2001,2002,2005
NCT00028964,2011-02-20,2002-01-04,NA,Interventional,Phase 1/Phase 2,NA,Completed,Combination Chemotherapy After Surgery With or Without Chinese Herbal Therapy to Treat Symptoms in Women With Breast Cancer,2001-02-01T00:00:00Z,2005-02-01T00:00:00Z,NA,FALSE,Randomized,Double,OTHER,FALSE,"University of California, San Francisco",NA,"University of California, San Francisco",NA,NA,NA,2002,2001,2005
NCT00028977,2012-09-13,2002-01-04,NA,Interventional,Phase 1/Phase 2,21,Completed,Herbal Therapy in Treating Women With Metastatic Breast Cancer,2001-08-01T00:00:00Z,2006-04-01T00:00:00Z,2006-04-01T00:00:00Z,FALSE,NA,None (Open Label),OTHER,TRUE,"University of California, San Francisco",NA,"University of California, San Francisco",NA,NA,NA,2002,2001,2006
NCT00029380,2016-07-28,2002-01-10,NA,Interventional,Phase 2,30,Completed,Cord Blood Transplantation for Sickle Cell Anemia and Thalassemia,1999-01-01T00:00:00Z,2006-08-01T00:00:00Z,2006-08-01T00:00:00Z,FALSE,NA,NA,NIH,TRUE,NA,NA,UCSF Benioff Children's Hospital Oakland,NA,NA,NA,2002,1999,2006
NCT00029393,2016-07-28,2002-01-10,NA,Interventional,Phase 2,NA,Completed,Induction of Stable Chimerism for Sickle Cell Anemia,2001-08-01T00:00:00Z,2007-07-01T00:00:00Z,2007-07-01T00:00:00Z,FALSE,NA,None (Open Label),NIH,TRUE,NA,NA,NA,NA,UCSF Benioff Children's Hospital Oakland,NA,2002,2001,2007
NCT00029731,2015-03-24,2002-01-21,NA,Interventional,Phase 2,30,Completed,Arginine Treatment of Acute Chest Syndrome (Pneumonia) in Sickle Cell Disease Patients,2001-08-01T00:00:00Z,2005-07-01T00:00:00Z,NA,FALSE,Non-Randomized,NA,OTHER,FALSE,UCSF Benioff Children's Hospital Oakland,NA,NA,NA,NA,NA,2002,2001,2005
NCT00030888,2014-01-03,2002-02-14,NA,Interventional,Phase 2,NA,Unknown status,UCN-01 in Treating Patients With Advanced or Metastatic Kidney Cancer,2002-12-01T00:00:00Z,NA,NA,FALSE,NA,NA,OTHER,TRUE,"University of California, San Francisco",NA,"University of California, San Francisco",NA,NA,NA,2002,2002,NA
NCT00033163,2021-10-28,2002-04-08,NA,Interventional,Phase 2,90,Completed,A Comparison of Adefovir and Tenofovir for the Treatment of Lamivudine-Resistant Hepatitis B Virus in People With HIV,NA,2005-05-01T00:00:00Z,NA,FALSE,Randomized,NA,NIH,TRUE,NA,NA,"University of California, San Francisco",NA,NA,NA,2002,NA,2005
NCT00033397,2017-07-11,2002-04-09,NA,Observational,NA,360,Completed,Diagnostic Procedures in Women With Locally Advanced Breast Cancer Who Are Receiving Chemotherapy Before Breast Cancer Surgery,2002-02-01T00:00:00Z,2012-05-01T00:00:00Z,2012-05-01T00:00:00Z,FALSE,NA,NA,OTHER,TRUE,NA,NA,"University of California, San Francisco",NA,NA,NA,2002,2002,2012
NCT00037154,2010-01-12,2002-05-16,NA,Interventional,Phase 3,224,Completed,Saw Palmetto Extract in Benign Prostatic Hyperplasia,1999-08-01T00:00:00Z,2002-12-01T00:00:00Z,NA,FALSE,Randomized,Double,NIH,TRUE,NA,"Northern California Kaiser Permanente; University of California, San Francisco; San Francisco Veterans Affairs Medical Center",NA,"University of California, San Francisco; San Francisco Veterans Affairs Medical Center",NA,NA,2002,1999,2002
NCT00037388,2016-07-28,2002-05-16,NA,Observational,NA,NA,Completed,"Pediatrics:Chlamydia, Sickle Cell Anemia and Stroke Risk - Ancillary to STOP II",2004-07-01T00:00:00Z,2006-06-01T00:00:00Z,2006-06-01T00:00:00Z,FALSE,NA,NA,NIH,TRUE,NA,NA,NA,NA,UCSF Benioff Children's Hospital Oakland,NA,2002,2004,2006
NCT00039793,2006-08-17,2002-06-11,NA,Interventional,Phase 2,45,Completed,Massage Therapy for Cancer-Related Fatigue,2001-03-01T00:00:00Z,2004-03-01T00:00:00Z,NA,FALSE,Randomized,None (Open Label),NIH,FALSE,NA,"Osher Center for Integrative Medicine, University of California, San Francisco",NA,NA,"Osher Center for Integrative Medicine, University of California, San Francisco",NA,2002,2001,2004
NCT00043017,2013-10-07,2002-08-05,NA,Interventional,Phase 2,356,Completed,Magnetic Resonance Imaging in Women Receiving Chemotherapy for Stage III Breast Cancer,2002-05-01T00:00:00Z,2011-03-01T00:00:00Z,2005-05-01T00:00:00Z,FALSE,NA,None (Open Label),NETWORK,TRUE,NA,NA,"University of California, San Francisco",NA,NA,NA,2002,2002,2011
NCT00046709,2013-10-09,2002-10-01,NA,Interventional,Phase 1/Phase 2,16,Terminated,Marijuana for Cancer Pain,2002-09-01T00:00:00Z,2004-10-01T00:00:00Z,NA,FALSE,Non-Randomized,None (Open Label),OTHER,FALSE,NA,UCSF Community Consortium,NA,NA,NA,NA,2002,2002,2004
NCT00046722,2007-06-12,2002-10-01,NA,Interventional,Phase 1/Phase 2,50,Completed,Marijuana for HIV-Related Peripheral Neuropathy,2003-01-01T00:00:00Z,2005-04-01T00:00:00Z,NA,FALSE,Randomized,Double,OTHER,FALSE,NA,UCSF Community Consortium,NA,NA,NA,NA,2002,2003,2005
NCT00046865,2018-11-12,2002-10-03,NA,Interventional,Phase 3,57,Completed,Acupressure in Treating Nausea in Women Receiving Combination Chemotherapy for Breast Cancer,2002-07-01T00:00:00Z,2006-03-23T00:00:00Z,2006-03-23T00:00:00Z,FALSE,Randomized,None (Open Label),OTHER,TRUE,NA,"University of California, San Francisco",NA,NA,NA,NA,2002,2002,2006
NCT00051792,2006-08-16,2003-01-16,NA,Interventional,Phase 1/Phase 2,36,Completed,Yoga for Treating Shortness of Breath in Chronic Obstructive Pulmonary Disease (COPD),2003-01-01T00:00:00Z,2004-07-01T00:00:00Z,NA,FALSE,Randomized,None (Open Label),NIH,FALSE,NA,"University of California, San Francisco",NA,NA,NA,NA,2003,2003,2004
NCT00052715,2018-06-22,2003-01-24,2017-01-26,Interventional,Phase 2,31,Terminated,Biological Therapy and Radiation Therapy in Treating Patients With Newly Diagnosed Glioblastoma Multiforme,2002-10-23T00:00:00Z,2009-01-01T00:00:00Z,2006-02-25T00:00:00Z,TRUE,NA,None (Open Label),OTHER,FALSE,NA,"University of California, San Francisco",NA,NA,NA,NA,2003,2002,2009
NCT00052897,2013-02-08,2003-01-24,NA,Interventional,Phase 1/Phase 2,18,Completed,SGN-00101 in Preventing Anal Cancer in Patients With HIV Who Have Anal Neoplasia,2002-12-01T00:00:00Z,NA,2005-07-01T00:00:00Z,FALSE,NA,None (Open Label),NIH,FALSE,NA,NA,"University of California, San Francisco",NA,NA,NA,2003,2002,NA
NCT00052923,2009-02-06,2003-01-24,NA,Interventional,Phase 3,427,Completed,Stem Cell Transplantation With or Without Rituximab in Treating Patients With Relapsed or Progressive B-Cell Diffuse Large Cell Lymphoma,2003-03-01T00:00:00Z,NA,2006-06-01T00:00:00Z,FALSE,Randomized,NA,NETWORK,TRUE,NA,NA,"University of California, San Francisco",NA,NA,NA,2003,2003,NA
NCT00053040,2010-09-23,2003-01-27,NA,Interventional,Phase 1/Phase 2,0,Withdrawn,Immunotoxin Therapy in Treating Children With Recurrent Malignant Gliomas,2005-10-01T00:00:00Z,NA,NA,FALSE,NA,None (Open Label),NETWORK,TRUE,NA,NA,"University of California, San Francisco",NA,NA,NA,2003,2005,NA
NCT00053885,2016-06-30,2003-02-05,NA,Interventional,Phase 2,47,Completed,PTK787/ZK 222584 in Treating Patients With Unresectable Malignant Mesothelioma,2003-07-01T00:00:00Z,2006-06-01T00:00:00Z,2005-07-01T00:00:00Z,FALSE,NA,None (Open Label),OTHER,TRUE,NA,NA,"University of California, San Francisco",NA,NA,NA,2003,2003,2006
NCT00058084,2017-02-21,2003-04-07,NA,Interventional,Phase 2,80,Completed,Ixabepilone Compared With Mitoxantrone and Prednisone in Treating Patients With Refractory Metastatic Prostate Cancer,2003-03-01T00:00:00Z,NA,2007-10-01T00:00:00Z,FALSE,Randomized,None (Open Label),NIH,FALSE,NA,"University of California, San Francisco",NA,NA,NA,NA,2003,2003,NA
NCT00058123,2018-07-24,2003-04-07,2016-10-14,Interventional,Phase 2,55,Completed,Poly-ICLC in Treating Patients With Recurrent or Progressive Anaplastic Glioma,2003-03-07T00:00:00Z,2009-01-02T00:00:00Z,2007-10-06T00:00:00Z,TRUE,NA,None (Open Label),OTHER,TRUE,NA,NA,"University of California, San Francisco",NA,NA,NA,2003,2003,2009
NCT00062634,2005-06-23,2003-06-09,NA,Interventional,Not Applicable,400,Unknown status,Education Program to Promote Female Condom Use,2003-06-01T00:00:00Z,2005-08-01T00:00:00Z,NA,FALSE,Randomized,Single,NIH,FALSE,NA,"University of California, San Francisco",NA,NA,NA,NA,2003,2003,2005
NCT00064129,2020-07-29,2003-07-08,NA,Interventional,Phase 1,42,Completed,Ipilimumab and Sargramostim in Treating Patients With Metastatic Prostate Cancer,2003-05-13T00:00:00Z,2012-10-01T00:00:00Z,2011-01-10T00:00:00Z,FALSE,NA,None (Open Label),NIH,FALSE,NA,UCSF Medical Center-Mount Zion,NA,NA,NA,NA,2003,2003,2012
NCT00065637,2013-02-04,2003-07-29,NA,Interventional,Phase 3,50,Completed,Once Weekly Parathyroid Hormone for Osteoporosis,2003-12-01T00:00:00Z,2005-09-01T00:00:00Z,2005-09-01T00:00:00Z,FALSE,Randomized,Double,OTHER,FALSE,"University of California, San Francisco",NA,NA,NA,NA,NA,2003,2003,2005
NCT00066950,2014-04-30,2003-08-07,NA,Interventional,Phase 3,361,Completed,Prevention Management Model for Early Childhood Caries (MAYA Project),2003-03-01T00:00:00Z,2005-08-01T00:00:00Z,2005-07-01T00:00:00Z,FALSE,Randomized,Double,OTHER,FALSE,"University of California, San Francisco","University of California, San Francisco",NA,NA,NA,"University of California, San Francisco",2003,2003,2005
NCT00066963,2014-04-30,2003-08-07,2011-04-05,Interventional,Phase 3,376,Completed,Fluoride Varnish Randomized Clinical Trial,2002-10-01T00:00:00Z,2006-12-01T00:00:00Z,2006-11-01T00:00:00Z,TRUE,Randomized,Double,OTHER,FALSE,"University of California, San Francisco","University of California, San Francisco (now Univ North Carolina)",NA,"University of California, San Francisco (now Univ Calif Los Angeles)",NA,"University of California, San Francisco",2003,2002,2006
NCT00069368,2014-09-25,2003-09-24,NA,Observational,NA,2161,Completed,ORWH:SCOR on Sex and Gender Factors Affecting Women's Incontinence,2003-07-01T00:00:00Z,2009-08-01T00:00:00Z,2009-08-01T00:00:00Z,FALSE,NA,NA,NIH,FALSE,NA,"University of California, San Francisco",NA,NA,NA,NA,2003,2003,2009
NCT00069524,2007-09-25,2003-09-29,NA,Interventional,Phase 1/Phase 2,20,Completed,Antihyperlipidemic Effects of Oyster Mushrooms,2004-06-01T00:00:00Z,2006-05-01T00:00:00Z,NA,FALSE,Non-Randomized,None (Open Label),NIH,FALSE,NA,"University of California, San Francisco",NA,NA,NA,NA,2003,2004,2006
NCT00070681,2016-07-28,2003-10-06,NA,Observational,NA,NA,Completed,Outcomes of Sleep Disorders in Older Men,2003-09-01T00:00:00Z,2007-06-01T00:00:00Z,2007-06-01T00:00:00Z,FALSE,NA,NA,NIH,TRUE,NA,NA,NA,NA,"University of California, San Francisco",NA,2003,2003,2007
