nct_id,last_update_submitted_date,registration_date,summary_results_date,study_type,phase,enrollment,recruitment_status,title,start_date,completion_date,primary_completion_date,has_summary_results,allocation,masking,main_sponsor,is_multicentric,ucsf_principal_investigator,ucsf_study_chair,ucsf_study_director,ucsf_unspecified_official,registration_year,start_year,completion_year,primary_completion_year
NCT01009918,2021-03-29,2009-11-06,2021-01-12,Interventional,Phase 2,468,Completed,Lisinopril or Coreg CR® in Reducing Side Effects in Women With Breast Cancer Receiving Trastuzumab,2010-03-01T00:00:00Z,2018-11-01T00:00:00Z,2017-08-01T00:00:00Z,TRUE,Randomized,Double,OTHER,TRUE,NA,"University of California, San Francisco",NA,NA,2009,2010,2018,2017
NCT01010386,2017-05-05,2009-11-06,NA,Interventional,Phase 3,851,Completed,The Effects of Physiologic Oxygen Tension on Clinical In Vitro Fertilization Outcomes,2010-03-01T00:00:00Z,2014-02-01T00:00:00Z,2014-02-01T00:00:00Z,FALSE,Randomized,Quadruple,OTHER,TRUE,NA,NA,"University of California, San Francisco",NA,2009,2010,2014,2014
NCT01012713,2015-06-16,2009-11-10,2015-05-28,Interventional,Phase 4,30,Completed,"Safety and Efficacy Study of Combination Treatment With Excimer Laser, Clobex Spray, and Vectical Ointment in the Treatment of Psoriasis",2010-06-01T00:00:00Z,2014-12-01T00:00:00Z,2014-12-01T00:00:00Z,TRUE,Non-Randomized,None (Open Label),OTHER,FALSE,UCSF Department of Dermatology,NA,UCSF Department of Dermatology,NA,2009,2010,2014,2014
NCT01019850,2015-12-11,2009-11-24,NA,Interventional,Phase 1,27,Completed,N2007-03: Vorinostat and 131-I MIBG in Treating Patients With Resistant or Relapsed Neuroblastoma,2010-03-01T00:00:00Z,2015-02-01T00:00:00Z,2014-12-01T00:00:00Z,FALSE,NA,None (Open Label),OTHER,TRUE,UCSF Medical Center at Parnassus,NA,NA,NA,2009,2010,2015,2014
NCT01036009,2016-05-18,2009-12-17,2014-10-21,Interventional,Phase 2,43,Completed,A Study of Withdrawal of Immunosuppression and Donor Lymphocyte Infusions Following Allogeneic Transplant for Pediatric Hematologic Malignancies,2009-10-01T00:00:00Z,2015-07-01T00:00:00Z,2014-07-01T00:00:00Z,TRUE,Non-Randomized,None (Open Label),OTHER,TRUE,"University of California, San Francisco",NA,NA,NA,2009,2009,2015,2014
NCT01062009,2019-08-19,2010-02-02,2016-08-16,Interventional,Phase 1/Phase 2,24,Completed,Safety and Dose Escalation Study of Zinc Supplementation in Critically Ill Children,2008-11-01T00:00:00Z,2014-11-01T00:00:00Z,2014-10-01T00:00:00Z,TRUE,Non-Randomized,None (Open Label),OTHER,FALSE,UCSF Benioff Children's Hospital Oakland,NA,NA,NA,2010,2008,2014,2014
NCT01083628,2019-07-02,2010-02-19,2018-12-21,Interventional,Not Applicable,85,Completed,Text Messaging and Cognitive Behavioral Therapy for Depression,2014-01-01T00:00:00Z,2017-04-01T00:00:00Z,2016-09-01T00:00:00Z,TRUE,Non-Randomized,None (Open Label),OTHER,FALSE,"University of California, San Francisco",NA,NA,NA,2010,2014,2017,2016
NCT01116661,2019-05-07,2010-05-03,2018-12-27,Interventional,Phase 2,199,Terminated,Safety Study of Aminolevulinic Acid (ALA) to Enhance Visualization and Resection of Tumors of the Brain,2010-08-01T00:00:00Z,2019-02-28T00:00:00Z,2017-12-28T00:00:00Z,TRUE,NA,None (Open Label),OTHER,FALSE,UCSF Department of Neurosurgery,NA,NA,NA,2010,2010,2019,2017
NCT01129440,2020-02-20,2010-05-21,2020-02-10,Interventional,Phase 2,597,Completed,Glass Ionomer Sealant and Fluoride Varnish Study to Prevent Early Childhood Caries,2011-06-01T00:00:00Z,2016-03-01T00:00:00Z,2016-03-01T00:00:00Z,TRUE,Randomized,Single,OTHER,FALSE,"University of California, San Francisco",NA,NA,NA,2010,2011,2016,2016
NCT01156584,2018-05-16,2010-07-01,NA,Interventional,Phase 1,54,Completed,A Study of a Retroviral Replicating Vector Combined With a Prodrug Administered to Patients With Recurrent Malignant Glioma,2010-07-01T00:00:00Z,2016-08-18T00:00:00Z,2016-08-18T00:00:00Z,FALSE,NA,None (Open Label),INDUSTRY,TRUE,"University of California, San Francisco",NA,NA,NA,2010,2010,2016,2016
NCT01162239,2020-10-19,2010-06-14,2020-10-19,Interventional,Phase 3,216,Completed,Maintaining Nonsmoking,2010-05-01T00:00:00Z,2016-06-01T00:00:00Z,2016-06-01T00:00:00Z,TRUE,Randomized,None (Open Label),OTHER,FALSE,"University of California, San Francisco",NA,NA,NA,2010,2010,2016,2016
NCT01164163,2014-10-22,2010-07-15,NA,Interventional,Phase 1,49,Completed,"INCB18424 in Treating Young Patients With Relapsed or Refractory Solid Tumor, Leukemia, or Myeloproliferative Disease",2010-09-01T00:00:00Z,NA,2014-10-01T00:00:00Z,FALSE,NA,None (Open Label),NETWORK,TRUE,"University of California, San Francisco",NA,NA,NA,2010,2010,NA,2014
NCT01165450,2015-04-20,2010-07-15,2015-04-07,Interventional,Phase 2,2,Terminated,Efficacy and Safety Study of Nexagon for Persistent Corneal Epithelial Defects,2011-11-01T00:00:00Z,2014-02-01T00:00:00Z,2014-02-01T00:00:00Z,TRUE,Randomized,Triple,OTHER,TRUE,"University of California, San Francisco",NA,NA,NA,2010,2011,2014,2014
NCT01176396,2020-04-08,2010-08-04,NA,Interventional,Not Applicable,460,Completed,CAMBRA - PBRN Caries Management By Risk Assessment In A Practice-Based Research Network,2012-04-01T00:00:00Z,2017-05-01T00:00:00Z,2017-01-01T00:00:00Z,FALSE,Randomized,Double,OTHER,FALSE,"University of California, San Francisco, School of Dentistry",NA,NA,NA,2010,2012,2017,2017
NCT01200043,2018-05-07,2010-09-09,NA,Interventional,Not Applicable,54,Completed,Metabolic Impact of Fructose Restriction in Obese Children,2010-07-01T00:00:00Z,2014-12-01T00:00:00Z,2014-12-01T00:00:00Z,FALSE,NA,None (Open Label),OTHER,FALSE,"University of California, San Francisco",NA,NA,NA,2010,2010,2014,2014
NCT01209325,2020-08-06,2010-09-24,2020-04-29,Interventional,Phase 2,149,Completed,Vaccine Therapy in Preventing Human Papillomavirus Infection in Young HIV-Positive Male Patients Who Have Sex With Males,2011-06-28T00:00:00Z,2017-12-12T00:00:00Z,2017-12-12T00:00:00Z,TRUE,NA,None (Open Label),NETWORK,TRUE,"University of California, San Francisco",NA,NA,NA,2010,2011,2017,2017
NCT01210664,2018-06-12,2010-09-23,2018-05-07,Interventional,Phase 1,16,Completed,T1DM Immunotherapy Using CD4+CD127lo/-CD25+ Polyclonal Tregs,2010-11-01T00:00:00Z,2017-01-01T00:00:00Z,2016-12-01T00:00:00Z,TRUE,NA,None (Open Label),OTHER,TRUE,NA,"University of California, San Francisco","University of California, San Francisco",NA,2010,2010,2017,2016
NCT01220336,2014-10-17,2010-10-11,NA,Interventional,Not Applicable,441,Completed,Study of Medical Assistant Health Coaching in Primary Care for Patients With Chronic Conditions,2011-04-01T00:00:00Z,2014-06-01T00:00:00Z,2014-06-01T00:00:00Z,FALSE,Randomized,Single,OTHER,TRUE,"University of California, San Francisco",NA,NA,NA,2010,2011,2014,2014
NCT01235767,2020-11-20,2010-11-04,NA,Interventional,Not Applicable,291,Completed,Animal Source Food Supplement and Pregnancy in Vietnam,2011-01-01T00:00:00Z,2016-05-01T00:00:00Z,2016-05-01T00:00:00Z,FALSE,Randomized,None (Open Label),OTHER,FALSE,UCSF Benioff Children's Hospital Oakland,NA,NA,NA,2010,2011,2016,2016
NCT01248065,2014-07-23,2010-11-24,2014-06-18,Interventional,Phase 3,408,Completed,Study of the Effect of Vitamin D as an Add-on Therapy to Corticosteroids in Asthma,2011-04-01T00:00:00Z,2014-01-01T00:00:00Z,2014-01-01T00:00:00Z,TRUE,Randomized,Quadruple,OTHER,TRUE,"University of California, San Francisco",NA,NA,NA,2010,2011,2014,2014
NCT01264627,2020-11-20,2010-12-15,NA,Interventional,Not Applicable,99,Completed,A New Translational Tool for Studying the Role of Breathing in Meditation,2011-02-01T00:00:00Z,2017-08-31T00:00:00Z,2017-07-31T00:00:00Z,FALSE,Randomized,Single,OTHER,TRUE,"University of California, San Francisco",NA,NA,NA,2010,2011,2017,2017
NCT01270230,2016-10-25,2010-12-02,NA,Interventional,Phase 2,396,Completed,A Randomized Controlled Trial of the Bruthas Project,2011-02-01T00:00:00Z,2016-08-01T00:00:00Z,2015-02-01T00:00:00Z,FALSE,Randomized,None (Open Label),OTHER,FALSE,"University of California, San Francisco",NA,NA,NA,2010,2011,2016,2015
NCT01272635,2016-11-01,2011-01-07,2016-03-11,Interventional,Phase 3,607,Completed,Treatment of Preschool Children With Upper Respiratory Tract Illnesses Using Azythromycin and Lower Respiratory Tract Symptoms Using Oral Corticosteroids.,2011-03-01T00:00:00Z,2015-01-01T00:00:00Z,2015-01-01T00:00:00Z,TRUE,Randomized,Quadruple,OTHER,TRUE,"University of California, San Francisco; UCSF Benioff Children's Hospital Oakland",NA,NA,NA,2011,2011,2015,2015
NCT01276236,2021-03-03,2010-12-20,2020-12-16,Interventional,Phase 2,13,Completed,Effects of Maraviroc (MVC) on HIV-related Kaposi's Sarcoma (KS),2011-03-09T00:00:00Z,2015-04-30T00:00:00Z,2015-01-31T00:00:00Z,TRUE,NA,None (Open Label),OTHER,FALSE,"University of California, San Francisco; San Francisco General Hospital (SFGH)",NA,NA,NA,2010,2011,2015,2015
NCT01280812,2020-09-01,2010-11-23,2017-03-24,Interventional,Not Applicable,210,Completed,Applying Mobile Persuasive Technologies to Increase Physical Activity in Women,2011-02-01T00:00:00Z,2015-04-01T00:00:00Z,2015-04-01T00:00:00Z,TRUE,Randomized,Single,OTHER,FALSE,"University of California, San Francisco",NA,NA,NA,2010,2011,2015,2015
NCT01281475,2020-07-04,2011-01-20,2016-08-06,Interventional,Phase 2/Phase 3,67,Completed,A Trial of Levodopa in Angelman Syndrome,2011-01-01T00:00:00Z,2015-07-01T00:00:00Z,2015-07-01T00:00:00Z,TRUE,Randomized,Quadruple,OTHER,TRUE,"University of California, San Francisco",NA,NA,NA,2011,2011,2015,2015
NCT01286259,2020-06-29,2011-01-27,2018-11-06,Interventional,Not Applicable,16,Completed,Short-term Disulfiram Administration to Accelerate the Decay of the HIV Reservoir in Antiretroviral-treated HIV Infected Individuals,2011-01-01T00:00:00Z,2014-05-01T00:00:00Z,2014-05-01T00:00:00Z,TRUE,NA,None (Open Label),OTHER,TRUE,"University of California, San Francisco",NA,NA,NA,2011,2011,2014,2014
NCT01290523,2019-04-18,2011-02-01,2015-07-28,Interventional,Not Applicable,14,Terminated,Yttrium-90 Radioembolization With Glass Microspheres (TheraSphere) for Patients With Hepatocellular Carcinoma,2010-05-01T00:00:00Z,2014-05-01T00:00:00Z,2014-05-01T00:00:00Z,TRUE,NA,None (Open Label),OTHER,FALSE,"University of California, San Francisco",NA,NA,NA,2011,2010,2014,2014
NCT01292252,2021-04-29,2011-02-07,2020-12-08,Interventional,Phase 4,36,Completed,Use of Forteo (Teriparatide) in Posterolateral Lumbar Spine Fusion,2011-08-01T00:00:00Z,2016-12-01T00:00:00Z,2015-12-01T00:00:00Z,TRUE,Randomized,Double,OTHER,FALSE,"University of California, San Francisco",NA,"University of California, San Francisco",NA,2011,2011,2016,2015
NCT01307683,2021-01-22,2011-01-19,NA,Interventional,Not Applicable,202,Completed,"Maternal, Adiposity, Metabolism, and Stress Study",2011-08-01T00:00:00Z,2015-12-01T00:00:00Z,2015-08-01T00:00:00Z,FALSE,Non-Randomized,None (Open Label),OTHER,FALSE,"University of California, San Francisco",NA,NA,NA,2011,2011,2015,2015
NCT01308775,2015-03-06,2011-02-24,NA,Interventional,Not Applicable,102,Completed,Comparing (SIS.NET) to Standard Care in Patients Who Have Completed the Acute Phase of Treatment for Early Breast Cancer,2011-01-01T00:00:00Z,2015-03-01T00:00:00Z,2014-03-01T00:00:00Z,FALSE,Randomized,None (Open Label),OTHER,FALSE,"University of California, San Francisco",NA,NA,NA,2011,2011,2015,2014
NCT01313936,2019-01-26,2011-03-10,2015-07-14,Interventional,Phase 1,32,Completed,High-Dose 131I-MIBG Therapy Combined With Vincristine and Five Days of Irinotecan for Resistant/Relapsed Neuroblastoma,2011-03-01T00:00:00Z,2014-05-01T00:00:00Z,2014-05-01T00:00:00Z,TRUE,Non-Randomized,None (Open Label),OTHER,FALSE,"University of California, San Francisco",NA,NA,NA,2011,2011,2014,2014
NCT01327274,2018-10-09,2011-03-30,2017-10-24,Interventional,Not Applicable,15,Completed,Multicenter Trial of Magnetic Mini-Mover for Pectus Excavatum,2011-12-01T00:00:00Z,2018-05-01T00:00:00Z,2016-11-01T00:00:00Z,TRUE,NA,None (Open Label),OTHER,TRUE,"University of California, San Francisco",NA,"University of California, San Francisco",NA,2011,2011,2018,2016
NCT01327651,2017-08-08,2010-12-01,2017-01-05,Interventional,Phase 2,622,Completed,The ADAPT Study: Use of Emtricitabine and Tenofovir Disoproxil Fumarate for Pre-Exposure Prophylaxis (PrEP),2011-08-01T00:00:00Z,2014-12-01T00:00:00Z,2014-12-01T00:00:00Z,TRUE,Randomized,None (Open Label),NETWORK,TRUE,NA,"University of California, San Francisco",NA,NA,2010,2011,2014,2014
NCT01350011,2018-11-08,2011-05-05,NA,Interventional,Phase 3,175,Completed,Tobacco Intervention in Buprenorphine Treatment,2011-04-01T00:00:00Z,2016-12-01T00:00:00Z,2016-04-01T00:00:00Z,FALSE,Randomized,None (Open Label),OTHER,FALSE,"University of California, San Francisco",NA,NA,NA,2011,2011,2016,2016
NCT01383174,2019-01-03,2011-06-03,2015-05-05,Interventional,Not Applicable,151,Completed,Nuevo Amanecer: Promoting the Psychosocial Health of Latinas,2011-02-01T00:00:00Z,2014-05-01T00:00:00Z,2014-05-01T00:00:00Z,TRUE,Randomized,Single,OTHER,FALSE,"University of California, San Francisco",NA,NA,NA,2011,2011,2014,2014
NCT01396941,2021-07-13,2011-07-15,NA,Interventional,Not Applicable,10,Completed,Effects of Sleep Duration and Architecture on Insulin Sensitivity,2011-05-01T00:00:00Z,2014-12-01T00:00:00Z,2014-12-01T00:00:00Z,FALSE,NA,None (Open Label),OTHER,FALSE,"University of California, San Francisco",NA,NA,NA,2011,2011,2014,2014
NCT01398046,2015-04-24,2011-07-05,NA,Interventional,Phase 1,10,Completed,Effects of Gastric pH on the Pharmacokinetics of Dasatinib,2011-08-01T00:00:00Z,2014-02-01T00:00:00Z,2014-02-01T00:00:00Z,FALSE,Randomized,None (Open Label),OTHER,FALSE,"University of California, San Francisco",NA,NA,NA,2011,2011,2014,2014
NCT01404520,2015-11-30,2011-05-10,NA,Interventional,Not Applicable,70,Completed,"Patient Activation, Counseling and Exercise - Acute Leukemia (PACE-AL)",2011-06-01T00:00:00Z,2015-05-01T00:00:00Z,2014-05-01T00:00:00Z,FALSE,Randomized,Single,OTHER,TRUE,UCSF and CIRE,NA,NA,NA,2011,2011,2015,2014
NCT01427855,2020-11-20,2011-08-31,NA,Interventional,Not Applicable,113,Completed,Dietary Protein Sources and Atherogenic Dyslipidemia,2012-01-01T00:00:00Z,2017-05-01T00:00:00Z,2016-11-01T00:00:00Z,FALSE,Randomized,Double,OTHER,FALSE,UCSF Benioff Children's Hospital Oakland,NA,NA,NA,2011,2012,2017,2016
NCT01431885,2020-01-14,2011-08-24,NA,Interventional,Not Applicable,82,Completed,Two Methods of Diagnosing Preterm Labor,2011-08-01T00:00:00Z,2015-02-13T00:00:00Z,2015-02-13T00:00:00Z,FALSE,Randomized,None (Open Label),OTHER,FALSE,"University of California, San Francisco",NA,NA,NA,2011,2011,2015,2015
NCT01444183,2018-04-17,2011-09-15,NA,Interventional,Not Applicable,95,Completed,Stress Management Intervention for Living With Epilepsy (SMILE),2012-01-01T00:00:00Z,2015-01-01T00:00:00Z,2015-01-01T00:00:00Z,FALSE,Randomized,Triple,OTHER,TRUE,"University of California, San Francisco",NA,NA,NA,2011,2012,2015,2015
NCT01461707,2017-10-24,2011-10-26,2017-03-24,Interventional,Not Applicable,30,Completed,The MOTHER (Mobile Technologies to Help Enhancing Regular Physical Activity) Trial for Pregnant Women,2012-10-01T00:00:00Z,2014-06-01T00:00:00Z,2014-05-01T00:00:00Z,TRUE,Randomized,Single,OTHER,FALSE,"University of California, San Francisco",NA,NA,NA,2011,2012,2014,2014
NCT01462422,2014-06-13,2011-10-27,NA,Interventional,Not Applicable,3032,Completed,Misoprostol for Secondary Prevention of Postpartum Hemorrhage at the Community Level in India,2011-12-01T00:00:00Z,2014-03-01T00:00:00Z,2014-03-01T00:00:00Z,FALSE,Randomized,None (Open Label),OTHER,FALSE,"University of California, San Francisco",NA,NA,NA,2011,2011,2014,2014
NCT01463046,2019-04-19,2011-10-27,NA,Interventional,Phase 1,29,Completed,Phase I Dose Finding and Proof-of-concept Study of Panobinostat With Standard Dose Cytarabine and Daunorubicin for Untreated Acute Myeloid Leukemia or Advanced Myelodysplastic Syndrome,2012-01-01T00:00:00Z,2018-12-01T00:00:00Z,2015-11-14T00:00:00Z,FALSE,NA,None (Open Label),OTHER,FALSE,"University of California, San Francisco",NA,NA,NA,2011,2012,2018,2015
NCT01466972,2020-07-07,2011-10-25,2020-05-27,Interventional,Phase 2,30,Completed,Reversing Hormone Resistance in Advanced Breast Cancer With Pazopanib,2012-04-27T00:00:00Z,2019-10-02T00:00:00Z,2015-12-07T00:00:00Z,TRUE,NA,None (Open Label),OTHER,FALSE,NA,"University of California, San Francisco",NA,NA,2011,2012,2019,2015
NCT01466998,2014-05-05,2011-11-01,NA,Interventional,Not Applicable,123,Completed,Menopausal Treatment Using Relaxation Exercises (MaTURE),2012-01-01T00:00:00Z,2014-04-01T00:00:00Z,2014-04-01T00:00:00Z,FALSE,Randomized,Single,OTHER,FALSE,"University of California, San Francisco",NA,"University of California, San Francisco",NA,2011,2012,2014,2014
